code,country,sample,imputed,logyl,logkl,alogky,school,loghl,loga,logl,mining,ecorg,socinf,yrsopen,gadp,engfrac,eurfrac,log_frankrom,latitude
TUR,Turkey,1,0,8.95259,9.69835,0.37288,3.29,0.44086,8.13885,16.96475,0.02,3,0.36733,0.133,0.601,0.0,0.0,2.421,41.202
GBR,U.K.,1,0,10.15717,10.82792,0.33538,8.65,0.9842,8.83759,17.15045,0.022,4,0.85556,0.778,0.933,0.974,0.974,2.6,51.51
SUN,U.S.S.R.,1,1,9.60136,10.919,0.65882,7.3485,0.8742,8.06835,18.78959,0.015,0,0.31567,0.0,0.631,0.0,0.007,1.303,55.675
YUG,Yugoslavia,1,0,9.27074,10.60473,0.66699,7.16,0.85516,7.74859,16.18537,0.025,1,0.22617,0.0,0.452,0.0,0.0,3.251,43.773
AUS,Australia,1,0,10.30421,11.38595,0.54087,10.24,1.09232,8.67103,15.87232,0.038,5,0.80978,0.689,0.931,0.95,0.95,1.404,-32.219
FJI,Fiji,1,1,9.17759,9.91572,0.36906,6.76,0.81476,7.99376,12.39767,0.039,5,0.50981,0.408,0.611,0.008,0.008,2.921,-17.827
NZL,New zealand,1,0,10.14265,11.26508,0.56121,12.04,1.21472,8.36672,14.21071,0.011,5,0.593,0.2,0.986,0.9,0.9,2.103,-36.892
PNG,Papua n.guinea,1,0,7.9209,8.71693,0.39801,1.65,0.2211,7.30179,14.38005,0.192,5,0.31233,0.0,0.625,0.015,0.015,2.319,-6.6
SLB,Solomon is.,0,0,8.79803,,,,,,11.46972,-0.01,5,,,,0.0,0.0,3.224,-9.625
TON,Tonga,0,0,,,,,,,,0.006,5,,,,0.0,0.0,3.77,-21.173
VUT,Vanuatu,0,0,,,,,,,10.71054,,3,,,,0.011,0.049,3.429,-15.233
WSM,Western samoa,0,0,,,,,,,10.8312,,5,,,,0.0,0.0,3.49,-13.633
