"date","price","dividend","ratio","iratio"
1981-06-30,131.21,5.23,0.191204588910134,43.4034416826004
1981-07-31,130.92,5.33,0.187617260787992,42.5891181988743
1981-08-31,122.79,5.72,0.174825174825175,39.6853146853147
1981-09-30,116.18,5.96,0.167785234899329,38.0872483221477
1981-10-30,121.89,5.74,0.174216027874564,39.5470383275261
1981-11-30,126.35,5.57,0.179533213644524,40.754039497307
1981-12-31,122.55,5.73,0.174520069808028,39.6160558464223
1982-01-29,120.4,5.73,0.174520069808028,39.6160558464223
1982-02-26,113.11,6.07,0.164744645799012,37.3970345963756
1982-03-31,111.96,6.13,0.163132137030995,37.0309951060359
1982-04-30,116.44,5.92,0.168918918918919,38.3445945945946
1982-05-31,111.88,6.19,0.161550888529887,36.6720516962843
1982-06-30,109.61,6.28,0.159235668789809,36.1464968152866
1982-07-30,107.09,6.37,0.156985871271586,35.6357927786499
1982-08-31,119.51,5.69,0.175746924428822,39.8945518453427
1982-09-30,120.42,5.69,0.175746924428822,39.8945518453427
1982-10-29,133.71,5.09,0.196463654223969,44.5972495088409
1982-11-30,138.54,4.87,0.205338809034908,46.611909650924
1982-12-31,140.64,4.8,0.208333333333333,47.2916666666667
1983-01-31,145.3,4.66,0.214592274678112,48.7124463519313
1983-02-28,148.06,4.61,0.216919739696312,49.2407809110629
1983-03-31,152.96,4.53,0.22075055187638,50.1103752759382
1983-04-29,164.42,4.25,0.235294117647059,53.4117647058824
1983-05-31,162.39,4.35,0.229885057471264,52.183908045977
1983-06-30,168.11,4.23,0.236406619385343,53.6643026004728
1983-07-29,162.56,4.4,0.227272727272727,51.5909090909091
1983-08-31,164.4,4.38,0.228310502283105,51.8264840182648
1983-09-30,166.07,4.31,0.232018561484919,52.6682134570766
1983-10-31,163.55,4.38,0.228310502283105,51.8264840182648
1983-11-30,166.4,4.55,0.21978021978022,49.8901098901099
1983-12-30,164.93,4.6,0.217391304347826,49.3478260869565
1984-01-31,163.41,4.71,0.212314225053079,48.1953290870488
1984-02-29,157.06,4.76,0.210084033613445,47.6890756302521
1984-03-30,159.18,4.68,0.213675213675214,48.5042735042735
1984-04-30,160.05,4.68,0.213675213675214,48.5042735042735
1984-05-31,150.55,5.03,0.198807157057654,45.1292246520875
1984-06-29,153.18,4.96,0.201612903225806,45.7661290322581
1984-07-31,150.66,5.04,0.198412698412698,45.0396825396825
1984-08-31,166.68,4.56,0.219298245614035,49.780701754386
1984-09-28,166.1,4.6,0.217391304347826,49.3478260869565
1984-10-31,166.09,4.58,0.218340611353712,49.5633187772926
1984-11-30,163.58,4.68,0.213675213675214,48.5042735042735
1984-12-31,167.24,4.58,0.218340611353712,49.5633187772926
1985-01-31,179.63,4.28,0.233644859813084,53.0373831775701
1985-02-28,181.18,4.28,0.233644859813084,53.0373831775701
1985-03-29,180.66,4.35,0.229885057471264,52.183908045977
1985-04-30,179.83,4.41,0.226757369614512,51.4739229024943
1985-05-31,189.55,4.19,0.238663484486873,54.1766109785203
1985-06-28,191.85,4.14,0.241545893719807,54.8309178743961
1985-07-31,190.92,4.17,0.239808153477218,54.4364508393285
1985-08-30,188.63,4.24,0.235849056603774,53.5377358490566
1985-09-30,182.08,4.42,0.226244343891403,51.3574660633484
1985-10-31,189.82,4.29,0.233100233100233,52.9137529137529
1985-11-29,202.17,4,0.25,56.75
1985-12-31,211.28,3.82,0.261780104712042,59.4240837696335
1986-01-31,211.78,3.81,0.26246719160105,59.5800524934383
1986-02-28,226.92,3.59,0.278551532033426,63.2311977715877
1986-03-31,238.9,3.4,0.294117647058824,66.7647058823529
1986-04-30,235.52,3.45,0.289855072463768,65.7971014492754
1986-05-30,247.35,3.31,0.302114803625378,68.5800604229607
1986-06-30,250.84,3.26,0.306748466257669,69.6319018404908
1986-07-31,236.12,3.48,0.28735632183908,65.2298850574713
1986-08-29,252.93,3.27,0.305810397553517,69.4189602446483
1986-09-30,231.32,3.61,0.277008310249307,62.8808864265928
1986-10-31,243.98,3.44,0.290697674418605,65.9883720930233
1986-11-28,249.22,3.4,0.294117647058824,66.7647058823529
1986-12-31,242.17,3.51,0.284900284900285,64.6723646723647
1987-01-30,274.08,3.12,0.32051282051282,72.7564102564102
1987-02-27,284.2,3.02,0.33112582781457,75.1655629139073
1987-03-31,291.7,2.99,0.334448160535117,75.9197324414716
1987-04-30,288.36,3.04,0.328947368421053,74.671052631579
1987-05-29,290.1,3.05,0.327868852459016,74.4262295081967
1987-06-30,304,2.93,0.341296928327645,77.4744027303754
1987-07-31,318.66,2.85,0.350877192982456,79.6491228070175
1987-08-31,329.8,2.74,0.364963503649635,82.8467153284672
1987-09-30,321.83,2.82,0.354609929078014,80.4964539007092
1987-10-30,251.79,3.62,0.276243093922652,62.707182320442
1987-11-30,230.3,4.02,0.248756218905473,56.4676616915423
1987-12-31,247.08,3.78,0.264550264550265,60.0529100529101
1988-01-29,257.07,3.66,0.273224043715847,62.0218579234973
1988-02-29,267.82,3.54,0.282485875706215,64.1242937853107
1988-03-31,258.89,3.71,0.269541778975741,61.1859838274933
1988-04-29,261.33,3.73,0.268096514745308,60.857908847185
1988-05-31,262.16,3.73,0.268096514745308,60.857908847185
1988-06-30,273.5,3.59,0.278551532033426,63.2311977715877
1988-07-29,272.02,3.64,0.274725274725275,62.3626373626374
1988-08-31,261.52,3.81,0.26246719160105,59.5800524934383
1988-09-30,271.91,3.67,0.272479564032698,61.8528610354224
1988-10-31,278.97,3.62,0.276243093922652,62.707182320442
1988-11-30,273.7,3.72,0.268817204301075,61.0215053763441
1988-12-30,277.72,3.68,0.271739130434783,61.6847826086957
1989-01-31,297.47,3.5,0.285714285714286,64.8571428571429
1989-02-28,288.86,3.66,0.273224043715847,62.0218579234973
1989-03-31,294.87,3.64,0.274725274725275,62.3626373626374
1989-04-28,309.64,3.49,0.286532951289398,65.0429799426934
1989-05-31,320.52,3.4,0.294117647058824,66.7647058823529
