"date","logcpi","logip","ff","gs1","gs2","cm5yr","cm10yr","cm5f5","ebp","mortg_spread_m","cp3m_spread_m","ff_exp1yr"
1985-11-01,469.1348,400.3154,8.05,7.88,8.58,9.2752632,9.7815789,10.2879,0.29036,2,0.4150004,7.870319
1985-12-01,469.5925,401.3395,8.27,7.67,8.15,8.7285714,9.2590476,9.789524,0.032192,2,0.5350003,7.760906
1986-01-01,469.9571,401.8288,8.14,7.73,8.14,8.6833333,9.1938095,9.704286,0.338187,1.690001,0.525,7.867182
1986-02-01,469.7749,401.0961,7.86,7.61,7.97,8.3357895,8.7042105,9.072632,-0.28549,2.01,0.4550003,7.877512
1986-03-01,469.2265,400.4648,7.48,7.03,7.21,7.46,7.7785,8.097,0.58569,2.3,0.525,7.387186
1986-04-01,468.8592,400.5333,6.99,6.44,6.7,7.0536364,7.2990909,7.544546,0.54437,2.639999,0.4250001,7.020638
1986-05-01,469.1348,400.708,6.85,6.65,7.07,7.5247619,7.7095238,7.894286,0.030158,2.43,0.355,6.960495
1986-06-01,469.5011,400.386,6.92,6.73,7.18,7.637619,7.7995238,7.961429,0.022068,2.88,0.3850002,6.884524
1986-07-01,469.5925,401.0294,6.56,6.27,6.67,7.0627273,7.3031818,7.543636,0.773264,3.21,0.3850002,6.517311
1986-08-01,469.6837,400.8137,6.17,5.93,6.33,6.802381,7.1657143,7.529047,0.70852,3.03,0.275,6.128381
1986-09-01,470.048,400.9872,5.89,5.77,6.35,6.9190476,7.447619,7.976191,0.314005,2.56,0.355,6.058384
1986-10-01,470.2297,401.4457,5.85,5.72,6.28,6.8322727,7.4263636,8.020454,0.545463,2.54,0.3850002,5.958682
1986-11-01,470.411,401.9075,6.04,5.8,6.28,6.755,7.2505556,7.746111,0.669255,2.45,0.2950005,5.803674
1986-12-01,470.7727,402.7786,6.91,5.87,6.27,6.6690909,7.1127273,7.556364,0.699041,2.2,0.4549999,5.885326
1987-01-01,471.3127,402.4543,6.43,5.78,6.23,6.635,7.0845,7.534,0.554116,2.12,0.2950005,5.967
1987-02-01,471.6712,403.7386,6.1,5.96,6.4,6.7921053,7.2505263,7.708947,0.630779,1.83,0.3450002,6.131075
1987-03-01,472.0283,403.8953,6.13,6.03,6.42,6.7931818,7.2486364,7.704091,0.518992,1.79,0.4549999,6.229204
1987-04-01,472.4729,404.4934,6.37,6.5,7.02,7.5742857,8.0228571,8.471429,-0.384307,1.809999,0.6950001,6.391521
1987-05-01,472.7388,405.175,6.85,7,7.76,8.2595,8.613,8.9665,0.259175,1.990001,1.155,6.78332
1987-06-01,473.1803,405.699,6.73,6.8,7.57,8.0163636,8.4022727,8.788182,0.244076,2.14,1.135,6.892
1987-07-01,473.4442,406.338,6.58,6.68,7.44,8.0081818,8.4468182,8.885454,0.484995,1.83,0.8450002,6.931528
1987-08-01,473.8827,407.0586,6.73,7.03,7.75,8.3228571,8.7604762,9.198095,0.469987,1.57,0.5550002,6.899856
1987-09-01,474.232,407.324,7.22,7.67,8.34,8.9428571,9.4219048,9.900952,0.492706,1.47,0.855,7.277841
1987-10-01,474.4932,408.8293,7.29,7.59,8.4,9.08,9.52,9.96,-0.843692,1.74,1.645,7.060545
1987-11-01,474.8404,409.3584,6.69,6.96,7.69,8.3473684,8.8605263,9.373684,0.264651,1.79,1.365,6.747029
1987-12-01,475.0136,409.8235,6.77,7.17,7.86,8.4513636,8.9877273,9.524091,0.006715,1.66,1.725,6.874583
1988-01-01,475.359,409.8669,6.83,6.99,7.63,8.1778947,8.6657895,9.153685,-0.181428,1.76,0.9450001,6.862772
1988-02-01,475.5313,410.2716,6.58,6.64,7.18,7.7125,8.212,8.7115,0.228407,1.68,0.8050002,6.765491
1988-03-01,475.7891,410.508,6.58,6.71,7.27,7.833913,8.3734783,8.913043,-0.04841,1.56,0.8050002,6.872944
1988-04-01,476.3882,411.038,6.87,7.01,7.59,8.194,8.7185,9.243,0.001875,1.48,0.8350005,7.177296
1988-05-01,476.6438,410.9517,7.09,7.4,8,8.582381,9.0890476,9.595715,0.049413,1.37,0.815,7.38965
1988-06-01,477.0685,411.1965,7.51,7.49,8.03,8.4868182,8.9213636,9.355909,0.093573,1.54,0.9149999,7.676856
1988-07-01,477.4913,411.3269,7.75,7.75,8.28,8.655,9.056,9.457,-0.230565,1.37,0.9750003,7.932704
1988-08-01,477.9124,411.747,8.01,8.17,8.63,8.9365217,9.2604348,9.584348,-0.014694,1.34,1.085001,8.274182
1988-09-01,478.3316,411.4033,8.19,8.09,8.46,8.6928571,8.9771429,9.261429,0.146262,1.5,0.8150005,8.3125
1988-10-01,478.6658,411.9257,8.3,8.11,8.35,8.5125,8.7955,9.0785,0.236986,1.5,0.775,8.269252
1988-11-01,478.9989,412.0978,8.35,8.48,8.67,8.7865,8.9625,9.1385,0.101988,1.31,0.7849998,8.323898
1988-12-01,479.3308,412.5323,8.76,8.99,9.09,9.0928571,9.1057143,9.118571,0.23073,1.5,0.9250001,8.739636
1989-01-01,479.7442,412.79,9.12,9.05,9.18,9.1485,9.0915,9.0345,0.138146,1.639999,0.6549997,8.839334
1989-02-01,480.0737,412.3722,9.36,9.25,9.37,9.2705263,9.1689474,9.067369,-0.00409,1.48,0.7250003,8.990914
1989-03-01,480.5659,412.6536,9.85,9.57,9.68,9.5140909,9.3577273,9.201364,0.280599,1.67,1.015,9.58368
1989-04-01,481.2997,412.6931,9.84,9.36,9.45,9.295,9.1755,9.056,0.50671,1.87,1.045001,9.43414
1989-05-01,481.7859,412.023,9.81,8.98,9.02,8.9095455,8.8590909,8.808637,0.227865,1.910001,0.9250001,9.160741
1989-06-01,482.1088,412.0848,9.53,8.44,8.41,8.2922727,8.2772727,8.262273,0.408043,1.92,0.8450002,8.653977
1989-07-01,482.4306,411.1171,9.24,7.89,7.82,7.8265,8.0185,8.2105,0.641174,1.86,0.6850004,8.446241
1989-08-01,482.4306,411.9796,8.99,8.18,8.14,8.0895652,8.1126087,8.135653,0.352247,1.88,0.5549998,8.329474
1989-09-01,482.6712,411.7239,9.02,8.22,8.28,8.1745,8.1905,8.2065,0.373951,1.940001,0.835,8.337704
1989-10-01,483.1509,411.616,8.84,7.99,7.98,7.9661905,8.007619,8.049047,0.274534,1.94,0.775,8.235172
1989-11-01,483.5488,411.918,8.55,7.77,7.8,7.8109524,7.8742857,7.937619,0.463822,1.900001,0.5450005,8.010597
1989-12-01,483.866,412.5047,8.45,7.72,7.78,7.7465,7.836,7.9255,0.406334,1.9,0.545,7.903888
1990-01-01,484.8116,411.8969,8.23,7.92,8.09,8.1195238,8.2066667,8.29381,0.121781,1.69,0.3450007,7.885314
1990-02-01,485.203,412.8269,8.24,8.11,8.37,8.4247368,8.4731579,8.521579,0.241804,1.73,0.2850007,7.976337
1990-03-01,485.6707,413.3629,8.28,8.35,8.63,8.6004545,8.5886364,8.576818,0.349573,1.68,0.2649998,8.052461
1990-04-01,485.9037,413.2314,8.26,8.4,8.72,8.768,8.7855,8.803,-0.029281,1.58,0.4150004,8.129068
1990-05-01,486.0587,413.4243,8.18,8.32,8.64,8.7359091,8.7581818,8.780455,-0.071917,1.719999,0.3950004,8.103958
1990-06-01,486.6765,413.7447,8.29,8.1,8.35,8.4304762,8.48,8.529524,0.035864,1.68,0.2950005,7.934663
1990-07-01,487.1373,413.5995,8.15,7.94,8.16,8.3309524,8.4714286,8.611905,0.006528,1.57,0.2550001,7.823613
1990-08-01,487.9767,413.8833,8.13,7.78,8.06,8.4365217,8.7526087,9.068696,-0.269673,1.35,0.3150005,7.505022
1990-09-01,488.6583,414.0822,8.2,7.76,8.08,8.5136842,8.8931579,9.272632,-0.051052,1.29,0.4850001,7.436941
1990-10-01,489.3352,413.3222,8.11,7.55,7.88,8.3277273,8.7195455,9.111363,0.099413,1.46,0.6950001,7.375253
1990-11-01,489.5598,412.1024,7.81,7.31,7.6,8.0225,8.392,8.761499,0.258542,1.62,0.7350001,7.172953
1990-12-01,489.9331,411.4036,7.31,7.05,7.31,7.7265,8.075,8.4235,0.192606,1.59,0.9450006,6.620313
1991-01-01,490.305,410.9627,6.91,6.64,7.13,7.7,8.0928571,8.485714,0.22076,1.55,0.7650003,6.371739
1991-02-01,490.3792,410.319,6.25,6.27,6.87,7.4726316,7.8547368,8.236842,0.139982,1.52,0.4349999,6.198341
1991-03-01,490.3792,409.7978,6.12,6.4,7.1,7.772,8.11,8.448,0.095124,1.39,0.3850002,6.049326
1991-04-01,490.6015,409.9621,5.91,6.24,6.95,7.7009091,8.0390909,8.377273,0.092676,1.45,0.3050002,6.006395
1991-05-01,490.9709,410.9627,5.78,6.13,6.78,7.7013636,8.0677273,8.434091,0.106881,1.400001,0.3450002,5.879275
1991-06-01,491.2655,411.9382,5.9,6.36,6.96,7.937,8.284,8.631,0.033201,1.34,0.4250001,5.923968
1991-07-01,491.4124,411.912,5.82,6.31,6.92,7.9113636,8.2727273,8.63409,0.115509,1.309999,0.3550004,5.967457
1991-08-01,491.7057,412.0612,5.66,5.78,6.43,7.425,7.9,8.375,0.074946,1.34,0.275,5.691246
1991-09-01,491.9981,412.929,5.45,5.57,6.18,7.136,7.65,8.164001,0.088652,1.36,0.2350006,5.317796
1991-10-01,492.144,412.7101,5.21,5.33,5.91,6.8713636,7.5272727,8.183182,0.086014,1.329999,0.2450003,5.251558
1991-11-01,492.5804,412.6021,4.81,4.89,5.56,6.6178947,7.4173684,8.216842,0.095896,1.29,0.3050002,4.858361
1991-12-01,492.8702,412.2368,4.43,4.38,5.03,6.1861905,7.0885714,7.990952,0.02729,1.41,0.4250001,4.196397
1992-01-01,492.9425,411.6077,4.03,4.15,4.96,6.2428571,7.032381,7.821905,-0.038977,1.4,0.1550004,4.06096
1992-02-01,493.1592,412.3853,4.06,4.29,5.21,6.5778947,7.3378947,8.097895,-0.013052,1.42,0.1550004,4.172689
1992-03-01,493.5193,413.1774,3.98,4.63,5.69,6.9454545,7.5422727,8.139091,-0.03771,1.4,0.1450004,4.271148
1992-04-01,493.7347,413.8881,3.73,4.3,5.34,6.7842857,7.4804762,8.176667,-0.01459,1.37,0.1750001,4.117424
1992-05-01,493.9497,414.2433,3.82,4.19,5.23,6.6925,7.392,8.0915,-0.096207,1.28,0.1350002,4.143621
1992-06-01,494.2357,414.2374,3.76,4.17,5.05,6.4827273,7.2618182,8.040909,-0.148848,1.25,0.1450002,4.142188
1992-07-01,494.5208,415.0985,3.25,3.6,4.36,5.8368182,6.8445455,7.852273,-0.233425,1.29,0.1150002,3.566844
1992-08-01,494.734,414.5967,3.3,3.47,4.19,5.5961905,6.5857143,7.575238,-0.063198,1.39,0.1350002,3.562861
1992-09-01,494.9469,414.8119,3.22,3.18,3.89,5.38,6.4152381,7.450476,0.010572,1.5,0.2150001,3.211039
1992-10-01,495.3712,415.5916,3.1,3.3,4.08,5.6004762,6.5890476,7.577619,0.000714,1.5,0.3550002,3.293936
1992-11-01,495.6531,416.0084,3.09,3.68,4.58,6.0378947,6.8731579,7.708421,0.050682,1.440001,0.4150001,3.369639
1992-12-01,495.7938,416.0321,2.92,3.71,4.67,6.0759091,6.77,7.464091,0.082522,1.45,0.3350002,3.40051
1993-01-01,496.1445,416.525,3.02,3.5,4.39,5.8336842,6.6,7.366316,0.03413,1.420001,0.1350002,3.398881
1993-02-01,496.3544,416.8922,3.03,3.39,4.1,5.4289474,6.2589474,7.088947,-0.011742,1.42,0.1350002,3.285161
1993-03-01,496.494,416.8546,3.07,3.33,3.95,5.1947826,5.9752174,6.755652,0.000532,1.52,0.1050002,3.25525
