"date","gdp_growth","un"
1975-04-01,0.387707038444256,2.49534390992151
1975-07-01,1.05760155711564,2.07161969217863
1975-10-01,0.757667162816682,1.88122880776575
1976-01-01,1.23569078897382,1.29083792335286
1976-04-01,-0.180307911294071,1.10044703894998
1976-07-01,-0.21055561711963,1.2433894878671
1976-10-01,0.366977142497687,1.25299860346421
1977-01-01,0.737790095650597,0.962607719051329
1977-04-01,0.974659646391023,0.572216834638446
1977-07-01,1.36341252149734,0.315159283565563
1977-10-01,-0.881887943567412,0.0581017324926799
1978-01-01,0.252823875453083,-0.298955818590204
1978-04-01,2.48451982018205,-0.656013369663087
1978-07-01,0.228199143769119,-0.64640425407597
1978-10-01,0.608327586858708,-0.803461805148853
1979-01-01,-0.621902603611863,-0.860519356221737
1979-04-01,-0.719379323586884,-1.05091024063462
1979-07-01,0.273787564662891,-0.907967791707503
1979-10-01,-0.815411905294267,-0.831692009450386
1980-01-01,0.372678160801614,-0.522082893863269
1980-04-01,-3.01624618783778,0.487526221723848
1980-07-01,-0.558548893858541,0.797135337320965
1980-10-01,0.636314537547926,0.506744452908082
