"date","unscheduled","policy_news_shock","ffr_shock"
2006-06-29,0,-0.0145704,-0.0150003
2006-08-08,0,-0.0132713,-0.0471737
2006-09-20,0,0.0183731,-0.0150003
2006-10-25,0,0.0027871,-0.0050001
2006-12-12,0,-0.0108142,0
2007-01-31,0,0.0031349,0
2007-03-21,0,-0.0386583,0.0155004
2007-05-09,0,0.031474,0
2007-06-28,0,0.0163787,0
2007-08-07,0,-0.0045872,0.0064585
2007-08-10,1,0.0272989,0.0147619
2007-08-17,1,0.0025034,0.0332143
2007-09-18,0,-0.1194803,-0.200001
2007-10-31,0,0.0506991,-0.02
2007-12-11,0,0.0313953,0.0310007
2008-01-22,1,-0.0203595,0
2008-01-30,0,-0.0641267,-0.1150024
2008-03-11,1,0.0129692,0
2008-03-18,0,0.0371566,0.095376
2008-04-30,0,-0.0429951,-0.0599977
2008-06-25,0,-0.0174264,-0.0150025
2008-08-05,0,-0.0091446,-0.0029837
2008-09-16,0,0.067941,0.0964246
2008-10-08,1,-0.0262962,-0.1213044
2008-10-29,0,-0.0407075,-0.0550003
2008-12-16,0,-0.1451906,-0.149822
2009-01-28,0,0.0059527,0.0049973
2009-03-18,0,-0.0200265,-0.0059674
2009-04-29,0,0.0177773,0
2009-06-24,0,0.0341052,0
2009-08-12,0,-0.0008006,0
2009-09-23,0,-0.0475454,-0.0100021
2009-11-04,0,-0.0019417,-0.0057661
2009-12-16,0,0.0098156,-0.0154994
2010-01-27,0,0.0245093,-0.0050049
2010-03-16,0,-0.0148356,-0.0103277
2010-04-28,0,0.003807,0
2010-06-23,0,0.0121381,0
2010-08-10,0,-0.0059932,0.0036941
2010-09-21,0,0.0037929,0
2010-11-03,0,0.0086457,0.008333
2010-12-14,0,0.0081555,0.0045633
2011-01-26,0,0.0047349,-0.0049973
2011-03-15,0,0.0095843,0
2011-04-27,0,-0.0004617,0
2011-06-22,0,0.0118725,0
2011-08-09,0,-0.0076051,-0.0070416
2011-09-21,0,0.0404949,0.0083415
2011-11-02,0,0.014859,-0.0053542
2011-12-13,0,0.0141583,0.0043098
2012-01-25,0,-0.0022907,-0.0049973
2012-03-13,0,0.0163156,0.0043098
2012-04-25,0,0.0076559,0
2012-06-20,0,0.0198738,0.0075073
2012-08-01,0,0.0192167,0.0154994
2012-09-13,0,0.0183409,0.0088321
2012-10-24,0,0.0070655,0
2012-12-12,0,0.0088512,0.0040829
2013-01-30,0,0.0044393,0
2013-03-20,0,0.0029796,0
2013-05-01,0,0.0075586,0
2013-06-19,0,0.0216301,0
2013-07-31,0,0.0067271,0
2013-09-18,0,-0.0034324,0
2013-10-30,0,0.0067271,0
2013-12-18,0,0.0098276,0.0059615
2014-01-29,0,0.0102069,0
2014-03-19,0,0.0186092,0
