"country","year","debt_gdp","debt_cat","gdp_growth"
"Germany",1974,6.74876459586687,"0-30%",0.827304433424536
"Germany",1975,9.94539109161556,"0-30%",-0.544631318820332
"Germany",1976,10.7298562015137,"0-30%",4.82898679836983
"Germany",1977,11.8767476374934,"0-30%",2.87756310339411
"Germany",1978,13.2706983863361,"0-30%",2.8084290062738
"Germany",1979,13.9685677390097,"0-30%",4.01854905350703
"Germany",1980,14.9140255884604,"0-30%",1.1425799572585
"Germany",1981,16.6507727472261,"0-30%",0.110299330592034
"Germany",1982,18.3327817223677,"0-30%",-0.78816639681305
"Germany",1983,19.4485322481045,"0-30%",1.55466809928657
"Germany",1984,19.8407853936151,"0-30%",2.82608727820501
"Germany",1985,20.3776736681143,"0-30%",2.19228469480488
"Germany",1986,20.3831727941531,"0-30%",2.41731919217096
"Germany",1987,21.1429908356589,"0-30%",1.46935582225283
"Germany",1988,21.6240219113926,"0-30%",3.73561271474219
"Germany",1989,20.8884834827732,"0-30%",3.91302416837132
"Germany",1990,21.2141017144239,"0-30%",5.72342998509119
"Germany",1991,19.5229811096912,"0-30%",5.0114026576872
"Germany",1992,18.8385837028882,"0-30%",2.3058166544853
"Germany",1993,20.6802503962829,"0-30%",-0.788782837360436
"Germany",1994,20.4573449196517,"0-30%",2.62606577072946
"Germany",1995,20.8661536597189,"0-30%",1.83943279988479
"Germany",1996,22.7057056986631,"0-30%",0.95156314125775
"Germany",1997,23.9979461057394,"0-30%",1.71199980545458
"Germany",1998,24.8297988521713,"0-30%",1.97736662624683
"Germany",1999,35.2037773359841,"30-60%",1.93168560720931
"Germany",2000,34.6957525291027,"30-60%",3.22428380777804
"Germany",2001,32.9979886512095,"30-60%",1.15079441968611
"Germany",2002,33.566908123817,"30-60%",0.00627347464772221
"Germany",2003,35.4798912559978,"30-60%",-0.231146278674221
"Germany",2004,36.7327262586595,"30-60%",1.17621592148835
"Germany",2005,39.5084506690015,"30-60%",0.732079771647265
"Germany",2006,39.5826354190004,"30-60%",3.17589864175314
"Germany",2007,38.7113087884029,"30-60%",2.51648229260428
"Germany",2008,38.7129177017389,"30-60%",1.24810326772242
"Germany",2009,43.7187693666007,"30-60%",-5.29683377308706
"Greece",1946,,,49.8033503277494
"Greece",1947,,,29.0548424737456
"Greece",1948,,,5.00301386377335
"Greece",1949,,,5.33151549942594
"Greece",1950,,,-1.29436610123306
"Greece",1951,,,8.80668093036097
"Greece",1952,,,0.716777672058355
"Greece",1953,,,13.6981987655876
"Greece",1954,,,3.11305600177256
"Greece",1955,,,7.55842062852539
"Greece",1956,,,8.53561082808911
"Greece",1957,,,6.51603699783718
"Greece",1958,,,4.62694949669504
"Greece",1959,,,3.67082335452968
"Greece",1960,,,4.33345282192217
"Greece",1961,,,8.76884901698798
"Greece",1962,,,3.75544012354345
"Greece",1963,,,10.1650767877681
"Greece",1964,,,8.2169066846808
"Greece",1965,,,9.39193598728825
"Greece",1966,,,6.10588021684435
"Greece",1967,,,5.48805827853425
"Greece",1968,,,6.66249536522061
"Greece",1969,,,9.90288309036
"Greece",1970,18.8221009686825,"0-30%",7.95492735000494
"Greece",1971,19.0047897817988,"0-30%",7.117874343057
"Greece",1972,20.1204135162908,"0-30%",12.4435858862144
"Greece",1973,16.5557215479879,"0-30%",3.92246294184722
"Greece",1974,17.4779943666804,"0-30%",-3.63835856923415
"Greece",1975,18.1763215075376,"0-30%",6.04997874536952
"Greece",1976,20.804360217315,"0-30%",6.36049990694745
"Greece",1977,23.2328527741372,"0-30%",3.42817917519114
"Greece",1978,23.6519871106337,"0-30%",6.69677133896387
"Greece",1979,23.133294864397,"0-30%",3.69073900157337
"Greece",1980,24.5926851540347,"0-30%",0.677
"Greece",1981,28.7738879074996,"0-30%",-1.554
"Greece",1982,29.6342415296343,"0-30%",-1.133
"Greece",1983,33.9595881339597,"30-60%",-1.079
"Greece",1984,40.5032480405034,"30-60%",2.011
"Greece",1985,47.1326280471326,"30-60%",2.51
"Greece",1986,47.6600399476601,"30-60%",0.518
"Greece",1987,52.9877776529878,"30-60%",-2.259
"Greece",1988,62.6631447626631,"60-90%",4.288
"Greece",1989,65.8402954658403,"60-90%",3.8
"Greece",1990,89.0668403890665,"60-90%",0
"Greece",1991,91.1247685911246,"Above 90%",3.1
"Greece",1992,97.6096436976097,"Above 90%",0.7
"Greece",1993,97.608,"Above 90%",-1.6
"Greece",1994,103.197,"Above 90%",2
"Greece",1995,104.806,"Above 90%",2.1
"Greece",1996,108.105,"Above 90%",2.358
"Greece",1997,105.22,"Above 90%",3.638
"Greece",1998,103.746,"Above 90%",3.364
"Greece",1999,103.561,"Above 90%",3.42
"Greece",2000,108.926,"Above 90%",4.477
"Greece",2001,109.684,"Above 90%",4.197
"Greece",2002,109.199,"Above 90%",3.439
"Greece",2003,106.407,"Above 90%",5.582
"Greece",2004,108.282,"Above 90%",4.916
"Greece",2005,108.991,"Above 90%",2.898
"Greece",2006,106.103,"Above 90%",4.497
"Greece",2007,105.03,"Above 90%",4.036
"Greece",2008,107.872,"Above 90%",2.933
"Greece",2009,100,"Above 90%",-0.753
"Ireland",1946,,,1.26795332136445
"Ireland",1947,20.5905307280461,"0-30%",1.89473684210526
"Ireland",1948,21.0170885096575,"0-30%",4.86080904741193
"Ireland",1949,27.5432299601484,"0-30%",5.23695945245255
"Ireland",1950,37.6844792872976,"30-60%",0.817895151754033
"Ireland",1951,45.6064146326273,"30-60%",2.51197341413352
"Ireland",1952,47.4288654525344,"30-60%",2.52669717772693
"Ireland",1953,49.2227567919465,"30-60%",2.6969217892681
"Ireland",1954,55.9834263754685,"30-60%",0.896495517522422
"Ireland",1955,63.8198680452563,"60-90%",2.60276431520374
"Ireland",1956,67.314450614523,"60-90%",-1.30335899230231
"Ireland",1957,70.1491638047529,"60-90%",-0.150669148276172
"Ireland",1958,72.7942308145605,"60-90%",-2.05929344931652
"Ireland",1959,70.3366964550564,"60-90%",4.05111473626971
"Ireland",1960,73.6390811340418,"60-90%",5.6266875707691
"Ireland",1961,73.6603885469678,"60-90%",4.77447019048405
"Ireland",1962,73.5131248214337,"60-90%",3.2583031638596
"Ireland",1963,74.4750652901391,"60-90%",4.73323170731708
"Ireland",1964,70.8895015357935,"60-90%",3.91529000800523
"Ireland",1965,73.4183639530615,"60-90%",1.74381959520975
"Ireland",1966,78.0546382467727,"60-90%",0.853524229074898
"Ireland",1967,76.9729581656609,"60-90%",5.93093093093093
"Ireland",1968,66.1047656159066,"60-90%",8.26621996005412
"Ireland",1969,63.585673342706,"60-90%",6.01642466079504
"Ireland",1970,62.2374887343343,"60-90%",2.66067920291888
"Ireland",1971,59.6729463517261,"30-60%",3.46656460167314
"Ireland",1972,55.8825537341722,"30-60%",6.48945727421657
"Ireland",1973,52.0617641838727,"30-60%",4.72433129869485
"Ireland",1974,65.4591739873774,"60-90%",4.26005781168555
"Ireland",1975,72.3595163044641,"60-90%",5.65403145168621
"Ireland",1976,77.6392916087447,"60-90%",1.39808999397746
"Ireland",1977,74.1439815635722,"60-90%",8.20924016800306
"Ireland",1978,76.4719183367095,"60-90%",7.19046498863012
"Ireland",1979,82.6061853569793,"60-90%",3.07242136064374
"Ireland",1980,84.3512099678799,"60-90%",2.9
"Ireland",1981,89.752758709987,"60-90%",2.5
"Ireland",1982,87.2017319110256,"60-90%",1.5
"Ireland",1983,96.4919028905489,"Above 90%",-0.7
"Ireland",1984,101.60412646234,"Above 90%",3.2
"Ireland",1985,102.963176069486,"Above 90%",1.9
"Ireland",1986,109.678571315794,"Above 90%",0.4
"Ireland",1987,112.430132889981,"Above 90%",3.6
"Ireland",1988,108.334249118853,"Above 90%",3
"Ireland",1989,97.6786350906523,"Above 90%",5.6
"Ireland",1990,87.7093696651545,"60-90%",7.7
"Ireland",1991,85.5213568914452,"60-90%",1.6
"Ireland",1992,83.5548723955984,"60-90%",3.6
"Ireland",1993,83.2707730987993,"60-90%",2.3
"Ireland",1994,79.8014970554409,"60-90%",5.9
"Ireland",1995,72.9536573293796,"60-90%",9.6
"Ireland",1996,65.5486447104508,"60-90%",8.1
"Ireland",1997,58.165691493955,"30-60%",11.5
"Ireland",1998,48.7628763373456,"30-60%",8.4
"Ireland",1999,43.9785064844018,"30-60%",10.7
"Ireland",2000,34.8296542110365,"30-60%",9.4
"Ireland",2001,30.9440061610583,"30-60%",5.7
"Ireland",2002,27.9144673880316,"0-30%",6.5
"Ireland",2003,26.9106308189293,"0-30%",4.4
"Ireland",2004,25.3833519282964,"0-30%",4.6
"Ireland",2005,23.5559104674034,"0-30%",6.2
"Ireland",2006,20.3197610884445,"0-30%",5.4
"Ireland",2007,19.7938425892705,"0-30%",6
"Ireland",2008,27.7191815575867,"0-30%",-3
"Ireland",2009,44.3713662790698,"30-60%",-7.5
"Italy",1951,26.5700708162505,"0-30%",7.46558193953575
"Italy",1952,26.8738115816768,"0-30%",7.4851076312108
"Italy",1953,26.7213755373193,"0-30%",7.21472019145486
"Italy",1954,28.6489658207423,"0-30%",5.18679511278195
"Italy",1955,28.3222458754657,"0-30%",5.8194188492396
"Italy",1956,27.9645476772616,"0-30%",4.53408036448553
"Italy",1957,27.5308852832337,"0-30%",5.90368491243127
"Italy",1958,27.0056197646061,"0-30%",5.34695628684474
"Italy",1959,26.6992860352489,"0-30%",6.22756342574438
"Italy",1960,24.6977205153617,"0-30%",5.42194549656203
"Italy",1961,21.7431228206122,"0-30%",8.42175088642034
"Italy",1962,20.759707566039,"0-30%",7.79708812641309
"Italy",1963,18.2679512268553,"0-30%",7.12306034606942
"Italy",1964,17.9521452145215,"0-30%",3.90267386007284
"Italy",1965,17.8626929761783,"0-30%",2.24857829903218
"Italy",1966,16.6599713776394,"0-30%",5.21973570958432
"Italy",1967,14.2633451957295,"0-30%",7.11988047319909
"Italy",1968,16.0459770114943,"0-30%",8.36193265533474
"Italy",1969,15.9934235976789,"0-30%",5.71837782042939
"Italy",1970,14.4022663562856,"0-30%",2.24585384598794
"Italy",1971,16.3769757384699,"0-30%",1.89432144596611
"Italy",1972,18.6433600775778,"0-30%",2.92593882025274
"Italy",1973,20.1985997393275,"0-30%",6.54193475251996
"Italy",1974,22.6748078607267,"0-30%",4.68961564269204
"Italy",1975,27.6369806501603,"0-30%",-2.14641662841781
"Italy",1976,29.992172412611,"0-30%",6.49824272212227
"Italy",1977,32.7933728055531,"30-60%",2.88971697415756
"Italy",1978,46.6471860347054,"30-60%",3.72813052278829
"Italy",1979,45.7606465691847,"30-60%",5.67285782925124
"Italy",1980,45.6256048450036,"30-60%",-1.414
"Italy",1981,52.8589272083825,"30-60%",0.781
"Italy",1982,58.4786750426646,"30-60%",0.668
"Italy",1983,64.3068582425684,"60-90%",0.913
"Italy",1984,66.4556456169265,"60-90%",3.226
"Italy",1985,61.9725457141383,"60-90%",2.798
"Italy",1986,67.1018992978972,"60-90%",2.86
"Italy",1987,70.8155818410231,"60-90%",3.192
"Italy",1988,73.7074960652978,"60-90%",4.194
"Italy",1989,76.6745765827491,"60-90%",3.388
"Italy",1990,78.9842750391799,"60-90%",2.053
"Italy",1991,81.9491201888037,"60-90%",1.534
"Italy",1992,85.4432635479032,"60-90%",0.773
"Italy",1993,95.1402305432455,"Above 90%",-0.888
"Italy",1994,104.801115635371,"Above 90%",2.152
"Italy",1995,104.288665976122,"Above 90%",2.827
"Italy",1996,103.77586721411,"Above 90%",1.095
"Italy",1997,101.150834687546,"Above 90%",1.872
"Italy",1998,99.743655266732,"Above 90%",1.401
"Italy",1999,97.8009741901711,"Above 90%",1.464
"Italy",2000,95.1171225630951,"Above 90%",3.693
"Italy",2001,91.7101669803388,"Above 90%",1.818
"Italy",2002,88.2419338650278,"60-90%",0.454
"Italy",2003,86.6571086232074,"60-90%",-0.017
"Italy",2004,85.1037347380222,"60-90%",1.532
"Italy",2005,84.8582372611019,"60-90%",0.656
"Italy",2006,84.621177745762,"60-90%",2.036
"Italy",2007,83.4073997359087,"60-90%",1.564
"Italy",2008,86.2595723299242,"60-90%",-1.04
"Italy",2009,97.135118206495,"Above 90%",-5.145
"Japan",1946,,,
"Japan",1947,,,
"Japan",1948,,,
"Japan",1949,,,
"Japan",1950,,,
"Japan",1951,,,
"Japan",1952,,,
"Japan",1953,,,
"Japan",1954,11.9627805566243,"0-30%",
"Japan",1955,12.631722325109,"0-30%",
"Japan",1956,10.6158752732907,"0-30%",6.20152665914178
"Japan",1957,8.93583710157207,"0-30%",7.32824619996182
"Japan",1958,9.32083582503488,"0-30%",6.39535957113628
"Japan",1959,9.49918500716436,"0-30%",8.3429692811767
"Japan",1960,8.37169341086966,"0-30%",11.2621178279494
"Japan",1961,6.32454684146562,"0-30%",9.99769677522357
"Japan",1962,5.83640572946811,"0-30%",6.71625365983657
"Japan",1963,4.71690186834016,"0-30%",7.71374677256085
"Japan",1964,4.56720591172359,"0-30%",9.23443470628904
"Japan",1965,5.37504716120002,"0-30%",5.12189575615163
"Japan",1966,6.97478124181294,"0-30%",9.70177571752924
