"year","amtr_all_br2011","amtr_all_ps2003","amtr_top_1","amtr_top_5","amtr_top_10","amtr_top_5_1","amtr_top_10_5","amtr_bottom_99","amtr_bottom_90","amiitr_all_br2011","amiitr_all_ps2003","amiitr_top_1","amiitr_top_5","amiitr_top_10","amiitr_top_5_1","amiitr_top_10_5","amiitr_bottom_99","amiitr_bottom_90","amptr_all_br2011","amptr_all_ps2003","amptr_top_1","amptr_top_5","amptr_top_10","amptr_top_5_1","amptr_top_10_5","amptr_bottom_99","amptr_bottom_90","shock_ii_liab_marg","shock_ii_liab_other","shock_pr_liab_marg","shock_pr_liab_other","shock_all","shock_top_1","shock_top_5","shock_top_10","shock_top_5_1","shock_top_10_5","shock_bottom_99","shock_bottom_90","shock_inc","linc_all","linc_top_1","linc_top_5","linc_top_10","linc_top_5_1","linc_top_10_5","linc_bottom_99","linc_bottom_90","ctrl_log_rgdp","ctrl_unrate","ctrl_inflation","ctrl_ffr","ctrl_log_gov","ctrl_log_rstprices","ctrl_dlog_rdebt","ctrl_log_avtax"
1956,0.244549742612744,0.240646594914879,0.510567289921928,0.371417429669438,0.326979464303123,0.26828282736465,0.236275977737518,0.213667295637849,0.200380923977844,0.232,0.227869360262522,0.510248627546533,0.369679861128436,0.323610913364012,0.265493598959729,0.229578386217539,0.199644793185572,0.183215476990687,0.0125497426127442,0.0127772346523567,0.000318662375394847,0.00173756854100111,0.00336855093911063,0.00278922840492105,0.00669759151997856,0.014022502452278,0.0171654469871572,,,,,,,,,,,,,269693,10.3078912219832,12.514738431664,11.7593949513261,11.4649619738959,11.4279899997424,11.0458717069141,10.2226413779824,10.0303794781855,-8.13597499149609,0.041,0.0148408872139802,0.0269165064294606,-11.6610826609416,5.83850592460308,-0.0509584216096912,-1.82383391948009
1957,0.24616142505491,0.242709377056418,0.512470245277373,0.373335356238702,0.328124441501515,0.270782479506471,0.237155363495083,0.216089469882214,0.203089351526532,0.232,0.228319681937452,0.512108902242472,0.371386233362576,0.324471430312807,0.267663043479845,0.230073951228394,0.200315461935566,0.183719414407087,0.0141614250549102,0.0143896951189657,0.000361343034900876,0.00194912287612683,0.00365301118870824,0.00311943602662577,0.007081412266689,0.0157740079466476,0.019369937119445,,,,,,,,,,,,,283500,10.3124412173671,12.5076634389327,11.7554806216591,11.4657865623846,11.4264194362605,11.0562705171208,10.228400629821,10.0366877157806,-8.12552680782671,0.043,0.0350095908625585,0.0305767718727306,-11.6001936659826,5.75418412012187,-0.055390702798352,-1.79685177813177
1958,0.242933119943516,0.240927212212571,0.510363549582944,0.371731348942305,0.326442686661609,0.273182830781008,0.237723088024516,0.214820596360663,0.200476628270364,0.229,0.22686283509346,0.509991068864561,0.369761102301663,0.322856798005521,0.270076791277816,0.230972188437807,0.199429564184159,0.181455709894927,0.0139331199435159,0.0140643771191111,0.000372480718383265,0.00197024664064187,0.00358588865608817,0.00310603950319164,0.00675089958670948,0.0153910321765044,0.0190209183754372,,,,,,,,,,,,,284838,10.2813352470488,12.4599003720015,11.7287295958561,11.4479962156939,11.4148707191427,11.0562705171208,10.1989412925111,9.99941432503213,-8.14177478643076,0.068,0.0269166697949694,0.0155917864854976,-11.5484209038318,5.76828771270768,0.00480694244833879,-1.81302758117211
1959,0.252762754155359,0.246631949073876,0.516502737154135,0.377963442085753,0.331867666603563,0.279250653520738,0.243831396987436,0.220761522452089,0.206459938596062,0.236,0.229385855253992,0.516054470927101,0.375631704663385,0.327401349973971,0.275576894733374,0.235288342551865,0.201905150731297,0.183190673292771,0.0167627541553593,0.0172460938198846,0.000448266227033909,0.0023317374223675,0.00446631662959169,0.00367375878736354,0.0085430544355708,0.0188563717207926,0.0232692653032919,,,,,,,,,,,,,306745,10.3397385020385,12.5085354233753,11.7759951308259,11.5039174962821,11.4611541697013,11.1289492347418,10.2582216443665,10.0589952630668,-8.08385421551791,0.055,0.00689498775141917,0.0325023227191827,-11.505378201831,5.97726483245616,0.0138065420745757,-1.77694850643918
1960,0.252968862818265,0.245201487183649,0.515226522980098,0.375982387127051,0.328240636566994,0.280248441592944,0.240384125218422,0.220578459195046,0.206735864617801,0.234,0.225519296,0.5147,0.3733,0.3232,0.276083842094371,0.231003732227488,0.199149502001626,0.180271372340706,0.0189688628182647,0.0196821911836491,0.000526522980098087,0.00268238712705123,0.00504063656699421,0.00416459949857373,0.00938039299093351,0.0214289571934201,0.0264644922770953,,,,,,,,,,,,,318030,10.3509608838266,12.4740232760206,11.7625212549761,11.5033600642343,11.4624152039164,11.1526066024707,10.2737088912773,10.0756464601835,-8.06638812914417,0.055,0.0170465306974998,0.0316324739044868,-11.5262804448257,5.93320653988874,-0.0334806196802795,-1.70479368646086
1961,0.25765929032926,0.246995071308592,0.51507013782546,0.379957350607835,0.333051455773431,0.290335401656492,0.243814153801724,0.22261136686031,0.206690641122926,0.24,0.228442338449201,0.514540805506454,0.37737800654813,0.328723098793388,0.286396259968762,0.236158343104495,0.202419252623009,0.181475934626959,0.0176592903292604,0.0185527328593905,0.000529332319006032,0.00257934405970401,0.00432835698004276,0.00393914168772986,0.00765581069722908,0.0201921142373005,0.0252147064959669,,,,,,,,,,,,,331239,10.3625911700393,12.4833738676222,11.7932369987599,11.5225022261944,11.5075567781001,11.1500802287558,10.2855573989857,10.0837587128645,-8.06013640573026,0.067,0.0100808428190977,0.0193574702034596,-11.4739994009861,6.09423120140356,0.0009406606751865,-1.72180039105886
1962,0.261265623995523,0.251283174207377,0.519459435389208,0.382765204819589,0.335754938718399,0.293498123049218,0.247066803301173,0.227094230189401,0.211451801720815,0.244,0.233219448,0.5189,0.3802,0.3317,0.289623066431143,0.240201378008013,0.207451653159028,0.186782445386158,0.0172656239955229,0.018063726207377,0.000559435389207806,0.00256520481958865,0.00405493871839905,0.00387505661807495,0.00686542529315992,0.0196425770303735,0.0246693563346576,,,,,,,,,,,,,353005,10.398462292493,12.5115331186398,11.8308122896208,11.5629762954105,11.5513249825896,11.1960465953246,10.32219192188,10.1175719189665,-8.01858837183624,0.056,0.0099855969456357,0.0267214223279763,-11.4197660652938,6.02375536193313,9.30613550429449e-05,-1.69058839436254
1963,0.26609460868878,0.25886120626494,0.528576184703379,0.389462705974736,0.342996394377694,0.300254488089301,0.255640535827074,0.234884196129929,0.21925056824487,0.247,0.239138910389059,0.527974423792839,0.386194755837586,0.337661407477718,0.295276811535812,0.246419555723283,0.213462130877853,0.192754762964533,0.0190946086887802,0.0197222958758805,0.000601760910539808,0.0032679501371495,0.00533498689997614,0.00497767655348864,0.00922098010379033,0.0214220652520757,0.0264958052803369,,,,,,,,,,,,,372881,10.4232314478552,12.5229610699234,11.8533081533397,11.5866883701735,11.580985579193,11.2220494301996,10.3481595302919,10.1427824130633,-7.99279098096865,0.056,0.013160799187688,0.0312864701710366,-11.4172761249507,6.12387458395352,-0.0149046201571257,-1.67022446228745
1964,0.238993946056233,0.234760955416168,0.484820463531524,0.35981741674815,0.316049599482691,0.280258373329825,0.234112897258088,0.212955183794571,0.197138375481691,0.221,0.216383076,0.4843,0.3572,0.3119,0.276306336376003,0.227094934482059,0.19302009611439,0.172175263831987,0.0179939460562326,0.0183778794161675,0.000520463531524139,0.00261741674814981,0.00414959948269107,0.00395203695382232,0.00701796277602948,0.0199350876801811,0.0249631116497037,-6.3,0.2,0,0,-2.60800457636739,-6.46981956589313,-4.38843561068892,-3.66220931040653,-3.05372271963048,-2.29691648248928,-2.26469855132018,-2.11168760060802,402491,10.4703117552612,12.5523355260859,11.8872771917046,11.6221202379826,11.6178899460246,11.2602380883687,10.3967630672384,10.1952899431783,-7.95308292929723,0.052,0.0129735289435166,0.0343691132683922,-11.4111776119699,6.26332241840705,-0.00577064504506763,-1.78273427783966
1965,0.229329853561665,0.226644893884087,0.473976828462021,0.350707286674386,0.307728255438265,0.272021478326865,0.225492272306293,0.20494785423958,0.18932774283505,0.212,0.209072371359033,0.473448499678931,0.348216185244923,0.304082021472901,0.268277493581358,0.219635810306342,0.185880140452795,0.165345897808151,0.0173298535616652,0.0175725225250538,0.000528328783090286,0.00249110142946263,0.00364623396536334,0.0037439847455074,0.00585646199995163,0.0190677137867851,0.023981845026899,,,,,,,,,,,,,432179,10.5104654614194,12.5980173270328,11.9311639602057,11.6584540124144,11.6606367133618,11.2822769896827,10.4363730291604,10.2371975229226,-7.90511141331843,0.045,0.0160001073312304,0.0399173696169601,-11.3973054981018,6.3276029082453,-0.0247479211415018,-1.76848433574662
