"byr","race","interval","year","type","vmn1","vsd1","vnu1","vnms1","vfin1","ctr1","ltax","xltax"
1944,1,22,1979,"TAXAB",12207.11,9167.85,203,1.5,0.226999998092651,17,0.202000007033348,0.166999995708466
1944,1,23,1979,"TAXAB",12530.94,9334.85,191,4,0.219999998807907,17,0.219999998807907,0.172999992966652
1944,1,24,1979,"TAXAB",12860.61,8955.43,178,7,0.168999999761581,17,0.218999996781349,0.180000007152557
1944,1,25,1979,"TAXAB",13659.14,10265.82,161,1.5,0.193000003695488,17,0.247999995946884,0.17399999499321
1944,1,26,1979,"TAXAB",12487.4,8652.17,183,6,0.158000007271767,17,0.190999999642372,0.152999997138977
1944,1,27,1979,"TAXAB",12926.66,9206.96,148,5,0.223000004887581,17,0.223000004887581,0.188999995589256
1944,1,28,1979,"TAXAB",13713.26,9035.07,184,7,0.158000007271767,17,0.245000004768372,0.211999997496605
1944,1,29,1979,"TAXAB",12942,8779.99,197,7,0.187999993562698,17,0.238999992609024,0.202999994158745
1944,1,30,1979,"TAXAB",12108.31,9156.62,169,5,0.207000002264977,17,0.231000006198883,0.194999992847443
1944,1,31,1979,"TAXAB",12815.53,9225.72,187,1.5,0.197999998927116,17,0.214000001549721,0.165999993681908
1944,1,32,1979,"TAXAB",14320.76,9119.73,207,4,0.144999995827675,17,0.270999997854233,0.193000003695488
1944,1,33,1979,"TAXAB",13494.76,9185.01,162,1.5,0.153999999165535,17,0.25900000333786,0.197999998927116
1944,1,34,1979,"TAXAB",12926.77,12947.98,216,0,0.217999994754791,17,0.208000004291534,0.162000000476837
1944,1,35,1979,"TAXAB",13452.74,8629.87,190,3,0.152999997138977,17,0.216000005602837,0.17399999499321
1944,1,36,1979,"TAXAB",12908.8,8592.15,171,4,0.158000007271767,17,0.199000000953674,0.164000004529953
1944,1,37,1979,"TAXAB",12747.11,9376.87,169,3,0.188999995589256,17,0.207000002264977,0.142000004649162
1944,1,38,1979,"TAXAB",13536.82,8526,168,5,0.166999995708466,17,0.244000002741814,0.219999998807907
1944,1,39,1979,"TAXAB",12497.2,10056.41,163,3,0.221000000834465,17,0.209000006318092,0.146999999880791
1944,1,40,1979,"TAXAB",13096.58,9040.45,171,4,0.216000005602837,17,0.228000000119209,0.193000003695488
1944,1,41,1979,"TAXAB",14851.35,9377.09,191,3,0.119999997317791,17,0.24099999666214,0.178000003099442
1944,1,42,1979,"TAXAB",13446.73,9253.71,186,6,0.166999995708466,17,0.252999991178513,0.219999998807907
1944,1,43,1979,"TAXAB",13644.03,9430.03,180,1.5,0.156000003218651,17,0.289000004529953,0.261000007390976
1944,1,44,1979,"TAXAB",12157.43,9492.74,171,3,0.210999995470047,17,0.140000000596046,0.116999998688698
1944,1,45,1979,"TAXAB",13152.78,9231.99,209,7,0.177000001072884,17,0.238999992609024,0.206000000238419
1944,1,46,1979,"TAXAB",12827.06,9675.85,188,3,0.223000004887581,17,0.266000002622604,0.212999999523163
