"year","pretax_bottom50","pretax_middle40","pretax_top10","pretax_top1","pretax_top01","posttax_bottom50","posttax_middle40","posttax_top10","posttax_top1"
1947,,,0.370776114952382,0.145747168098623,,,,0.343675304236436,0.114625464631689
1948,,,0.3890846094893,0.157659463062098,,,,0.365396123616483,0.12958665300839
1949,,,0.383580564609339,0.15173389107032,,,,0.361686815424867,0.125375231015851
1950,,,0.389877957893249,0.158480278137374,,,,0.362386501833182,0.127354119752402
1951,,,0.37706730818979,0.14943208955529,,,,0.351108708423809,0.11966191249622
1952,,,0.365056859158922,0.141963357874898,,,,0.338240638477447,0.113845251933895
1953,,,0.354913545049056,0.132596324784885,,,,0.328443855441917,0.106205645950755
1954,,,0.359010678185365,0.134873522327599,,,,0.330079068070437,0.107481574411008
1955,,,0.365351227511693,0.141287025022766,,,,0.333621266912162,0.114193643150684
1956,,,0.357591828871847,0.133885072415484,,,,0.322886618103354,0.106429837513156
1957,,,0.357619869708847,0.131662880861248,,,,0.319197584441211,0.105027383976974
1958,,,0.357038070731785,0.124719669142569,,,,0.317593162011716,0.0970047491171407
1959,,,0.361634807670268,0.130661541134201,,,,0.320484855553803,0.103704511759921
1960,,,0.356315958917457,0.125915191668713,,,,0.313684275904781,0.100156573261101
1961,,,0.358325517290539,0.124534691694078,,,,0.3131313265854,0.0965573259375024
1962,0.195045232772827,0.444033294916153,0.36092147231102,0.125739067792892,,0.225032329559326,0.454789221286774,0.3201784491539,0.100668549537659
1963,0.19102069735527,0.443608522415161,0.365369021892548,0.127462238073349,,0.219775706529617,0.455293998122215,0.324930295348167,0.102683033794165
1964,0.186996161937714,0.443183749914169,0.369820088148117,0.129195377230644,,0.21450012922287,0.4558125436306,0.32968732714653,0.104697518050671
1965,0.191298365592957,0.442353665828705,0.366342455148697,0.127784363925457,,0.219313383102417,0.453958764672279,0.326727852225304,0.103216424584389
1966,0.195600569248199,0.44152358174324,0.36287584900856,0.126381576061249,,0.224099457263947,0.452127009630203,0.32377353310585,0.101736791431904
1967,0.204435497522354,0.439635939896107,0.355928562581539,0.12336727976799,,0.238143384456635,0.44987279176712,0.311983823776245,0.0960562322288752
1968,0.206905476748943,0.441251778975129,0.351842744275928,0.121714532375336,,0.243965163826942,0.450880214571953,0.305154621601105,0.0927593023516238
1969,0.210194943472743,0.446608981583267,0.34319607494399,0.114978240802884,,0.249914441257715,0.453011948615313,0.297073610126972,0.0875142473960295
1970,0.208391844760627,0.4507169254357,0.340891229803674,0.110428175423294,,0.25235200766474,0.452696022577584,0.294951969757676,0.0848873526847456
1971,0.204157650354318,0.452172878576675,0.343669471069006,0.11082132125739,,0.250847386429086,0.45253638853319,0.296616225037724,0.085458639288845
1972,0.202389836282237,0.451017373103241,0.346592790614523,0.110847152682254,,0.250250455515925,0.449949476693291,0.299800067790784,0.0864878881784534
1973,0.203795388333674,0.449567748431946,0.34663686323438,0.109203146748769,,0.25251036802365,0.44667903422669,0.30081059774966,0.0864890233629012
1974,0.204988557843535,0.452037993402428,0.342973448754037,0.10653001488572,,0.256767794289772,0.446926200984308,0.296306004725921,0.0842093214629358
1975,0.202699218876205,0.453786873154627,0.343513907969168,0.105555878135874,,0.256722163358972,0.446976757198172,0.296301079442856,0.0841344386398362
1976,0.202117168577274,0.453686615658995,0.344196215763731,0.10529308792286,,0.257733168999266,0.44614953700443,0.296117293996303,0.0838802292957794
1977,0.200282162346383,0.453241368341743,0.346476469311874,0.106653411006761,,0.256065458754676,0.444467367986192,0.299467173259131,0.085985069722307
1978,0.199755580702906,0.453160954070166,0.347083465226929,0.107694097810942,,0.254475034947191,0.443411686087487,0.302113278965322,0.0880242189393372
1979,0.200782001018524,0.450338751077652,0.348879247903824,0.11153456568718,0.0385810546576977,0.255303084850311,0.44097301363945,0.303723901510239,0.0913945436477661
1980,0.198927223682404,0.458646893501282,0.342425882816315,0.106700770556927,0.0356654040515423,0.256400227546692,0.447711318731308,0.295888453722,0.0856846421957016
1981,0.195094406604767,0.457711637020111,0.347193956375122,0.110486589372158,0.0384427830576897,0.250747978687286,0.443753212690353,0.30549880862236,0.0927605405449867
1982,0.189571619033813,0.46145424246788,0.348974138498306,0.112639412283897,0.0408172868192196,0.243546605110168,0.447585374116898,0.308868020772934,0.0941537767648697
1983,0.183078229427338,0.462718784809113,0.35420298576355,0.115138083696365,0.0413559786975384,0.234771072864532,0.449285924434662,0.315943002700806,0.0970938503742218
1984,0.178832828998566,0.454528987407684,0.36663818359375,0.12498427182436,0.0472996570169926,0.226224064826965,0.442254275083542,0.331521660089493,0.108065716922283
1985,0.178811967372894,0.454614371061325,0.366573661565781,0.12553958594799,0.047201294451952,0.226690113544464,0.444102048873901,0.329207837581635,0.107001379132271
1986,0.176670491695404,0.458598494529724,0.364731013774872,0.122091084718704,0.0434913150966167,0.22706013917923,0.450655192136765,0.322284668684006,0.0997080057859421
1987,0.172628223896027,0.451256424188614,0.376115351915359,0.133065238595009,0.0484328679740429,0.224696099758148,0.445657163858414,0.329646736383438,0.109791785478592
1988,0.169444799423218,0.441073596477509,0.389481604099274,0.148763388395309,0.0597062818706036,0.219871938228607,0.436397969722748,0.343730092048645,0.124182626605034
1989,0.169311940670013,0.443986535072327,0.38670152425766,0.144642427563667,0.0553106181323528,0.222223043441772,0.438069581985474,0.339707374572754,0.120611779391766
1990,0.168038189411163,0.444821059703827,0.38714075088501,0.145420491695404,0.0554553121328354,0.222395837306976,0.438411951065063,0.33919221162796,0.120822720229626
1991,0.166191279888153,0.44824630022049,0.385562419891357,0.138914734125137,0.0513001941144466,0.222556531429291,0.440650969743729,0.336792498826981,0.114967241883278
1992,0.158307671546936,0.443924754858017,0.397767573595047,0.150142252445221,0.0577781274914742,0.217576384544373,0.436883240938187,0.345540374517441,0.123354353010654
1993,0.158946096897125,0.445488154888153,0.395565748214722,0.14641934633255,0.0561041720211506,0.220688462257385,0.43879172205925,0.340519815683365,0.117236748337746
1994,0.15776264667511,0.443655908107758,0.398581445217133,0.14685395359993,0.0560758337378502,0.219579875469208,0.43923008441925,0.341190040111542,0.116279974579811
1995,0.153797626495361,0.439623653888702,0.406578719615936,0.152846366167068,0.059116430580616,0.215727984905243,0.437315553426743,0.346956461668015,0.120455391705036
1996,0.15079790353775,0.433741837739944,0.415460258722305,0.159640312194824,0.063807375729084,0.213538229465485,0.433401823043823,0.353059947490692,0.124731667339802
1997,0.148629903793335,0.42869958281517,0.422670513391495,0.166275322437286,0.0683887228369713,0.21059787273407,0.430750995874405,0.358651131391525,0.129777878522873
1998,0.149060547351837,0.424620538949966,0.426318913698196,0.169237911701202,0.0690730065107346,0.210126996040344,0.429522782564163,0.360350221395493,0.131134584546089
1999,0.147689044475555,0.41882997751236,0.433480978012085,0.177075237035751,0.0743282437324524,0.20845091342926,0.426218807697296,0.365330278873444,0.136912599205971
2000,0.146150231361389,0.415017306804657,0.438832461833954,0.182670176029205,0.0787926912307739,0.206016302108765,0.424401342868805,0.36958235502243,0.140761062502861
2001,0.14948296546936,0.42251256108284,0.4280044734478,0.172694012522697,0.0726974382996559,0.207477390766144,0.427196979522705,0.365325629711151,0.137689977884293
2002,0.148216068744659,0.424554914236069,0.427229017019272,0.170568764209747,0.0706983506679535,0.205331861972809,0.426642805337906,0.368025332689285,0.139405444264412
2003,0.145138204097748,0.426193565130234,0.428668230772018,0.172032579779625,0.0723455101251602,0.202356278896332,0.427846819162369,0.369796901941299,0.14093117415905
2004,0.141883432865143,0.419092088937759,0.439024478197098,0.183206975460052,0.0797892212867737,0.20059609413147,0.423582881689072,0.375821024179459,0.147852212190628
2005,0.138319551944733,0.411041647195816,0.450638800859451,0.193739235401154,0.0877922028303146,0.199627995491028,0.41977858543396,0.380593419075012,0.152581036090851
2006,0.135355949401855,0.404357373714447,0.460286676883698,0.200987532734871,0.0910952538251877,0.197069704532623,0.415348589420319,0.387581706047058,0.157776176929474
2007,0.137384176254272,0.404693216085434,0.457922607660294,0.198638767004013,0.0905726030468941,0.200259923934937,0.417509168386459,0.382230907678604,0.152639523148537
2008,0.137108743190765,0.409803122282028,0.453088134527206,0.195216968655586,0.089384563267231,0.204032480716705,0.418006151914597,0.377961367368698,0.153229430317879
2009,0.135897099971771,0.420715242624283,0.443387657403946,0.185398623347282,0.0855325236916542,0.198036968708038,0.425459772348404,0.376503258943558,0.150935217738152
2010,0.130317747592926,0.412178009748459,0.457504242658615,0.197980239987373,0.0947910621762276,0.198024749755859,0.417112201452255,0.384863048791885,0.159360155463219
2011,0.12730598449707,0.413457095623016,0.459236919879913,0.196005120873451,0.0907684862613678,0.19512152671814,0.417856395244598,0.387022078037262,0.158272847533226
2012,0.123801648616791,0.40475207567215,0.47144627571106,0.207798287272453,0.0986888259649277,0.189094841480255,0.412748694419861,0.398156464099884,0.166690245270729
2013,0.127659142017365,0.40913662314415,0.463204234838486,0.195956990122795,0.0893134847283363,0.1932053565979,0.419250756502151,0.387543886899948,0.153441339731216
2014,0.125450611114502,0.404415220022202,0.470134168863297,0.201958850026131,0.093169093132019,0.192822992801666,0.416009813547134,0.391167193651199,0.156643211841583
