"date","igrea"
1996-12-01,-2.2828758
1997-01-01,-3.9356149
1997-02-01,-5.6149883
1997-03-01,-3.1740947
1997-04-01,-9.4575396
1997-05-01,-16.893029
1997-06-01,-17.385683
1997-07-01,-12.216112
1997-08-01,-15.793311
1997-09-01,-15.64518
1997-10-01,-13.605748
1997-11-01,-20.361339
1997-12-01,-20.419967
1998-01-01,-26.989012
1998-02-01,-42.831945
1998-03-01,-35.801496
1998-04-01,-42.726884
1998-05-01,-43.113525
1998-06-01,-52.023102
1998-07-01,-58.66889
1998-08-01,-63.630451
1998-09-01,-54.783776
1998-10-01,-42.77947
1998-11-01,-45.309895
1998-12-01,-57.510725
1999-01-01,-63.098479
1999-02-01,-58.906081
1999-03-01,-44.244783
1999-04-01,-49.293676
1999-05-01,-35.175096
1999-06-01,-42.225693
1999-07-01,-43.702253
1999-08-01,-36.95271
1999-09-01,-28.075313
1999-10-01,-12.524384
1999-11-01,-12.911794
1999-12-01,-12.311638
2000-01-01,-10.378952
2000-02-01,-9.0346292
2000-03-01,5.6405123
2000-04-01,8.7239624
2000-05-01,4.7363075
2000-06-01,3.5041066
2000-07-01,5.1877684
2000-08-01,6.6423245
2000-09-01,10.645149
2000-10-01,11.914355
2000-11-01,11.212551
2000-12-01,4.3608476
2001-01-01,1.2459248
2001-02-01,-4.53244
2001-03-01,-2.8810971
2001-04-01,-7.1712144
2001-05-01,-6.8916267
2001-06-01,-11.979578
2001-07-01,-24.822532
2001-08-01,-45.491588
2001-09-01,-49.357157
2001-10-01,-54.012499
2001-11-01,-58.698029
2001-12-01,-56.737492
2002-01-01,-49.964844
2002-02-01,-46.901117
2002-03-01,-36.636935
2002-04-01,-35.798645
2002-05-01,-39.91634
2002-06-01,-43.555
2002-07-01,-44.318466
2002-08-01,-43.023792
2002-09-01,-26.503859
2002-10-01,-12.165195
2002-11-01,-5.4374124
2002-12-01,7.7613536
2003-01-01,9.1539883
2003-02-01,7.5851829
2003-03-01,17.583892
2003-04-01,29.076289
2003-05-01,37.185594
2003-06-01,32.889812
2003-07-01,35.315611
2003-08-01,39.244992
2003-09-01,46.54298
2003-10-01,99.301681
2003-11-01,101.48092
2003-12-01,109.48522
2004-01-01,121.8408
2004-02-01,125.93089
2004-03-01,119.85037
2004-04-01,106.4881
2004-05-01,84.046343
2004-06-01,62.3979
2004-07-01,88.836549
2004-08-01,98.796832
2004-09-01,97.971328
2004-10-01,106.78779
2004-11-01,122.15189
2004-12-01,126.19621
2005-01-01,106.04591
2005-02-01,106.45841
2005-03-01,109.43098
2005-04-01,106.11502
2005-05-01,85.152721
2005-06-01,56.452422
2005-07-01,34.626825
2005-08-01,33.590713
2005-09-01,56.329549
2005-10-01,68.327912
2005-11-01,60.928884
2005-12-01,49.623755
2006-01-01,35.258629
2006-02-01,43.11214
2006-03-01,49.275882
2006-04-01,43.647893
2006-05-01,42.57695
2006-06-01,53.201775
2006-07-01,64.347696
2006-08-01,83.03727
2006-09-01,92.812565
2006-10-01,93.149631
2006-11-01,97.208198
2006-12-01,100.25528
2007-01-01,103.11898
2007-02-01,101.45218
2007-03-01,116.35756
2007-04-01,127.83846
2007-05-01,138.26253
2007-06-01,127.83696
2007-07-01,140.80402
2007-08-01,149.99502
2007-09-01,167.27197
2007-10-01,186.67637
2007-11-01,187.18409
2007-12-01,180.30125
2008-01-01,148.3249
2008-02-01,144.03247
2008-03-01,159.79427
2008-04-01,162.46834
2008-05-01,188.93573
2008-06-01,182.37615
2008-07-01,168.15938
2008-08-01,149.65307
2008-09-01,109.98661
2008-10-01,9.7947734
2008-11-01,-67.443055
2008-12-01,-76.19009
2009-01-01,-56.55395
2009-02-01,12.893116
2009-03-01,20.685627
2009-04-01,4.1791242
2009-05-01,46.791998
2009-06-01,87.017607
2009-07-01,74.362474
2009-08-01,51.707666
2009-09-01,38.395775
2009-10-01,53.791494
2009-11-01,89.751121
2009-12-01,80.033241
2010-01-01,68.130878
2010-02-01,51.588087
2010-03-01,69.746531
2010-04-01,64.639332
2010-05-01,88.067084
2010-06-01,66.531203
2010-07-01,18.467422
2010-08-01,42.647472
2010-09-01,53.806106
2010-10-01,52.662699
2010-11-01,37.708874
2010-12-01,24.126045
2011-01-01,-13.166928
2011-02-01,-30.405325
2011-03-01,-7.3137402
2011-04-01,-18.205204
2011-05-01,-17.660375
2011-06-01,-11.690382
2011-07-01,-16.626568
2011-08-01,-15.219332
2011-09-01,13.016885
2011-10-01,24.990154
2011-11-01,12.817837
2011-12-01,14.767913
2012-01-01,-44.00732
2012-02-01,-83.212401
2012-03-01,-63.166406
2012-04-01,-45.931562
2012-05-01,-37.944718
2012-06-01,-53.805966
2012-07-01,-41.715708
