"cz","cz_name","state","children_in_1980_82_cohorts","am_80_82_cohort","rm_80_82_cohort","p_child_in_q5_parent_in_q1_80_85_cohort","am_college_attendance","rm_college_attendance","am_teenage_birth","rm_teenage_birth","am_females","rm_females","am_males","rm_males","am_males_individual_income","rm_males_individual_income","am_cost_of_living_adjusted","rm_cost_of_living_adjusted","am_2011_2012_parent_income","rm_2011_2012_parent_income","am_single_parents","rm_single_parents","am_married_parents","rm_married_parents","am_83_85_cohort","rm_83_85_cohort","am_80_85_cohort","rm_80_85_cohort","am_white_80_zips","rm_white_80_zips","am_poverty_line","rm_poverty_line","am_college_quality","rm_college_quality"
29402,"Emporia","KS",1961,46.13525,0.33497,0.10940171033144,41.908,0.72664,23.6635,-0.32318,46.51325,0.33405,45.767,0.33556,49.493,0.29636,47.682,0.32972,46.517,0.28716,46.14675,0.29547,45.9665,0.34154,47.136,0.30324,46.67425,0.31789,47.727,0.31108,76.80075,0.32471,40.03569,0.18598
29403,"Bartlesville","KS",6196,43.5595,0.3471,0.0894988030195236,32.69225,0.78189,24.9035,-0.27546,44.70225,0.36933,42.46475,0.32659,46.79625,0.28473,45.0575,0.34394,43.10975,0.31071,40.796,0.42096,45.8145,0.29498,46.41925,0.29233,45.06,0.31736,44.438,0.33052,73.2845,0.32734,35.16025,0.205975
29501,"Leavenworth","KS",3390,42.4705,0.3271,0.0803461074829102,39.105,0.72564,22.33925,-0.28323,44.4045,0.30494,40.52025,0.34961,45.1415,0.31378,43.66975,0.32591,43.60675,0.26331,40.00325,0.35561,44.8925,0.27826,43.4555,0.33322,43.00375,0.32919,45.496,0.30708,72.56499,0.30208,37.65913,0.186675
29502,"Kansas City","MO",67521,40.0745,0.36494,0.0701465755701065,41.9075,0.69678,26.484,-0.33932,41.936,0.36312,38.221,0.36728,42.9455,0.34294,41.1445,0.36202,41.966,0.3228,37.8675,0.35878,43.23525,0.31017,41.44975,0.33859,40.8055,0.35062,44.319,0.29984,70.37475,0.33187,38.95638,0.19407
29503,"St. Joseph","MO",6284,43.344,0.35028,0.0831134542822838,38.46,0.68236,23.727,-0.25936,43.70475,0.36151,42.99175,0.33911,46.39725,0.31893,44.909,0.34544,43.2055,0.3239,41.46025,0.33485,44.67425,0.32445,43.6665,0.38226,43.529,0.365,43.343,0.34976,73.2305,0.35058,38.16663,0.172135
29504,"Sedalia","MO",3230,43.24525,0.33425,0.082563154399395,33.35675,0.75251,23.86675,-0.29153,44.29925,0.34425,42.17075,0.32535,44.91775,0.32959,44.94125,0.32241,42.479,0.32244,40.73825,0.30237,44.556,0.30928,44.592,0.34252,43.94575,0.33699,43.24525,0.33425,73.63676,0.33215,34.51406,0.17974
29505,"Polk","MO",1292,50.57175,0.33491,0.112745098769665,45.72625,0.74345,12.75725,-0.14559,50.262,0.35752,50.89875,0.30927,51.451,0.2886,52.62975,0.32079,49.61975,0.28831,,,52.622,0.27504,50.242,0.30632,50.38225,0.32129,50.55675,0.33587,81.6625,0.25234,40.90894,0.18961
29506,"Bethany","MO",722,48.45,0.32856,0.120845921337605,41.9415,0.69154,24.05225,-0.27419,49.35425,0.28237,47.67875,0.36715,50.12,0.26084,50.3045,0.31926,47.782,0.25304,,,49.0875,0.30138,51.87675,0.28339,50.17975,0.30427,48.55475,0.32555,81.3615,0.2323,40.55638,0.166675
29601,"Columbia","MO",10737,42.7885,0.33598,0.065512977540493,38.6625,0.75414,22.534,-0.29188,44.102,0.3502,41.46575,0.32327,44.08125,0.31065,44.192,0.33044,43.37975,0.30335,39.709,0.3994,45.99075,0.26959,43.38525,0.33181,43.11,0.33324,42.72125,0.33213,73.79025,0.30913,39.59725,0.202465
29602,"Eldon","MO",2656,42.33075,0.34527,0.0677856653928757,33.3655,0.75674,23.141,-0.25236,43.625,0.36728,41.01725,0.32029,43.4925,0.32502,44.12325,0.33337,42.236,0.32112,42.10875,0.38127,42.646,0.33508,44.5425,0.34206,43.511,0.34044,42.33075,0.34527,73.28,0.37916,37.26725,0.18938
29700,"Springfield","MO",16009,41.9415,0.31526,0.0714676156640053,37.28725,0.78625,22.58075,-0.27101,42.65775,0.32611,41.2535,0.30478,44.58375,0.27911,43.72425,0.30789,42.027,0.28736,39.922,0.3104,43.0925,0.29282,43.4635,0.2969,42.74025,0.30461,41.9415,0.31526,73.4635,0.30766,36.59944,0.19946
29800,"Aurora","MO",4732,42.5855,0.31146,0.0748914629220963,32.76325,0.72673,25.63625,-0.29495,43.5,0.30748,41.68225,0.31573,45.72,0.28624,44.6145,0.30174,42.235,0.27948,40.65525,0.34809,43.87225,0.27673,43.9415,0.29974,43.293,0.30384,42.5505,0.31226,73.44775,0.32791,35.61744,0.16265
29901,"Joplin","MO",10466,43.05075,0.33471,0.0722867026925087,41.35775,0.72903,25.246,-0.30628,43.386,0.36168,42.72425,0.30645,46.03725,0.27669,45.04075,0.32503,42.8005,0.29838,41.67475,0.35579,44.09275,0.30983,44.38175,0.32079,43.7235,0.32666,43.1765,0.3315,73.97375,0.33947,38.94463,0.178265
29902,"Center","MO",2219,44.162,0.35608,0.085664339363575,41.42175,0.75547,24.1915,-0.31146,44.3605,0.34478,43.97475,0.36731,45.9595,0.33014,46.01825,0.34305,43.439,0.31808,42.85625,0.39761,45.0545,0.3309,45.666,0.33852,44.883,0.34708,44.18575,0.35551,74.41225,0.39641,39.03312,0.197385
30000,"Russellville","AR",5350,42.6705,0.31822,0.0887360870838165,33.43225,0.74977,27.571,-0.312,43.074,0.32964,42.2745,0.30754,46.66725,0.28249,44.6895,0.31782,41.7105,0.3055,40.78925,0.35029,44.064,0.285,45.02825,0.31069,43.913,0.31232,42.52975,0.32575,72.02675,0.31291,36.57231,0.173435
30100,"Fort Smith","AR",12838,42.63875,0.32987,0.0939385965466499,37.736,0.76916,29.63425,-0.37107,43.25875,0.35207,42.05425,0.30941,46.5315,0.28046,44.625,0.32032,41.90575,0.30119,40.927,0.3356,43.9595,0.3007,44.454,0.3386,43.58375,0.33231,42.9025,0.3305,72.04925,0.32965,37.79356,0.181765
30200,"Muskogee","OK",6177,41.0185,0.35806,0.0631011053919792,32.36775,0.73331,28.6385,-0.26646,41.3785,0.36566,40.66375,0.35051,44.40825,0.31773,42.97575,0.34367,39.77375,0.34727,39.423,0.38496,42.49175,0.32207,41.838,0.36996,41.4495,0.36234,,,70.6995,0.3725,36.20481,0.176685
30300,"Fayetteville","AR",12872,43.04425,0.31805,0.0918065160512924,34.2485,0.7647,25.85125,-0.29783,44.60225,0.33353,41.5,0.30256,45.075,0.2764,45.08475,0.30671,43.22575,0.28211,41.3615,0.30958,44.15025,0.29733,45.277,0.27528,44.21,0.29496,43.4835,0.3043,73.069,0.2878,37.2715,0.187245
30401,"Stillwater","OK",2782,45.829,0.30216,0.0984643176198006,41.30925,0.78145,21.53675,-0.26105,45.74775,0.30411,45.90725,0.30029,49.629,0.25816,47.55925,0.29269,44.694,0.29,43.6735,0.37926,47.82975,0.25643,47.439,0.28432,46.62125,0.29317,45.50025,0.33253,75.565,0.28044,42.49912,0.22726
30402,"Tulsa","OK",36434,41.63525,0.34125,0.078357495367527,39.4705,0.72082,26.49825,-0.32239,42.6725,0.34834,40.61125,0.33465,44.93875,0.30747,43.20575,0.33527,42.045,0.30712,39.43575,0.33067,43.74225,0.30333,43.505,0.31728,42.6065,0.32806,45.16975,0.29259,71.37925,0.31161,38.27369,0.1969
30403,"Okmulgee","OK",2061,42.057,0.33136,0.0810611620545387,43.21925,0.63565,27.60275,-0.27553,42.5755,0.37106,41.49375,0.28831,45.80025,0.27933,44.0805,0.32018,40.5855,0.33006,38.543,0.26992,44.90875,0.27203,44.50525,0.34173,43.2875,0.33318,,,71.8745,0.32918,39.15969,0.17211
30501,"Woodward","OK",1265,53.25325,0.26081,0.200000002980232,44.4115,0.68134,22.1485,-0.2723,53.4295,0.27354,53.09775,0.24715,59.1945,0.18602,55.40125,0.25501,51.92825,0.22577,,,54.2175,0.23906,55.21225,0.28845,54.25875,0.27139,53.29025,0.26117,81.7215,0.21706,42.959,0.15811
