"date","ff","shadow"
1994-09-01,5.44,5.07684064075015
1994-10-01,4.9,5.27249469612321
1994-11-01,5.66,5.9660258232882
1994-12-01,4.94,7.11696591754881
1995-01-01,5.86,6.31897612319883
1995-02-01,6.1,5.99082370658203
1995-03-01,6.3,5.99939187314693
1995-04-01,6.06,5.92735561215657
1995-05-01,6.17,5.79438634954385
1995-06-01,6.11,5.67747200995314
1995-07-01,5.97,5.53971165647244
1995-08-01,5.93,5.49249788588316
1995-09-01,6.2,5.54190451131708
1995-10-01,5.97,5.49329901046092
1995-11-01,6.11,5.42126620313277
1995-12-01,4.73,5.33246134496444
1996-01-01,5.71,5.02564375725774
1996-02-01,6.05,5.04741368199452
1996-03-01,5.25,5.15158036118086
1996-04-01,5.5,5.18779164513949
1996-05-01,5.31,5.1512951307061
1996-06-01,5,5.26490948898661
1996-07-01,6.75,5.38540561725767
1996-08-01,5.28,5.27906133305749
1996-09-01,6.09,5.29365760174813
1996-10-01,5.63,5.21158787044813
1996-11-01,5.44,5.19788131996585
1996-12-01,6.26,5.22491331019614
1997-01-01,5.37,5.22578309638506
1997-02-01,5.5,5.27440919204632
1997-03-01,7.07,5.491629838658
1997-04-01,5.82,5.45833177098214
1997-05-01,5.58,5.35430551180994
1997-06-01,6.87,5.32470041499037
1997-07-01,5.96,5.34740114227826
1997-08-01,5.52,5.40115431563394
1997-09-01,5.81,5.52925471321592
1997-10-01,5.56,5.37910041576989
1997-11-01,5.5,5.45887869129273
1997-12-01,5.84,5.4233050386952
1998-01-01,5.48,5.35993614930382
1998-02-01,5.57,5.40832580782691
1998-03-01,5.88,5.36670399251365
1998-04-01,5.59,5.33143516179223
1998-05-01,5.63,5.41204263534644
1998-06-01,7.06,5.29416504942893
1998-07-01,5.63,5.23162320227019
1998-08-01,5.89,5.12985037110949
1998-09-01,6.14,4.84767091690398
1998-10-01,5.35,4.73358858499737
1998-11-01,5.11,4.73528744067834
1998-12-01,4.07,4.69305814446258
1999-01-01,4.79,4.75866389196294
1999-02-01,4.84,4.84695457653347
1999-03-01,4.98,4.72902102600073
1999-04-01,5.03,4.74413016979967
1999-05-01,4.61,4.74167408507213
1999-06-01,5.12,4.926389087238
1999-07-01,5.07,4.934898554419
1999-08-01,5.57,5.18506536787065
1999-09-01,5.51,5.17266376850968
1999-10-01,5.27,5.31492068433884
1999-11-01,5.63,5.58918206133865
1999-12-01,3.99,5.82636795344202
2000-01-01,5.87,5.85175203565732
2000-02-01,5.85,5.84966145657935
2000-03-01,6.17,6.06302629790308
2000-04-01,6.06,6.16280090696727
2000-05-01,6.83,6.62301990463349
2000-06-01,6.86,6.46070069383597
2000-07-01,6.64,6.40821254976943
