"vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
0,1,1,1,1,11,1,1,30,47,1,47,47,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,47,38,1,38,40,47,47
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,47,50,1,50,50,47,47
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,35,44,1,44,44,35,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,0,1,42,38,1,38,40,42,42
0,1,1,1,1,11,1,1,37,56,1,56,56,37,37
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,43,47,1,47,47,43,43
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,34,44,1,44,44,34,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,43,46,1,46,46,43,43
0,1,1,1,1,11,0,1,45,54,1,54,54,45,45
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,35,54,1,54,54,35,35.0000038146973
0,1,1,1,1,11,1,1,48,50,1,50,50,48,48
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,0,0,1,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,45,41,1,41,41,45,45
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,0,1,39,55,1,55,55,39,39
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,35,44,1,44,44,35,35.0000038146973
0,1,1,1,1,11,1,1,42,46,1,46,46,42,42
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,47,47,1,47,47,47,47
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,42,51,1,51,51,42,42
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,43,43,1,43,43,43,43
0,1,1,1,1,11,1,1,45,52,1,52,52,45,45
0,1,1,1,1,11,1,1,45,43,1,43,43,45,45
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,48,56,1,56,56,48,48
0,1,1,1,1,11,1,1,42,46,1,46,46,42,42
0,1,1,1,1,11,1,1,39,46,1,46,46,39,39
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,0,1,11,1,1,39,38,0,38,40,39,39
0,1,1,1,1,11,1,1,45,44,1,44,44,45,45
0,1,1,1,1,11,0,1,44,49,1,49,49,44,44
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,53,54,1,54,54,53,53
0,1,1,1,0,11,0,1,50,54,0,54,54,50,50
0,1,1,1,1,11,1,1,42,43,1,43,43,42,42
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,47,50,1,50,50,47,47
0,1,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,48,52,1,52,52,48,48
0,1,1,1,1,11,1,1,43,51,1,51,51,43,43
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,0,1,52,52,1,52,52,52,52
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,0,1,42,40,1,40,40,42,42
0,1,1,1,1,11,1,1,35,43,1,43,43,35,35.0000038146973
0,1,1,1,1,11,0,1,37,50,1,50,50,37,37
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,42,44,1,44,44,42,42
0,1,1,1,1,11,1,1,35,47,1,47,47,35,35.0000038146973
0,1,1,1,1,11,1,1,35,47,1,47,47,35,35.0000038146973
0,1,1,1,0,11,1,1,42,47,0,47,47,42,42
0,1,1,1,1,11,1,1,37,44,1,44,44,37,37
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,40,47,1,47,47,40,40
0,1,1,1,1,11,1,1,47,43,1,43,43,47,47
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,45,47,1,47,47,45,45
0,1,1,1,1,11,1,1,43,38,1,38,40,43,43
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,45,54,1,54,54,45,45
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,39,40,1,40,40,39,39
0,0,1,1,1,12,1,1,40,32,1,32,40,40,40
0,0,1,1,1,12,1,1,45,41,1,41,41,45,45
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,0,1,42.7117118835449,46.6036033630371,1,46.6036033630371,46.6036033630371,42.7117118835449,42.7117118835449
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,0,0,1,32,40,32,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,0,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,0,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,44,1,44,44,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,42,47,1,47,47,42,42
0,0,1,1,1,12,1,1,38,46,1,46,46,38,38
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,42,48,1,48,48,42,42
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,45,50,1,50,50,45,45
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,34,46,1,46,46,34,35.0000038146973
0,0,1,1,1,12,0,1,48,44,1,44,44,48,48
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,43,47,1,47,47,43,43
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,44,1,44,44,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,47,47,1,47,47,47,47
