"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
285,1,0,0,1,0,0,1,15,3,53,,,0,1,4,1,1,0,1,0,0,0,0,0,1,0
286,1,0,0,1,0,1,1,15,5,35,5,43,0,0,4,1,1,1,0,0,0,0,0,1,1,0
287,1,0,0,1,0,1,0,12,3,38,11,38,0,0,4,1,1,1,1,0,0,0,0,1,1,0
288,1,0,0,1,0,1,1,13,8,35,8,38,0,0,4,1,1,0,0,0,0,0,0,1,1,0
289,1,0,0,1,0,1,0,14,11,38,5,45,0,0,4,1,1,1,1,0,0,0,0,1,1,0
290,1,0,0,1,0,1,1,16,2,45,2,70,0,0,4,1,1,1,1,0,0,0,0,0,1,0
293,1,0,0,1,0,1,0,14,7,50,,50,0,0,4,1,1,1,0,0,0,0,0,0,1,0
298,1,0,0,1,0,1,1,14,4,39,3,54,0,0,4,1,1,1,0,0,0,0,0,0,1,0
299,1,0,0,1,0,1,1,16,8,34,10,42,0,0,4,1,1,1,1,0,0,0,0,0,1,0
300,1,0,0,1,0,0,1,14,5,32,5,36,0,0,4,1,1,1,1,0,1,0,0,1,1,0
301,1,0,0,1,0,0,1,15,,,,,1,0,4,1,1,1,0,0,0,0,0,0,1,0
302,1,0,0,1,0,1,0,13,5,34,5,37,0,0,4,1,1,1,1,0,0,0,0,1,1,0
304,1,0,0,1,0,0,0,14,5,43,5,45,0,0,4,1,1,1,0,0,0,0,0,0,1,0
305,1,0,0,1,0,0,0,15,6,48,8,64,0,1,4,1,1,0,0,0,0,0,0,0,1,0
308,1,0,0,1,0,0,0,13,,,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
309,1,0,0,1,0,1,0,14,5,37,5,38,0,0,4,1,1,1,0,0,0,0,0,1,1,0
310,1,0,0,1,0,1,0,16,6,39,,,0,0,4,1,1,1,1,0,0,0,0,0,1,0
316,1,0,0,1,0,0,1,17,2,36,3,40,1,1,4,1,1,0,0,9,1,0,0,0,1,0
317,1,0,0,1,0,1,0,15,8,36,10,38,0,0,4,1,1,0,0,0,0,0,0,0,1,0
318,1,0,0,1,0,1,0,14,8,39,5,38,0,0,4,1,1,1,1,0,0,0,0,0,1,0
321,1,0,0,1,0,0,1,18,5,36,3,50,1,0,4,1,1,1,0,0,0,0,0,0,1,0
323,1,0,0,1,0,1,0,14,11,39,11,49,0,0,4,1,1,1,0,0,0,0,0,0,1,0
324,1,0,0,1,0,1,0,15,9,53,,55,0,0,3,1,1,1,1,0,0,0,0,0,1,0
327,1,0,0,1,0,0,1,16,5,56,6,51,0,0,1,0,0,0,0,40,1,0,0,0,1,0
329,1,0,0,1,0,1,0,15,9,37,7,47,0,0,4,1,1,1,0,0,0,0,0,0,1,0
334,1,0,0,1,0,0,0,14,5,53,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
337,1,0,0,1,0,1,1,14,3,39,5,37,0,1,4,1,1,0,1,0,0,0,0,1,1,0
339,1,0,0,1,0,0,1,16,9,39,9,41,0,0,4,0,0,0,0,0,0,0,0,0,1,0
341,1,0,0,1,0,1,1,15,5,32,6,45,1,0,3,1,1,1,0,0,0,0,0,0,1,0
342,1,0,0,1,0,0,0,14,9,38,8,34,0,0,4,1,1,1,0,0,0,0,0,0,1,0
344,1,0,0,1,0,1,1,16,8,33,,,0,0,4,1,1,1,1,0,0,0,0,0,1,0
347,1,0,0,1,0,0,1,15,,46,6,37,0,0,4,1,1,1,0,0,0,0,0,0,1,0
349,1,0,0,1,0,1,0,17,9,34,11,38,0,0,2,1,0,0,0,0,0,0,0,1,1,0
350,1,0,0,1,0,1,1,14,2,51,2,46,0,0,4,1,1,1,1,0,0,0,0,1,1,0
353,1,0,0,1,0,0,0,13,11,37,,32,0,0,4,1,1,1,0,0,0,0,0,0,1,0
354,1,0,0,1,0,0,1,14,2,47,7,38,0,1,4,1,1,0,1,0,0,0,0,0,1,0
359,1,0,0,1,0,1,0,15,3,49,1,55,0,0,4,1,1,1,1,20,1,0,0,0,1,0
362,1,0,0,1,0,1,0,13,7,43,8,45,0,0,4,1,1,1,1,0,0,0,0,0,1,0
366,1,0,0,1,0,0,0,14,6,30,5,42,0,0,4,1,1,1,0,0,0,0,0,1,1,0
367,1,0,0,1,0,1,1,16,4,46,4,51,1,0,2,1,0,0,0,0,0,0,0,0,1,0
368,1,0,0,1,0,1,1,17,,,5,46,0,0,4,1,1,1,0,0,0,0,0,0,1,1
370,1,0,0,1,0,0,0,15,3,40,1,56,0,1,3,1,0,0,0,0,0,0,0,0,1,0
371,1,0,0,1,0,0,1,14,5,40,9,43,0,0,4,1,1,1,0,0,0,0,0,0,1,0
373,1,0,0,1,0,0,1,14,5,33,5,42,0,0,4,1,1,1,0,0,0,0,0,0,1,0
374,1,0,0,1,0,1,0,14,7,33,5,45,1,0,4,1,1,1,1,0,1,0,0,1,1,0
375,1,0,0,1,0,0,1,15,11,38,,38,1,0,4,1,0,0,0,0,0,0,0,0,1,0
378,1,0,0,1,0,1,1,15,5,45,6,48,0,2,3,0,0,0,0,0,0,0,0,1,1,0
380,1,0,0,1,0,0,1,16,5,37,,,0,0,1,0,0,0,0,40,1,0,0,0,1,0
381,1,0,0,1,0,1,0,13,5,42,5,45,1,0,4,1,1,1,1,0,0,0,0,1,1,0
383,1,0,0,1,0,0,1,15,5,57,5,57,0,0,1,1,0,0,0,0,0,0,0,0,1,0
384,1,0,0,1,0,0,1,14,5,34,9,43,0,0,4,1,1,1,0,0,0,0,0,0,1,0
385,1,0,0,1,0,1,0,15,6,40,2,48,1,0,4,1,1,1,1,0,0,0,0,0,1,0
386,1,0,0,1,0,0,1,16,0,34,8,45,1,0,3,1,1,1,0,40,1,0,0,0,1,0
389,1,0,0,1,0,1,0,16,5,53,5,65,0,0,4,1,1,1,1,10,1,0,0,0,1,0
390,1,0,0,1,0,1,0,16,0,48,,53,1,0,4,1,1,1,1,40,1,0,0,0,1,0
391,1,0,0,1,0,0,0,14,8,44,2,54,0,0,4,1,1,1,0,4,1,0,0,1,1,0
392,1,0,0,1,0,0,1,15,8,36,,40,0,0,4,1,1,1,0,0,0,0,0,0,1,0
394,1,0,0,1,0,1,1,13,5,40,11,39,1,0,4,1,1,1,1,0,0,0,0,0,1,0
395,1,0,0,1,0,1,0,14,8,35,8,35,0,0,4,1,1,1,1,0,0,0,0,0,1,0
399,1,0,0,1,0,0,0,14,7,38,8,40,1,0,4,1,1,1,0,0,0,0,0,0,1,0
400,1,0,0,1,0,0,0,16,5,39,,36,0,0,4,1,1,1,0,0,0,0,0,0,1,0
401,1,0,0,1,0,1,1,15,5,31,5,36,0,0,4,1,1,1,1,0,0,0,0,0,1,0
403,1,0,0,1,0,0,1,16,6,42,6,49,0,0,3,1,1,0,0,0,0,1,1,0,1,0
404,1,0,0,1,0,0,0,14,3,44,,43,1,0,4,1,1,1,0,0,0,0,0,0,1,0
405,1,0,0,1,0,0,1,14,6,40,1,65,0,1,4,1,1,0,0,0,0,0,0,0,1,0
406,1,0,0,1,0,0,1,16,7,44,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0
410,1,0,0,1,0,0,1,15,4,52,3,50,0,0,4,1,1,1,0,0,0,0,0,0,1,0
411,1,0,0,1,0,1,0,19,5,42,5,45,1,0,2,1,1,0,0,0,0,0,0,1,1,0
414,1,0,0,1,0,0,0,15,5,38,2,49,0,0,4,1,1,1,0,0,0,0,0,0,1,0
416,1,0,0,1,0,1,1,15,5,37,3,40,0,0,4,1,1,1,1,0,0,0,0,1,1,0
422,1,0,0,1,0,1,1,16,6,33,,31,0,0,4,1,1,0,0,0,0,0,0,0,1,0
424,1,0,0,1,0,1,0,14,5,37,6,48,0,0,4,1,1,0,0,0,0,0,0,0,1,0
425,1,0,0,1,0,0,1,14,5,33,5,38,0,2,4,1,0,0,0,25,1,0,0,0,1,0
427,1,0,0,1,0,1,1,15,1,45,,,0,0,4,1,1,1,1,0,0,0,0,1,1,0
430,1,0,0,1,0,0,0,15,2,51,,,0,0,4,1,1,1,0,10,1,0,0,1,1,0
434,1,0,0,1,0,0,1,15,3,50,2,55,1,0,4,1,1,1,0,0,0,0,0,0,1,1
435,1,0,0,1,0,1,0,14,5,42,5,42,1,0,4,1,1,1,1,0,0,0,0,0,1,0
437,1,0,0,1,0,0,0,14,,26,8,37,0,0,4,1,1,0,0,0,0,0,0,0,1,0
439,1,0,0,1,0,0,0,14,5,32,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
441,1,0,0,1,0,1,0,14,5,52,,53,0,0,4,1,1,1,1,0,0,0,0,1,1,0
442,1,0,0,1,0,0,0,15,4,48,3,68,0,0,2,1,1,0,0,0,0,0,0,0,1,0
445,1,0,0,1,0,1,1,15,,35,,43,0,0,4,1,1,1,1,0,0,0,0,1,1,0
447,1,0,0,1,0,1,1,17,10,42,5,46,0,0,4,1,1,1,0,20,1,0,0,0,1,1
452,1,0,0,1,0,0,0,14,11,36,2,36,0,0,4,1,1,1,0,0,0,0,0,1,1,0
453,1,0,0,1,0,1,1,13,5,43,5,53,0,0,4,1,1,1,0,0,0,0,0,0,1,0
454,1,0,0,1,0,0,0,14,7,49,8,43,0,0,4,1,1,1,0,0,0,0,0,0,1,0
455,1,0,0,1,0,1,1,15,11,40,,,0,1,5,1,1,1,1,0,0,0,0,0,1,1
