"grade","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_numrd","c_type","flgrm","mrkgrm","ngrm","flmth","mrkmth","nmth","towncode","townname","popcode","tip_a","classid","classize","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
5,21359,43,22,21,8,2,1,1,"2",2,2,33.3300018310547,71,39,46.3400001525879,57,41,91009,"„‰˜„",12,10,2,21,43,19,54.0499992370605,47.4000015258789,19,70.7399978637695,42.0999984741211,1,0,0,1,0,2,54.0499992370605,47.4000015258789,19,70.7399978637695,42.0999984741211,19,0,,,10,91009,10
5,21359,43,22,21,8,2,1,1,"2",2,2,33.3300018310547,71,39,46.3400001525879,57,41,91009,"„‰˜„",12,10,1,22,43,22,59.5477256774902,45.4245452880859,20,71.2470016479492,24.9985008239746,,1,0,1,0,2,54.0499992370605,47.4000015258789,19,70.7399978637695,42.0999984741211,19,1,20,22,10,91009,10
5,21361,105,60,45,19,1,2,1,"1",3,3,31.5200004577637,71,92,52.1699981689453,55,92,11395,"Œ€‰Ž˜‹",11,2,1,39,105,34,53.6199989318848,64.6999969482422,34,72.5,20.6000003814697,1,0,0,1,0,3,55.6822204589844,57.1507949829102,63,68.89111328125,30.1746025085449,63,0,,,2,11395,2
5,21361,105,60,45,19,1,2,1,"1",3,3,31.5200004577637,71,92,52.1699981689453,55,92,11395,"Œ€‰Ž˜‹",11,2,2,33,105,29,58.0999984741211,48.2999992370605,29,64.6600036621094,41.4000015258789,1,0,0,1,0,3,55.6822204589844,57.1507949829102,63,68.89111328125,30.1746025085449,63,0,,,2,11395,2
5,21361,105,60,45,19,1,2,1,"1",3,3,31.5200004577637,71,92,52.1699981689453,55,92,11395,"Œ€‰Ž˜‹",11,2,3,33,105,29,53.5179328918457,41.3496551513672,29,75.5813827514648,34.4427604675293,,1,0,1,0,3,55.6822204589844,57.1507949829102,63,68.89111328125,30.1746025085449,63,1,29,29,2,11395,2
5,21362,62,28,34,13,1,2,1,"1",2,2,29.3099994659424,72,58,20.3400001525879,67,59,10611,"š‰Œ’ š˜–",11,13,1,31,62,28,61.8899993896484,39.2999992370605,27,70.4400024414062,37,1,0,0,0,0,2,67.4227142333984,20.332202911377,59,72.4282760620117,29.3034477233887,58,0,,,13,10611,13
5,21362,62,28,34,13,1,2,1,"1",2,2,29.3099994659424,72,58,20.3400001525879,67,59,10611,"š‰Œ’ š˜–",11,13,2,31,62,31,72.4199981689453,3.20000004768372,31,74.1600036621094,22.6000003814697,1,0,0,0,0,2,67.4227142333984,20.332202911377,59,72.4282760620117,29.3034477233887,58,0,,,13,10611,13
5,21363,149,84,65,23,1,1,1,"2",5,4,33.3300018310547,73,138,23.9099998474121,64,138,77008,"„Œ…”’",11,9,1,38,139,38,71.4499969482422,21.1000003814697,38,75.3199996948242,18.3999996185303,1,0,0,0,0,4,64.4065246582031,23.9355068206787,138,72.9797134399414,33.3159408569336,138,0,,,9,77008,9
5,21363,149,84,65,23,1,1,1,"2",5,4,33.3300018310547,73,138,23.9099998474121,64,138,77008,"„Œ…”’",11,9,2,28,139,28,55.7900009155273,39.2999992370605,28,71.4300003051758,39.2999992370605,1,0,0,0,0,4,64.4065246582031,23.9355068206787,138,72.9797134399414,33.3159408569336,138,0,,,9,77008,9
5,21363,149,84,65,23,1,1,1,"2",5,4,33.3300018310547,73,138,23.9099998474121,64,138,77008,"„Œ…”’",11,9,3,35,139,35,59.5999984741211,22.8999996185303,35,71.7099990844727,51.4000015258789,1,0,0,0,0,4,64.4065246582031,23.9355068206787,138,72.9797134399414,33.3159408569336,138,0,,,9,77008,9
5,21363,149,84,65,23,1,1,1,"2",5,4,33.3300018310547,73,138,23.9099998474121,64,138,77008,"„Œ…”’",11,9,4,38,139,37,68.2399978637695,16.2000007629395,37,72.9499969482422,27,1,0,0,0,0,4,64.4065246582031,23.9355068206787,138,72.9797134399414,33.3159408569336,138,0,,,9,77008,9
5,21366,133,56,77,24,1,2,1,"",4,4,9.44999980926514,81,127,12.5,74,128,9175,"‚™",11,1,1,32,133,29,74.4499969482422,3.40000009536743,29,86.6600036621094,3.40000009536743,1,0,0,0,0,4,73.8439865112305,12.5015621185303,128,81.3944091796875,9.45275592803955,127,0,,,1,9175,1
5,21366,133,56,77,24,1,2,1,"",4,4,9.44999980926514,81,127,12.5,74,128,9175,"‚™",11,1,2,34,133,34,74.7099990844727,8.80000019073486,34,81.0299987792969,8.80000019073486,1,0,0,0,0,4,73.8439865112305,12.5015621185303,128,81.3944091796875,9.45275592803955,127,0,,,1,9175,1
5,21366,133,56,77,24,1,2,1,"",4,4,9.44999980926514,81,127,12.5,74,128,9175,"‚™",11,1,3,33,133,32,72.0899963378906,21.8999996185303,31,76,19.3999996185303,1,0,0,0,0,4,73.8439865112305,12.5015621185303,128,81.3944091796875,9.45275592803955,127,0,,,1,9175,1
5,21366,133,56,77,24,1,2,1,"",4,4,9.44999980926514,81,127,12.5,74,128,9175,"‚™",11,1,4,34,133,33,74.120002746582,15.1999998092651,33,82.2099990844727,6.09999990463257,1,0,0,0,0,4,73.8439865112305,12.5015621185303,128,81.3944091796875,9.45275592803955,127,0,,,1,9175,1
5,21367,131,67,64,20,1,2,1,"1",4,4,11.8199996948242,78,110,31.0900001525879,64,119,11395,"Œ€‰Ž˜‹",11,3,1,32,131,31,62.189998626709,38.7000007629395,27,75.9599990844727,11.1000003814697,1,0,0,1,0,4,63.2586441040039,33.3156242370605,96,77.2209014892578,13.5033712387085,89,0,,,3,11395,3
5,21367,131,67,64,20,1,2,1,"1",4,4,11.8199996948242,78,110,31.0900001525879,64,119,11395,"Œ€‰Ž˜‹",11,3,2,34,131,33,67.8199996948242,24.2000007629395,31,76.7699966430664,19.3999996185303,1,0,0,1,0,4,63.2586441040039,33.3156242370605,96,77.2209014892578,13.5033712387085,89,0,,,3,11395,3
5,21367,131,67,64,20,1,2,1,"1",4,4,11.8199996948242,78,110,31.0900001525879,64,119,11395,"Œ€‰Ž˜‹",11,3,3,33,131,32,59.5900001525879,37.5,31,78.7699966430664,9.69999980926514,1,0,0,1,0,4,63.2586441040039,33.3156242370605,96,77.2209014892578,13.5033712387085,89,0,,,3,11395,3
5,21367,131,67,64,20,1,2,1,"1",4,4,11.8199996948242,78,110,31.0900001525879,64,119,11395,"Œ€‰Ž˜‹",11,3,4,32,131,23,67.0943450927734,21.8004341125488,21,81.3019027709961,4.68571424484253,,1,0,1,0,4,63.2586441040039,33.3156242370605,96,77.2209014892578,13.5033712387085,89,1,21,23,3,11395,3
