"date","pc1ff1_hf","sp500_hf","mp_pm","cbi_pm","mp_median","cbi_median"
2002-02-01,0,0,0,0,0,0
2002-03-01,-0.0706803,-0.38271,0,-0.0706803,-0.01199987,-0.05868043
2002-04-01,0,0,0,0,0,0
2002-05-01,-0.04049529,-0.37352,0,-0.04049529,0.00253216,-0.04302745
2002-06-01,0.00353381,-0.60479,0.00353381,0,0.03865114,-0.03511733
2002-07-01,0,0,0,0,0,0
2002-08-01,-0.10404768,-0.69761,0,-0.10404768,-0.00947881,-0.09456887
2002-09-01,-0.01169735,-0.9571,0,-0.01169735,0.05252183,-0.06421918
2002-10-01,0,0,0,0,0,0
2002-11-01,-0.11463898,-0.92593,0,-0.11463898,-0.00084994,-0.11378904
2002-12-01,0.02113456,-0.33811,0.02113456,0,0.03118754,-0.01005298
2003-01-01,0.04731305,0.16534,0,0.04731305,0.01357296,0.03374009
2003-02-01,0,0,0,0,0,0
2003-03-01,-0.00816872,-0.50717,0,-0.00816872,0.02684634,-0.03501506
2003-04-01,0,0,0,0,0,0
2003-05-01,-0.08343663,0.17834,-0.08343663,0,-0.05259471,-0.03084192
2003-06-01,0.13697061,-0.27153,0.13697061,0,0.08504506,0.05192555
2003-07-01,0,0,0,0,0,0
2003-08-01,-0.03580945,-0.10492,0,-0.03580945,-0.01150599,-0.02430346
2003-09-01,-0.00042927,-0.18495,0,-0.00042927,0.01106488,-0.01149415
2003-10-01,-0.0833783,-0.05012,0,-0.0833783,-0.03863249,-0.04474581
2003-11-01,0,0,0,0,0,0
2003-12-01,0.034263,-0.05813,0.034263,0,0.02067667,0.01358633
2004-01-01,0.12793535,-0.9677,0.12793535,0,0.12298464,0.00495071
2004-02-01,0,0,0,0,0,0
2004-03-01,-0.05755957,-0.07294,0,-0.05755957,-0.0243314,-0.03322817
2004-04-01,0,0,0,0,0,0
2004-05-01,0.00474763,0.36567,0,0.00474763,-0.01992724,0.02467487
2004-06-01,-0.02035326,0.28122,-0.02035326,0,-0.02732735,0.00697409
2004-07-01,0,0,0,0,0,0
2004-08-01,0.04259972,-0.2991,0.04259972,0,0.03954103,0.00305869
2004-09-01,-0.01437433,0.06393,-0.01437433,0,-0.01108605,-0.00328828
2004-10-01,0,0,0,0,0,0
2004-11-01,-0.02946366,0.08411,-0.02946366,0,-0.01986143,-0.00960223
2004-12-01,-0.01466896,0.05833,-0.01466896,0,-0.01089184,-0.00377712
2005-01-01,0,0,0,0,0,0
2005-02-01,-0.01296747,0.00504,-0.01296747,0,-0.00679111,-0.00617636
2005-03-01,0.0660623,-0.28511,0.0660623,0,0.05041911,0.01564319
2005-04-01,0,0,0,0,0,0
2005-05-01,0.01907314,0.32116,0,0.01907314,-0.01004996,0.0291231
2005-06-01,0.03881605,-0.42657,0.03881605,0,0.04542318,-0.00660713
2005-07-01,0,0,0,0,0,0
2005-08-01,-0.02272568,0.23399,-0.02272568,0,-0.02563315,0.00290747
2005-09-01,0.02400702,-0.12166,0.02400702,0,0.01942317,0.00458385
2005-10-01,0,0,0,0,0,0
2005-11-01,0.00732103,0.24188,0,0.00732103,-0.01109098,0.01841201
2005-12-01,-0.02032386,0.48448,-0.02032386,0,-0.03970884,0.01938498
2006-01-01,0.03081584,-0.28159,0.03081584,0,0.03258121,-0.00176537
2006-02-01,0,0,0,0,0,0
2006-03-01,0.05033096,-0.64595,0.05033096,0,0.06455993,-0.01422897
2006-04-01,0,0,0,0,0,0
2006-05-01,0.05280837,-0.15511,0.05280837,0,0.03586385,0.01694452
2006-06-01,-0.03886192,0.49365,-0.03886192,0,-0.04953712,0.0106752
2006-07-01,0,0,0,0,0,0
2006-08-01,-0.0399294,-0.26456,0,-0.0399294,-0.00383002,-0.03609938
2006-09-01,0.01383606,-0.24016,0.01383606,0,0.02156463,-0.00772857
2006-10-01,-0.00910732,-0.03989,0,-0.00910732,-0.00212089,-0.00698643
2006-11-01,0,0,0,0,0,0
2006-12-01,-0.03133064,0.28273,-0.03133064,0,-0.03290813,0.00157749
2007-01-01,-0.0089254,0.52273,-0.0089254,0,-0.03634235,0.02741695
2007-02-01,0,0,0,0,0,0
2007-03-01,-0.08069095,0.88763,-0.08069095,0,-0.09447923,0.01378828
2007-04-01,0,0,0,0,0,0
2007-05-01,0.03522767,-0.1418,0.03522767,0,0.02626177,0.0089659
2007-06-01,0.01032226,-0.28916,0.01032226,0,0.02279609,-0.01247383
2007-07-01,0,0,0,0,0,0
2007-08-01,-0.02759232,-0.95973,-0.00442644,-0.02316588,0.04473474,-0.07232706
2007-09-01,-0.20049325,1.33054,-0.20049325,0,-0.18139206,-0.01910119
2007-10-01,0.06460956,-0.44209,0.06460956,0,0.05926645,0.00534311
2007-11-01,0,0,0,0,0,0
2007-12-01,0.03554623,-1.59674,0.03554623,0,0.11515325,-0.07960702
2008-01-01,-0.27614497,-0.16869,-0.12208952,-0.15405545,-0.12778462,-0.14836035
2008-02-01,0,0,0,0,0,0
2008-03-01,0.16157318,-1.05246,0.04589448,0.1156787,0.1449728,0.01660038
2008-04-01,-0.08351626,0.31143,-0.08351626,0,-0.06075126,-0.022765
2008-05-01,0,0,0,0,0,0
2008-06-01,-0.01356726,0.10337,-0.01356726,0,-0.01308784,-0.00047942
2008-07-01,0,0,0,0,0,0
2008-08-01,-0.0282949,0.10375,-0.0282949,0,-0.02047484,-0.00782006
2008-09-01,0.09565906,-0.76838,0.09565906,0,0.0946906,0.00096846
2008-10-01,-0.1051179,-2.61509,0,-0.1051179,0.10692713,-0.21204503
2008-11-01,-0.09062378,0.18666,-0.09062378,0,-0.05669569,-0.03392809
2008-12-01,-0.26882177,0.85903,-0.26882177,0,-0.18680041,-0.08202136
2009-01-01,-0.00853502,-0.09395,0,-0.00853502,0.0014622,-0.00999722
2009-02-01,0,0,0,0,0,0
2009-03-01,-0.04423513,1.5276,-0.04423513,0,-0.11528107,0.07104594
2009-04-01,0.01714819,0.75174,0,0.01714819,-0.03727216,0.05442035
2009-05-01,0,0,0,0,0,0
2009-06-01,0.03955339,-0.50384,0.03955339,0,0.05050431,-0.01095092
2009-07-01,0,0,0,0,0,0
2009-08-01,-0.01426223,-0.25911,0,-0.01426223,0.00867119,-0.02293342
2009-09-01,-0.08831901,0.63447,-0.08831901,0,-0.08285383,-0.00546518
2009-10-01,0,0,0,0,0,0
2009-11-01,-0.01985505,0.07677,-0.01985505,0,-0.01460949,-0.00524556
2009-12-01,0.00116759,-0.09519,0.00116759,0,0.00638913,-0.00522154
2010-01-01,0.02315421,0.0819,0,0.02315421,0.00658228,0.01657193
2010-02-01,0,0,0,0,0,0
2010-03-01,-0.03390331,0.18716,-0.03390331,0,-0.02836595,-0.00553736
2010-04-01,-0.01217687,0.20239,-0.01217687,0,-0.01843156,0.00625469
2010-05-01,0,0,0,0,0,0
2010-06-01,0.0057131,0.34373,0,0.0057131,-0.01810646,0.02381956
2010-07-01,0,0,0,0,0,0
2010-08-01,-0.02154863,0.69335,-0.02154863,0,-0.05305954,0.03151091
2010-09-01,-0.00582931,0.62964,-0.00582931,0,-0.04131441,0.0354851
2010-10-01,0,0,0,0,0,0
2010-11-01,-0.0020978,-0.48747,0,-0.0020978,0.02868036,-0.03077816
2010-12-01,-0.00228138,0.00883,-0.00228138,0,-0.0016792,-0.00060218
2011-01-01,-0.01130478,-0.05857,0,-0.01130478,-0.00208039,-0.00922439
2011-02-01,0,0,0,0,0,0
2011-03-01,0.00676023,0.28501,0,0.00676023,-0.01400175,0.02076198
2011-04-01,-0.01298158,0.14414,-0.01298158,0,-0.01528143,0.00229985
2011-05-01,0,0,0,0,0,0
2011-06-01,0.00446474,0.09572,0,0.00446474,-0.00360529,0.00807003
2011-07-01,0,0,0,0,0,0
2011-08-01,-0.02709792,-0.89025,0,-0.02709792,0.04074458,-0.0678425
2011-09-01,0.05037597,-0.26924,0.05037597,0,0.04160808,0.00876789
2011-10-01,0,0,0,0,0,0
2011-11-01,0.0108123,-0.15528,0.0108123,0,0.01487619,-0.00406389
2011-12-01,0.00787436,-0.75199,0.00787436,0,0.04979868,-0.04192432
2012-01-01,-0.01831674,0.34102,-0.01831674,0,-0.0299561,0.01163936
2012-02-01,0,0,0,0,0,0
2012-03-01,0.00922353,-0.05568,0.00922353,0,0.00800751,0.00121602
2012-04-01,0,-0.04978,0,0,0.00303593,-0.00303593
2012-05-01,0,0,0,0,0,0
2012-06-01,0.018145,-0.0517,0.018145,0,0.01222552,0.00591948
2012-07-01,0,0,0,0,0,0
2012-08-01,0.01359175,-0.01087,0.01359175,0,0.0074588,0.00613295
2012-09-01,0.01731835,0.5984,0,0.01731835,-0.02783535,0.0451537
2012-10-01,-0.00216518,-0.05795,0,-0.00216518,0.0024516,-0.00461678
2012-11-01,0,0,0,0,0,0
2012-12-01,-0.00403442,0.38377,-0.00403442,0,-0.02542213,0.02138771
2013-01-01,0.00106644,-0.0604,0.00106644,0,0.00421683,-0.00315039
2013-02-01,0,0,0,0,0,0
2013-03-01,0.00375805,0.09572,0,0.00375805,-0.00395864,0.00771669
2013-04-01,0,0,0,0,0,0
2013-05-01,-0.00231594,0.14757,-0.00231594,0,-0.0101578,0.00784186
2013-06-01,0.00338011,-0.05759,0.00338011,0,0.00520229,-0.00182218
2013-07-01,0.00333372,0.46186,0,0.00333372,-0.02650052,0.02983424
2013-08-01,0,0,0,0,0,0
2013-09-01,-0.01398228,0.93123,-0.01398228,0,-0.06378392,0.04980164
2013-10-01,0.00228138,-0.33014,0.00228138,0,0.02127489,-0.01899351
2013-11-01,0,0,0,0,0,0
2013-12-01,-0.00109873,0.78887,-0.00109873,0,-0.04866006,0.04756133
2014-01-01,-0.00109873,-0.45282,0,-0.00109873,0.0270667,-0.02816543
2014-02-01,0,0,0,0,0,0
2014-03-01,0.01498302,-0.17357,0.01498302,0,0.018077,-0.00309398
2014-04-01,0.00118265,0.02448,0,0.00118265,-0.00090163,0.00208428
2014-05-01,0,0,0,0,0,0
2014-06-01,0.0081248,0.33186,0,0.0081248,-0.01617669,0.02430149
2014-07-01,-0.00671383,0.40578,-0.00671383,0,-0.02810416,0.02139033
2014-08-01,0,0,0,0,0,0
2014-09-01,0.01498302,0.27313,0,0.01498302,-0.00916583,0.02414885
2014-10-01,0.02510518,-0.35665,0.02510518,0,0.03430355,-0.00919837
2014-11-01,0,0,0,0,0,0
2014-12-01,-0.05706143,0.79783,-0.05706143,0,-0.07718785,0.02012642
2015-01-01,-0.00584341,-0.19384,0,-0.00584341,0.00889998,-0.01474339
2015-02-01,0,0,0,0,0,0
2015-03-01,-0.06642308,1.49382,-0.06642308,0,-0.12431491,0.05789183
2015-04-01,-0.00315181,0.09926,-0.00315181,0,-0.00762946,0.00447765
2015-05-01,0,0,0,0,0,0
2015-06-01,-0.04034122,0.35392,-0.04034122,0,-0.04175507,0.00141385
2015-07-01,-0.00910732,0.16123,-0.00910732,0,-0.01438657,0.00527925
2015-08-01,0,0,0,0,0,0
2015-09-01,-0.06920433,0.15194,-0.06920433,0,-0.04386851,-0.02533582
2015-10-01,0.03976108,-0.70941,0.03976108,0,0.06314522,-0.02338414
2015-11-01,0,0,0,0,0,0
2015-12-01,0.01815457,0.09938,0,0.01815457,0.00301641,0.01513816
2016-01-01,-0.02584695,-0.3674,0,-0.02584695,0.00948309,-0.03533004
2016-02-01,0,0,0,0,0,0
2016-03-01,-0.08862207,0.24853,-0.08862207,0,-0.0594681,-0.02915397
2016-04-01,0.00873104,0.23738,0,0.00873104,-0.01011154,0.01884258
2016-05-01,0,0,0,0,0,0
2016-06-01,-0.04092552,-0.0389,0,-0.04092552,-0.01809037,-0.02283515
2016-07-01,0.00072246,0.17277,0,0.00072246,-0.01017547,0.01089793
2016-08-01,0,0,0,0,0,0
2016-09-01,-0.03507349,0.28085,-0.03507349,0,-0.0346649,-0.00040859
2016-10-01,0,0,0,0,0,0
2016-11-01,0.00146039,0.08383,0,0.00146039,-0.00438233,0.00584272
2016-12-01,0.03711572,-0.15587,0.03711572,0,0.02806388,0.00905184
2017-01-01,0,0,0,0,0,0
2017-02-01,-0.02216114,0.18312,-0.02216114,0,-0.02224848,8.734e-05
2017-03-01,-0.04856028,0.23708,-0.04856028,0,-0.0387389,-0.00982138
2017-04-01,0,0,0,0,0,0
2017-05-01,0.01326149,0.02895,0,0.01326149,0.00486518,0.00839631
2017-06-01,0.01882106,-0.05658,0.01882106,0,0.01286117,0.00595989
2017-07-01,-0.01297747,0.02219,-0.01297747,0,-0.00784203,-0.00513544
2017-08-01,0,0,0,0,0,0
2017-09-01,0.04161813,-0.14685,0.04161813,0,0.02976498,0.01185315
2017-10-01,0,0,0,0,0,0
2017-11-01,-0.00056298,0.08574,-0.00056298,0,-0.0055105,0.00494752
2017-12-01,-0.00584341,0.10802,-0.00584341,0,-0.0095095,0.00366609
2018-01-01,0.00528112,-0.08058,0.00528112,0,0.00755488,-0.00227376
2018-02-01,0,0,0,0,0,0
