"date","mu_bus","mu_bus_ws","mu_bus_ws_oh","mu_nfb","mu_nfcb","lmu_cd","lmu_cd_ws","lmu_cd_ws1","lmu_cd_ws_oh","lmu_cd_nfb","lmu_cd_nfcb","lmu_ces_yl","lmu_ces_yl_zsvar","lmu_ces_yk","lmu_ces_yk_ums","lmu_ces_yk_ujf","lmu_ces_oh_yl","lmu_ces_oh_yl_zsvar","lmu_ces_oh_yk","lmu_ces_oh_yk_ums","lmu_ces_oh_yk_ujf","lmu_cd_marg"
1969-10-01,1.54366629735456,1.8615788483867,2.24683516781444,1.53783862103422,1.53565314274844,0.434160299587047,0.621424970880104,0.621424970880104,0.809522633954586,0.430377937772049,0.42895579070149,3.70639950016328,0.426314651759354,0.0706701298528888,0.0697401178174683,0.0809110782539971,4.08176183453082,0.801676986126893,0.446032464220428,0.445102452185008,0.456273412621536,
1970-01-01,1.53634160185313,1.86005411117408,2.24847241209992,1.53144043011092,1.51991819864581,0.429404007038723,0.620605579331021,0.620605579331021,0.810251057684784,0.426208750099938,0.418656516729624,3.70619017374494,0.422032182335638,0.0700604800032315,0.06801668978288,0.073135143871378,4.087037224391,0.802879232981699,0.450907530649293,0.448863740428941,0.453982194517439,
1970-04-01,1.55441088428088,1.87876551366119,2.27352719605853,1.5523097518926,1.53566488677303,0.441096621295947,0.630614919488716,0.630614919488716,0.821332456409988,0.439743984252136,0.428963438248553,3.72947607894101,0.432007178260469,0.0845568499915296,0.0817352415552153,0.0815116655412674,4.10971191405505,0.81224301337451,0.464792685105571,0.461971076669257,0.461747500655309,
1970-07-01,1.56361486134895,1.88926809557872,2.2864166459112,1.55939643240385,1.5345496009122,0.447000359463604,0.63618950305396,0.63618950305396,0.826985808568996,0.444298844090214,0.428236918382035,3.75283577812133,0.443131712798455,0.0893423249057759,0.0868803817417172,0.0851174240331609,4.13282122722672,0.823117161903847,0.469327774011167,0.466865830847109,0.465102873138552,
1970-10-01,1.55439125617879,1.88618842081595,2.28735398171772,1.55207876697715,1.52900318879752,0.441083993858624,0.634558084213646,0.634558084213646,0.827395683001252,0.439595172391457,0.424616012489239,3.7405891202159,0.42872808200789,0.0936232103013606,0.0882054223394914,0.0852770419032263,4.12690080935853,0.815039771150518,0.479934899443989,0.474517111482119,0.471588731045854,
1971-01-01,1.58695768380733,1.92761014583748,2.33621904827593,1.58207540745449,1.5563006773364,0.461818776921183,0.65628096922603,0.65628096922603,0.848533831235853,0.458737534109914,0.442311644450988,3.7898041246274,0.463730001244831,0.103806537700312,0.10147751458438,0.10001449586758,4.17651917894207,0.850445055559501,0.490521592014982,0.48819256889905,0.48672955018225,
1971-04-01,1.58894408969719,1.92739219510166,2.33342342616294,1.58265275973754,1.5567880836786,0.46306970109362,0.656167894982864,0.656167894982864,0.847336470854499,0.459102401017251,0.442624778051478,3.79153341775578,0.463758416229899,0.106067834744927,0.103492658158266,0.102398187745465,4.17580018751666,0.848025185990779,0.490334604505806,0.487759427919146,0.486664957506344,
1971-07-01,1.59517799370095,1.93792080368887,2.34633484391919,1.59071828956678,1.56082872443157,0.466985324807406,0.661615647663957,0.661615647663957,0.852854469764693,0.46418566866634,0.445216913816805,3.80760557022301,0.467841452028427,0.109757777741316,0.107310812286067,0.100357951139985,4.19347471518029,0.853710596985714,0.495626922698603,0.493179957243354,0.486227096097271,
1971-10-01,1.57940577997742,1.91883843987299,2.32518675438854,1.5720705791656,1.56621970316239,0.457048687677928,0.651720023733094,0.651720023733094,0.843800360281673,0.452393590687185,0.448664883489508,3.78929724631499,0.455475472785942,0.102988330623646,0.0996982868673686,0.099141289155493,4.17604891891874,0.842227145389687,0.489740003227391,0.486449959471113,0.485892961759238,
1972-01-01,1.57439022535939,1.92410374057233,2.32206381915557,1.57237005138158,1.55561116476225,0.453868038810422,0.654460270006311,0.654460270006311,0.84245636746113,0.452584067946625,0.441868500415797,3.79749886205154,0.45896379163223,0.0937244414760693,0.0923611609504137,0.0922140895414967,4.18608719070225,0.847552120282938,0.482312770126777,0.480949489601121,0.480802418192204,
