"year","activity","sex","age_group","hours"
1923,"home_production","female","14-17",17.921
1923,"home_production","female","18-24",32.7222742622103
1923,"home_production","female","25-54",46.7799032469736
1923,"home_production","female","55-64",43.5783950438326
1923,"home_production","female","65+",37.955211729224
1923,"home_production","male","14+",4.07540907638748
1923,"home_production","male","14-17",3.8633
1923,"home_production","male","18-24",4.54858543850908
1923,"home_production","male","25-54",3.59528114570304
1923,"home_production","male","55-64",4.29982532552294
1923,"home_production","male","65+",6.99279665351477
1924,"home_production","all","14+",21.848073087731
1924,"home_production","all","14-17",10.8293840222172
1924,"home_production","all","18-24",18.9979807802601
1924,"home_production","all","25-54",24.605804751423
1924,"home_production","all","55-64",22.9252809192559
1924,"home_production","all","65+",22.4467028240908
1924,"home_production","female","14+",40.1344140506677
1924,"home_production","female","14-17",17.828
1924,"home_production","female","18-24",32.7240201761738
1924,"home_production","female","25-54",46.6891425739972
1924,"home_production","female","55-64",43.5513632561339
1924,"home_production","female","65+",37.9623213155405
1924,"home_production","male","14+",4.15886372034081
1924,"home_production","male","14-17",3.8544
1924,"home_production","male","18-24",4.65373554936492
1924,"home_production","male","25-54",3.68401644357119
1924,"home_production","male","55-64",4.38061595826232
1924,"home_production","male","65+",7.06696780025237
1925,"home_production","all","14+",21.8991048117855
1925,"home_production","all","14-17",10.7717188491336
1925,"home_production","all","18-24",19.0126086845943
1925,"home_production","all","25-54",24.6807031626718
1925,"home_production","all","55-64",23.049666442894
1925,"home_production","all","65+",22.5329521151448
1925,"home_production","female","14+",39.951700431809
1925,"home_production","female","14-17",17.735
1925,"home_production","female","18-24",32.4957819384003
1925,"home_production","female","25-54",46.4685646427196
1925,"home_production","female","55-64",43.4601391443173
1925,"home_production","female","65+",37.9520020282444
1925,"home_production","male","14+",4.38572415260754
1925,"home_production","male","14-17",3.8455
1925,"home_production","male","18-24",4.91045719601809
1925,"home_production","male","25-54",3.94543475481974
1925,"home_production","male","55-64",4.6175183137651
1925,"home_production","male","65+",7.23692329521126
1926,"home_production","all","14+",21.8715989316439
1926,"home_production","all","14-17",10.7141533235608
1926,"home_production","all","18-24",18.9004673721605
1926,"home_production","all","25-54",24.6605683477198
1926,"home_production","all","55-64",23.1063250544934
1926,"home_production","all","65+",22.5840674526958
1926,"home_production","female","14+",39.6903159216497
1926,"home_production","female","14-17",17.642
1926,"home_production","female","18-24",32.0966348043503
1926,"home_production","female","25-54",46.1508216693098
1926,"home_production","female","55-64",43.3203219836352
1926,"home_production","female","65+",37.9286388188593
1926,"home_production","male","14+",4.53602406330817
1926,"home_production","male","14-17",3.8366
1926,"home_production","male","18-24",5.08699818440007
1926,"home_production","male","25-54",4.11689513517928
1926,"home_production","male","55-64",4.77082799889335
1926,"home_production","male","65+",7.34990913944622
1927,"home_production","all","14+",22.041841123359
1927,"home_production","all","14-17",10.6566870589483
1927,"home_production","all","18-24",19.09137380073
1927,"home_production","all","25-54",24.8662198163442
1927,"home_production","all","55-64",23.3262301953889
1927,"home_production","all","65+",22.7198810135194
1927,"home_production","female","14+",39.6389614899035
1927,"home_production","female","14-17",17.549
1927,"home_production","female","18-24",32.1048789506851
1927,"home_production","female","25-54",46.0649705383609
1927,"home_production","female","55-64",43.2948541651751
1927,"home_production","female","65+",37.9362173174661
1927,"home_production","male","14+",4.87389188330531
1927,"home_production","male","14-17",3.8277
1927,"home_production","male","18-24",5.45773422939486
1927,"home_production","male","25-54",4.51300214148519
1927,"home_production","male","55-64",5.13327628716146
1927,"home_production","male","65+",7.60106649129645
1928,"home_production","all","14+",22.1987643048943
1928,"home_production","all","14-17",10.5993196707424
1928,"home_production","all","18-24",19.2614701527279
1928,"home_production","all","25-54",25.0542338037136
1928,"home_production","all","55-64",23.5332914031891
1928,"home_production","all","65+",22.8481114423373
1928,"home_production","female","14+",39.5790860267011
1928,"home_production","female","14-17",17.456
1928,"home_production","female","18-24",32.0906087735103
1928,"home_production","female","25-54",45.9669346436254
1928,"home_production","female","55-64",43.2632246781936
1928,"home_production","female","65+",37.942103183441
1928,"home_production","male","14+",5.19552757738304
1928,"home_production","male","14-17",3.8188
1928,"home_production","male","18-24",5.80972954457146
1928,"home_production","male","25-54",4.89043727828668
1928,"home_production","male","55-64",5.47850747461664
1928,"home_production","male","65+",7.83892998902555
1929,"home_production","all","14+",22.1761670055136
1929,"home_production","all","14-17",10.542050776373
1929,"home_production","all","18-24",19.1463645229773
1929,"home_production","all","25-54",25.0317991910947
1929,"home_production","all","55-64",23.591164153838
1929,"home_production","all","65+",22.9005415441533
1929,"home_production","female","14+",39.3229472064891
1929,"home_production","female","14-17",17.363
1929,"home_production","female","18-24",31.6819923004052
1929,"home_production","female","25-54",45.64363356301
1929,"home_production","female","55-64",43.1189241311244
1929,"home_production","female","65+",37.9178346665577
1929,"home_production","male","14+",5.35449827531116
1929,"home_production","male","14-17",3.8099
1929,"home_production","male","18-24",5.99134684363137
1929,"home_production","male","25-54",5.07324070650008
1929,"home_production","male","55-64",5.64268142305555
1929,"home_production","male","65+",7.95570580396653
1930,"home_production","all","14+",22.6475696954861
1930,"home_production","all","14-17",10.4848799952413
1930,"home_production","all","18-24",19.8727034481618
1930,"home_production","all","25-54",25.548818200199
1930,"home_production","all","55-64",24.0549759589012
1930,"home_production","all","65+",23.0881462575773
1930,"home_production","female","14+",39.5909968785369
1930,"home_production","female","14-17",17.27
1930,"home_production","female","18-24",32.3254265561706
1930,"home_production","female","25-54",45.8672311745189
1930,"home_production","female","55-64",43.2809960457047
1930,"home_production","female","65+",37.9550084878521
1930,"home_production","male","14+",5.97793420905552
1930,"home_production","male","14-17",3.801
1930,"home_production","male","18-24",6.79369139497253
1930,"home_production","male","25-54",5.78737207343283
1930,"home_production","male","55-64",6.30611855350064
1930,"home_production","male","65+",8.2811580626966
1931,"home_production","all","14+",23.1367194829753
1931,"home_production","all","14-17",10.4305829549506
1931,"home_production","all","18-24",20.5858401368925
1931,"home_production","all","25-54",26.0670257496603
1931,"home_production","all","55-64",24.5431151248501
1931,"home_production","all","65+",23.3745586974625
1931,"home_production","female","14+",39.9947040675063
1931,"home_production","female","14-17",17.177
1931,"home_production","female","18-24",33.2944678194294
1931,"home_production","female","25-54",46.1916374675311
1931,"home_production","female","55-64",43.4928654292382
1931,"home_production","female","65+",38.0436065955113
1931,"home_production","male","14+",6.51007387030296
1931,"home_production","male","14-17",3.77628857142857
1931,"home_production","male","18-24",7.25210948905401
1931,"home_production","male","25-54",6.42692535387153
1931,"home_production","male","55-64",6.97306090487812
1931,"home_production","male","65+",8.69835228972077
1932,"home_production","all","14+",23.6721675517979
1932,"home_production","all","14-17",10.3761920909318
1932,"home_production","all","18-24",21.3467313724425
1932,"home_production","all","25-54",26.6389436286807
1932,"home_production","all","55-64",25.0754552165155
1932,"home_production","all","65+",23.7195593534718
1932,"home_production","female","14+",40.4431795441734
1932,"home_production","female","14-17",17.084
1932,"home_production","female","18-24",34.331725400271
1932,"home_production","female","25-54",46.5746289486827
1932,"home_production","female","55-64",43.730178171426
1932,"home_production","female","65+",38.1357308672117
1932,"home_production","male","14+",7.0894318662669
1932,"home_production","male","14-17",3.75144
1932,"home_production","male","18-24",7.73740994332274
1932,"home_production","male","25-54",7.11504322099079
1932,"home_production","male","55-64",7.70318759744066
1932,"home_production","male","65+",9.230954775729
1933,"home_production","all","14+",23.5854449532725
1933,"home_production","all","14-17",10.3217073705957
1933,"home_production","all","18-24",21.1601790474891
1933,"home_production","all","25-54",26.501574006714
1933,"home_production","all","55-64",25.1068842537411
1933,"home_production","all","65+",23.8361752231037
1933,"home_production","female","14+",40.1700198024668
1933,"home_production","female","14-17",16.991
1933,"home_production","female","18-24",34.0214563481701
1933,"home_production","female","25-54",46.168363699319
1933,"home_production","female","55-64",43.5743065112857
1933,"home_production","female","65+",38.1266239460015
1933,"home_production","male","14+",7.14514816530147
