"date","GPR","GPRT","GPRA","GPRH","GPRHT","GPRHA","SHARE_GPR","N10","SHARE_GPRH","N3H","SHAREH_CAT_1","SHAREH_CAT_2","SHAREH_CAT_3","SHAREH_CAT_4","SHAREH_CAT_5","SHAREH_CAT_6","SHAREH_CAT_7","SHAREH_CAT_8","GPRC_ARG","GPRC_AUS","GPRC_BEL","GPRC_BRA","GPRC_CAN","GPRC_CHE","GPRC_CHL","GPRC_CHN","GPRC_COL","GPRC_DEU","GPRC_DNK","GPRC_EGY","GPRC_ESP","GPRC_FIN","GPRC_FRA","GPRC_GBR","GPRC_HKG","GPRC_HUN","GPRC_IDN","GPRC_IND","GPRC_ISR","GPRC_ITA","GPRC_JPN","GPRC_KOR","GPRC_MEX","GPRC_MYS","GPRC_NLD","GPRC_NOR","GPRC_PER","GPRC_PHL","GPRC_POL","GPRC_PRT","GPRC_RUS","GPRC_SAU","GPRC_SWE","GPRC_THA","GPRC_TUN","GPRC_TUR","GPRC_TWN","GPRC_UKR","GPRC_USA","GPRC_VEN","GPRC_VNM","GPRC_ZAF"
1969-06-01,,,,85.4614868164062,84.8636322021484,81.5460510253906,,,3.08295965194702,10704,0.364349782466888,0.0840807184576988,0.663303434848785,0.541853487491608,0.0560538098216057,0.364349782466888,1.13976085186005,0.242899850010872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-07-01,,,,91.4015808105469,95.2269287109375,86.3976745605469,,,3.29724407196045,10160,0.226377949118614,0.118110239505768,0.935039341449738,0.501968502998352,0.0492125973105431,0.433070868253708,1.07283461093903,0.364173233509064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-08-01,,,,95.1884460449219,89.4095687866211,102.179145812988,,,3.43385219573975,10280,0.340466916561127,0.0680933818221092,0.846303522586823,0.525291800498962,0.0486381314694881,0.359922170639038,1.36186766624451,0.486381322145462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-09-01,,,,87.5662536621094,79.0669326782227,91.1425399780273,,,3.15888738632202,10605,0.386610090732574,0.12258368730545,0.528052806854248,0.424328148365021,0.0848656296730042,0.330033004283905,1.16925978660583,0.443187177181244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-10-01,,,,85.1443405151367,100.703163146973,69.2945556640625,,,3.07151865959167,11102,0.549450576305389,0.0810664743185043,0.765627801418304,0.585480093955994,0.108088634908199,0.351288050413132,0.837686896324158,0.342280656099319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-11-01,,,,102.033172607422,110.477500915527,94.1507263183594,,,3.68077063560486,11628,0.472996205091476,0.128998965024948,0.894392848014832,0.739594101905823,0.111799106001854,0.386996895074844,1.17819058895111,0.490196079015732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-01,,,,87.3683166503906,89.8454513549805,83.424201965332,,,3.15174698829651,9931,0.352431774139404,0.0503473952412605,0.996878445148468,0.392709702253342,0.0503473952412605,0.241667509078979,1.00694799423218,0.523612916469574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,93.3607940673828,100.675491333008,86.7299118041992,,,3.3679211139679,11372,0.378121703863144,0.0791417509317398,1.17833280563354,0.307773470878601,0.0263805836439133,0.439676403999329,1.05522334575653,0.298979938030243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-01,,,,93.0185470581055,99.7975006103516,85.3623275756836,,,3.3555748462677,10341,0.348128795623779,0.0386809781193733,1.07339715957642,0.46417173743248,0.0773619562387466,0.29977759718895,0.996035218238831,0.58021467924118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-03-01,,,,88.9744873046875,82.8468551635742,91.8802337646484,,,3.20968842506409,11808,0.262533873319626,0.0592818446457386,0.948509514331818,0.296409219503403,0.0931571796536446,0.347222208976746,0.931571841239929,0.635162591934204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-04-01,,,,88.448616027832,75.0321655273438,95.6610794067383,,,3.19071793556213,11032,0.317258894443512,0.063451774418354,0.697969555854797,0.398839741945267,0.0725163146853447,0.380710661411285,1.24184191226959,0.389775186777115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-05-01,,,,123.73291015625,109.704254150391,137.410522460938,,,4.46357250213623,11269,0.576803624629974,0.115360721945763,1.18022894859314,0.221847549080849,0.0443695075809956,0.754281640052795,1.63279795646667,0.550181925296783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-06-01,,,,93.9415969848633,74.8851165771484,111.878242492676,,,3.38887310028076,10623,0.329473793506622,0.112962439656258,0.753082931041718,0.216511338949203,0.103548906743526,0.687188148498535,1.31789517402649,0.376541465520859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-07-01,,,,108.713714599609,118.13256072998,96.4516372680664,,,3.92176628112793,9919,0.383103132247925,0.151224926114082,1.36102426052094,0.393184810876846,0.131061598658562,0.443593114614487,1.07873773574829,0.554491400718689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-08-01,,,,106.969764709473,109.03214263916,107.944076538086,,,3.85885453224182,10599,0.235871315002441,0.207566753029823,1.11331260204315,0.424568355083466,0.207566753029823,0.462307751178741,1.10387778282166,0.707613945007324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-09-01,,,,177.282913208008,173.438507080078,184.929840087891,,,6.39534902572632,10320,0.55232560634613,0.193798452615738,1.71511626243591,0.35852712392807,0.658914744853973,0.416666656732559,1.24031007289886,2.3934109210968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-10-01,,,,113.905982971191,114.222564697266,108.506088256836,,,4.10907363891602,10635,0.564174890518188,0.291490375995636,0.912082731723785,0.300893276929855,0.235072866082191,0.57357782125473,0.930888593196869,0.789844870567322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-11-01,,,,72.0277252197266,91.8057479858398,56.4517364501953,,,2.5983464717865,11007,0.299809217453003,0.172617420554161,0.963023543357849,0.399745613336563,0.0545107647776604,0.227128192782402,0.726810216903687,0.227128192782402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-12-01,,,,73.4913177490234,78.3486251831055,65.6113204956055,,,2.65114450454712,10222,0.283701807260513,0.0782625675201416,0.802191376686096,0.283701807260513,0.0684797465801239,0.293484628200531,0.802191376686096,0.361964404582977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,83.0718460083008,87.20703125,80.4810180664062,,,2.99675512313843,10478,0.343577027320862,0.0286314189434052,1.06890630722046,0.229051351547241,0.00954380631446838,0.286314189434052,0.954380631446838,0.486734122037888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
