"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,34,955,1,20,8,0,0,8,7,1,76.8000030517578,0,1,1,1,1,0,1,1,1,0,1,1,1
2000,19,991,0,14,3,1,0,8,8,0,59,0,0,1,1,1,1,1,1,0,0,1,1,1
2000,37,998,1,16,3,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,15,1004,0,7,8,0,0,12,12,0,65,1,0,1,1,1,1,1,1,1,1,0,0,1
2000,15,1005,0,7,8,0,0,12,12,0,74.1666641235352,1,0,1,1,1,1,1,1,1,1,0,0,1
2000,6,1048,0,18,3,0,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,12,1157,0,1,4,1,0,4,4,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,1194,0,12,5,0,0,8,7,0,49,0,1,0,0,0,0,0,0,0,0,1,0,1
2000,27,1797,0,10,4,1,0,12,12,0,87,1,0,1,1,1,1,1,1,1,1,1,1,1
2000,19,1798,0,14,3,0,0,14,10,1,72.5,0,0,1,1,1,1,1,1,1,0,0,1,1
2000,26,1799,1,19,5,0,0,12,12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,24,1811,1,7,1,1,0,8,8,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,23,1812,0,11,3,1,0,12,16,1,77.4285736083984,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,31,1845,0,4,3,0,0,10,10,0,25.2000007629395,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,17,1856,1,2,2,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,30,1873,0,20,2,0,0,12,12,0,62.3333320617676,0,0,1,1,1,1,1,1,0,0,0,1,0
2000,36,1876,1,8,2,1,0,12,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,1878,0,13,3,1,0,10,10,0,82.5,0,0,1,0,0,0,1,0,0,0,0,0,1
2000,37,1884,1,16,2,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6,1887,0,18,4,0,0,12,12,1,88,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,14,1888,1,3,6,0,0,18,8,0,73,0,1,1,1,1,1,1,1,1,1,0,1,1
2000,4,1889,1,9,3,1,0,11,10,0,39.5,1,0,1,1,1,1,1,1,1,1,0,0,1
2000,6,1890,0,18,9,0,0,4,7,1,71.5,0,1,1,1,1,0,1,1,1,0,1,1,1
2000,17,1891,1,2,1,0,0,12,12,1,63.4000015258789,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,17,1893,1,2,2,1,0,12,12,0,66,0,0,1,0,0,0,1,0,0,0,0,1,1
2000,14,1900,1,3,4,1,0,16,15,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,10,1901,1,15,1,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,17,1913,1,2,2,1,0,11,12,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0
2000,17,1914,1,2,2,1,0,18,16,0,54,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,17,1915,1,2,4,0,0,11,9,0,66.1111145019531,0,0,1,1,1,1,1,1,1,1,1,1,1
