"GPA_year1","GPA_year2","age","chooseUTM","compsurv","control","credits_earned1","credits_earned2","dad1","dad2","dad_edn","english","female","finish4","goodstanding_year1","goodstanding_year2","gpa0","graddeg","grade_20059_fall","hcom","hsgroup","lastmin","lm_never","lm_rarely","mathsci","mom1","mom2","mom_edn","mtongue","noshow","numcourses_nov1","prob_year1","prob_year2","sex","sfp","sfp_p","sfpany","sfpany_p","sfsp","sfsp_p","signup","ssp","ssp_p","totcredits_year1","used_adv","used_fsg","used_ssp","work1"
1.29999995231628,2,18,0,1,1,2.5,4.5,1,0,4,1,1,1,0,1,77,0,62,1,2,4,0,1,3,1,0,4,"English",0,5,1,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.71000003814697,2.50999999046326,18,1,1,1,3.5,5,0,0,9,1,0,1,1,1,84.8000030517578,1,76,0,3,2,0,0,4,1,1,8,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,5,0,0,0,0
0.5,,18,0,1,1,1,0,1,1,7,1,1,1,0,0,79.5999984741211,1,,1,2,3,0,0,3,1,0,2,"English",0,4,1,1,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.850000023841858,,18,1,1,1,2,0,0,0,9,0,1,1,0,0,80.3000030517578,1,50,1,2,3,0,0,3,0,0,9,"Other",0,4,1,1,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.12000000476837,0.280000001192093,18,0,1,1,1.5,0.5,0,0,1,1,1,1,0,0,78.1999969482422,0,64,0,2,4,0,1,0,1,0,2,"English",0,5,0,1,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
,,18,0,1,1,0.5,0,1,0,2,0,1,1,0,0,83.6999969482422,1,54,1,3,1,0,0,0.5,0,0,1,"Other",0,6,0,1,"F",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1.58000004291534,2.28999996185303,18,0,1,0,2.5,3.5,1,1,6,0,0,1,0,1,79.3000030517578,1,66,1,2,1,0,0,0,1,1,7,"Other",0,4,0,0,"M",1,1,1,1,0,0,1,0,0,4,0,0,0,0
0.300000011920929,0.709999978542328,18,0,1,1,1,1.5,1,0,4,1,1,1,0,0,75,1,56,0,1,3,0,0,4,1,0,2,"English",0,5,1,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.63999998569489,2.45000004768372,18,0,1,1,3,2.5,1,1,7,1,0,1,1,1,87.3000030517578,1,72,1,3,1,0,0,1,1,1,7,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.08000004291534,1.19000005722046,19,0,1,1,2,2,1,0,4,0,0,1,0,0,80.8000030517578,1,57,1,3,3,0,0,4,0,0,9,"Other",0,5,1,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
