"date","SENT","SENT_ORTH","pdnd","ripo","nipo","cefd","s","indpro","consdur","consnon","consserv","recess","employ","cpi"
2008-10-01,-0.254344254732132,-0.276969462633133,7.21235418319702,,0,12.25,0.219999998807907,94.4955978393555,1026.59997558594,2262.89990234375,6744.60009765625,1,136294,216.994995117188
2008-11-01,-0.645649194717407,-0.720097482204437,10.0942573547363,-1.2,1,18.2299995422363,0.230000004172325,93.2688980102539,1002.40002441406,2153,6729.7998046875,1,135546,213.15299987793
2008-12-01,-0.536356091499329,-0.552159070968628,9.05488204956055,,0,14.5799999237061,0.219999998807907,90.6279983520508,995,2085.30004882812,6721.2001953125,1,134848,211.397994995117
2009-01-01,-0.520137310028076,-0.473233044147491,7.19516038894653,,1,11.7600002288818,0.200000002980232,88.381103515625,1023,2110.30004882812,6714,1,134066,211.932998657227
2009-02-01,-0.736350893974304,-0.692625284194946,4.1913104057312,10.1,2,15.289999961853,0.189999997615814,87.8412017822266,1006.20001220703,2130.19995117188,6688.10009765625,1,133314,212.705001831055
2009-03-01,-0.736974239349365,-0.649848759174347,6.16533803939819,,2,14.9700002670288,0.180000007152557,86.4794006347656,984.200012207031,2106.19995117188,6682.7998046875,1,132494,212.494995117188
2009-04-01,-0.890557706356049,-0.823271751403809,0.783773839473724,22.6,7,13.8500003814697,0.189999997615814,85.7882995605469,978.799987792969,2119.60009765625,6674.10009765625,1,131825,212.708999633789
2009-05-01,-0.820212423801422,-0.758743822574615,1.24057197570801,27.5,4,14.2799997329712,0.219999998807907,84.9515991210938,998.900024414062,2131.69995117188,6661,1,131470,213.022003173828
2009-06-01,-0.826444566249847,-0.823048293590546,-1.00571548938751,23.3,8,14.0200004577637,0.230000004172325,84.6928024291992,1006.40002441406,2168.10009765625,6678,1,131003,214.789993286133
2009-07-01,-0.613195955753326,-0.572139143943787,-2.38712000846863,,4,10.3800001144409,0.219999998807907,85.7043991088867,1020.79998779297,2175,6690.39990234375,0,130661,214.725997924805
2009-08-01,-0.670569598674774,-0.464387506246567,-2.39980530738831,6.2,5,11.0699996948242,0.230000004172325,86.6616973876953,1089.09997558594,2197.89990234375,6717.2001953125,0,130480,215.445007324219
2009-09-01,-0.725901007652283,-0.57399320602417,-2.46333241462708,13.8,12,9.22000026702881,0.209999993443489,87.4032974243164,995.400024414062,2207.19995117188,6725.2001953125,0,130241,215.860992431641
2009-10-01,-0.894448161125183,-0.58630383014679,0.318847566843033,0.3,13,10.960000038147,0.189999997615814,87.6035003662109,1003.59997558594,2218.80004882812,6754.2998046875,0,130061,216.509002685547
2009-11-01,-0.995122015476227,-0.598000466823578,0.12355649471283,12.2,11,11.25,0.180000007152557,87.9559020996094,1017.40002441406,2219.69995117188,6748.60009765625,0,130059,217.233993530273
2009-12-01,-0.941226184368134,-0.701881527900696,-2.70196390151978,1.8,7,10.0500001907349,0.230000004172325,88.2468032836914,1021.59997558594,2230.19995117188,6800.7998046875,0,129807,217.34700012207
2010-01-01,-0.900220453739166,-0.832312166690826,-1.56457352638245,-3.5,12,8.47000026702881,0.239999994635582,89.1911010742188,1006.09997558594,2241.5,6808.5,0,129795,217.488006591797
2010-02-01,-0.84107494354248,-0.878390729427338,-2.4824333190918,0.9,8,10.0299997329712,0.25,89.497200012207,1005.20001220703,2246.60009765625,6841.7001953125,0,129702,217.281005859375
2010-03-01,-0.860070168972015,-0.967515170574188,-3.81381821632385,12.5,15,8.86999988555908,0.270000010728836,90.1418991088867,1052,2247.19995117188,6856.89990234375,0,129865,217.352996826172
2010-04-01,-0.627122044563293,-0.758739769458771,-5.25999307632446,2.1,16,7.61999988555908,0.270000010728836,90.459098815918,1046,2257,6879.2998046875,0,130115,217.40299987793
2010-05-01,-0.625877797603607,-0.827686429023743,-5.94612503051758,8.3,14,8.98999977111816,0.239999994635582,91.7020034790039,1041.69995117188,2241.30004882812,6927.89990234375,0,130645,217.289993286133
2010-06-01,-0.374063700437546,-0.630801498889923,-4.88829660415649,6.9,15,7.71000003814697,0.230000004172325,91.8996963500977,1044.09997558594,2243.69995117188,6943.5,0,130501,217.199005126953
2010-07-01,-0.387057363986969,-0.646457850933075,-4.36804151535034,12.3,15,8.75,0.239999994635582,92.252197265625,1047.5,2246.19995117188,6974.5,0,130420,217.604995727539
