"year","bottom90","top10","top5","top1","top05","top01","top001"
1957,0.281954699024275,0.718045300975725,0.571541833354618,0.291764782779603,0.21451443766882,0.0991034693142967,0.0314499004347805
1958,0.282400353899731,0.717599646100269,0.569442448074372,0.28853538016803,0.211293690342816,0.097240042081319,0.0308072170320968
1959,0.275350405753458,0.724649594246542,0.579766953236343,0.294097483652153,0.216299675333774,0.0982701214173208,0.0307038354054294
1960,0.273198608304731,0.726801391695269,0.580602262366819,0.293767548772779,0.215622420619271,0.100913412517372,0.0329453452486953
1961,0.270744821504341,0.729255178495659,0.577454810522408,0.29446265538305,0.214359493679423,0.100131580893922,0.0326385645386725
1962,0.26375,0.73625,0.58259,0.29621,0.21712,0.10095,0.03278
1963,0.268625,0.731375,0.576845,0.290845,0.21214,0.099115,0.032945
1964,0.2735,0.7265,0.5711,0.28548,0.20716,0.09728,0.03311
1965,0.278405,0.721595,0.56455,0.284475,0.20765,0.098875,0.033265
1966,0.28331,0.71669,0.558,0.28347,0.20814,0.10047,0.03342
1967,0.2919675,0.7080325,0.54681,0.2779,0.20204,0.09403,0.03052
1968,0.29529,0.70471,0.55734,0.28639,0.21031,0.09996,0.03285
1969,0.2989,0.7011,0.53856,0.27878,0.2057,0.0998,0.0342
1970,0.299975,0.700025,0.54718,0.27554,0.19892,0.09465,0.03186
1971,0.3010975,0.6989025,0.54061,0.26989,0.19586,0.09223,0.02972
1972,0.3034425,0.6965575,0.5379,0.26495,0.19032,0.08723,0.02904
1973,0.309345,0.690655,0.52715,0.24857,0.17548,0.07969,0.02463
1974,0.3147625,0.6852375,0.5192,0.24876,0.17847,0.07953,0.02421
1975,0.3179225,0.6820775,0.52133,0.24714,0.17465,0.07597,0.02416
1976,0.322905,0.677095,0.50486,0.2346,0.16441,0.07187,0.02278
1977,0.3281525,0.6718475,0.51241,0.23906,0.16799,0.07332,0.02289
1978,0.33223,0.66777,0.49384,0.22941,0.1613,0.07072,0.02218
1979,0.32581,0.67419,0.5104,0.2436,0.17331,0.0789,0.02632
1980,0.3287,0.6713,0.50713,0.24341,0.17432,0.08019,0.026
1981,0.33047,0.66953,0.51073,0.25288,0.18494,0.08765,0.03001
1982,0.34087,0.65913,0.5046,0.25663,0.19031,0.09416,0.03251
1983,0.34996,0.65004,0.49377,0.24722,0.1824,0.08938,0.0311
1984,0.35618,0.64382,0.48963,0.24809,0.18474,0.09307,0.03362
1985,0.36316,0.63684,0.48637,0.25073,0.18869,0.0966,0.03571
1986,0.36386,0.63614,0.48647,0.25108,0.18825,0.09293,0.03407
1987,0.35746,0.64254,0.49508,0.26159,0.19726,0.1015,0.03732
1988,0.34662,0.65338,0.50858,0.27934,0.21503,0.11631,0.04435
1989,0.34767,0.65233,0.50759,0.27807,0.21418,0.11501,0.04334
1990,0.34266,0.65734,0.51163,0.28127,0.21744,0.1169,0.04458
1991,0.34502,0.65498,0.50997,0.27616,0.2107,0.11177,0.04253
1992,0.32905,0.67095,0.52676,0.29193,0.22561,0.12195,0.04838
1993,0.32542,0.67458,0.53025,0.2946,0.22796,0.12464,0.04982
1994,0.32624,0.67376,0.52962,0.29167,0.2246,0.121,0.04705
1995,0.32392,0.67608,0.53148,0.29465,0.22767,0.12345,0.04835
1996,0.319679975509644,0.680320024490356,0.537479996681213,0.302749991416931,0.235939994454384,0.131569996476173,0.0538400001823902
1997,0.313939988613129,0.686060011386871,0.545109987258911,0.312370002269745,0.245429992675781,0.139400005340576,0.0570299997925758
1998,0.308319985866547,0.691680014133453,0.554090023040771,0.322899997234344,0.254409998655319,0.145190000534058,0.0592899993062019
1999,0.304820001125336,0.695179998874664,0.560209989547729,0.333009988069534,0.263359993696213,0.150299996137619,0.06216000020504
2000,0.301530003547668,0.698469996452332,0.566349983215332,0.341490000486374,0.27318000793457,0.159899994730949,0.0692000016570091
2001,0.307969987392426,0.692030012607574,0.557539999485016,0.332370012998581,0.265450000762939,0.157100006937981,0.0699300020933151
2002,0.309800028800964,0.690199971199036,0.552169978618622,0.320230007171631,0.25246000289917,0.14546999335289,0.0629800036549568
2003,0.307290017604828,0.692709982395172,0.554679989814758,0.322959989309311,0.254040002822876,0.146720007061958,0.0650200024247169
2004,0.300279974937439,0.699720025062561,0.564679980278015,0.335359990596771,0.266849994659424,0.156210005283356,0.0701899975538254
2005,0.300589978694916,0.699410021305084,0.565490007400513,0.33976998925209,0.273070007562637,0.162970006465912,0.0741500034928322
2006,0.293389976024628,0.706610023975372,0.574919998645782,0.348980009555817,0.280730009078979,0.167679995298386,0.0766699984669685
2007,0.283590018749237,0.716409981250763,0.585520029067993,0.359510004520416,0.290529996156693,0.176709994673729,0.0846299976110458
2008,0.253709971904755,0.746290028095245,0.613829970359802,0.381330013275146,0.310070008039474,0.189750000834465,0.0916899964213371
2009,0.249239981174469,0.750760018825531,0.615339994430542,0.378470003604889,0.306419998407364,0.188690006732941,0.0961899980902672
2010,0.242630004882812,0.757369995117188,0.625970005989075,0.395229995250702,0.324360013008118,0.207080006599426,0.107739999890327
2011,0.240230023860931,0.759769976139069,0.629779994487762,0.398009985685349,0.325170010328293,0.203349992632866,0.101190000772476
2012,0.22759997844696,0.77240002155304,0.646390020847321,0.418240010738373,0.345189988613129,0.220080003142357,0.112190000712872
