"date","tothrs","avgwkhrs","avgwkhrs_adj","effhrsvw","effhrstorn","civnipop16","nipop16","nipop16_17","nipop18_21","nipop22_24","nipop25_34","nipop35_44","nipop45_54","nipop55_64","nipop65","gengovhrs","nprofhrs","bushrs","effhrs70","effhrs80","effhrs7080","rgdp","xbus","hrsbusindex","fisherdlp","dlp","ffr"
1982-01-01,181.6,20.1015778866835,20.4403506978006,154.890516829007,161.155793742046,171489,173733.013,7998.518,16674.239,13003.284,39121.84,27512.954,22346.164,21836.086,25239.928,28.051,10.276,141.806,168.945731407204,157.1570704762,163.051400941706,5177.1,79.7570037841797,85.8970031738281,0.001291,0.586720581711972,14.2266664505005
1982-04-01,182.902,20.182410052574,20.5058309664001,155.960631977488,162.523502057434,172026,174277.8065,7940.2905,16618.759,13006.613,39246.22,27918.796,22307.304,21865.298,25374.526,28.815,10.405,142.159,170.228116547544,158.354441102844,164.291278825198,5204.9,80.0029983520508,86.1110000610352,-0.0058319,0.523865282719896,14.5133333206177
1982-07-01,181.595,19.9804047039946,20.2896035983374,154.815162443552,161.574137883363,172511,174781.822,7881.573,16553.814,12996.501,39438.744,28225.046,22289.404,21886.056,25510.684,28.345,10.516,141.254,169.083452850353,157.293760014886,163.188606432624,5185.2,80.036003112793,85.5619964599609,0.0073721,0.609138072505601,11.006667137146
1982-10-01,180.491,19.8018330941465,20.0967894974389,153.851819498371,160.8037830602,173058,175285.831,7822.855,16488.868,12986.39,39631.264,28531.296,22271.504,21906.814,25646.84,28.522,10.546,139.968,168.127392077286,156.407898067462,162.26764507238,5189.8,80.8130035400391,84.7829971313477,0.0090187,0.465594670944853,9.28666687011719
1983-01-01,181.651,19.8719584813467,20.152652690681,154.826629591958,162.05171142757,173505,175789.843,7764.137,16423.922,12976.278,39823.784,28837.546,22253.606,21927.572,25782.998,28.926,10.622,140.707,169.280283824574,157.483224913975,163.381754369281,5253.8,81.5660018920898,85.2300033569336,0.015605,0.355561947387741,8.65333366394043
1983-04-01,183.405,20.0064781653709,20.2728907707934,155.992440443783,163.496709623484,173953,176293.8585,7705.4195,16358.977,12966.166,40016.308,29143.796,22235.706,21948.33,25919.156,29.074,10.771,142.128,170.987529757155,159.073520709792,165.030525233481,5372.3,83.0130004882812,86.0920028686523,0.019559,0.312513529761105,8.8033332824707
1983-07-01,186.233,20.2564397597301,20.5082740304814,158.06768941502,165.894878985313,174440,176803.2235,7659.4295,16301.968,12948.9,40199.54,29449.504,22242.658,21959.24,26041.984,28.889,10.877,144.975,173.697393328214,161.595964280674,167.646678804453,5478.4,83.3420028686523,87.8160018920898,0.019471,0.442393233930261,9.46000003814697
1983-10-01,188.339,20.4266589027164,20.6638945699252,159.525454762924,167.645416403886,174951,177312.5925,7613.4395,16244.96,12931.633,40382.776,29755.214,22249.612,21970.148,26164.81,28.656,10.929,147.295,175.735347022225,163.492967965708,169.614157493976,5590.5,84.0319976806641,89.2220001220703,0.014662,0.326888797876734,9.43000030517578
1984-01-01,191.708,20.7324923295245,20.955110292396,162.047380761597,170.515320291597,175679,177821.9545,7567.4495,16187.951,12914.366,40566.008,30060.924,22256.564,21981.056,26287.636,29.088,10.95,150.159,178.953573873855,166.488056195188,172.720815034533,5699.8,84.4140014648438,90.9560012817383,0.020529,0.539405721550338,9.68666648864746
1984-04-01,194.38,20.9614157151847,21.1693974146897,164.205033375701,173.003284754769,176123,178331.3195,7521.4595,16130.942,12897.1,40749.24,30366.632,22263.516,21991.966,26410.464,29.688,11.01,152.079,181.523262779322,168.880263143874,175.20176296161,5797.9,85.1289978027344,92.120002746582,0.01407,0.373314849108027,10.5566663742065
1984-07-01,195.074,20.9766917583188,21.1740621082961,164.695441755622,173.732755829942,176583,178837.689,7500.597,16083.942,12857.234,40928.168,30660.222,22281.388,21987.658,26538.48,29.74,11.004,152.813,182.24680198442,169.555828093142,175.901315038795,5854.3,85.5380020141602,92.5640029907227,0.015512,0.345853809059207,11.3900003433228
1984-10-01,195.778,20.9929535300393,21.1796755338867,165.198853726449,174.471985369962,177135,179344.061,7479.735,16036.942,12817.368,41107.1,30953.812,22299.258,21983.35,26666.496,29.447,11.079,153.686,182.979832101162,170.241586328033,176.610709214612,5902.4,85.7580032348633,93.0930023193359,0.014561,0.275221646307699,9.26666641235352
1985-01-01,197.1,21.0752049248513,21.2512420635575,166.227865808316,175.763165276281,177516,179850.4275,7458.8725,15989.942,12777.501,41286.032,31247.4,22317.128,21979.042,26794.51,29.457,11.157,154.868,184.290688887978,171.466771747874,177.87873031794,5956.9,86.052001953125,93.8079986572266,0.016522,0.486273440109784,8.47666645050049
1985-04-01,198.264,21.1401471648958,21.3054638216103,167.132835880264,176.920535317747,177944,180356.797,7438.01,15942.942,12737.635,41464.96,31540.99,22335,21974.734,26922.526,29.858,11.242,155.673,185.454025295412,172.556978892212,179.005502093827,6007.8,86.4039993286133,94.2959976196289,0.015873,0.247354866932369,7.92333364486694
1985-07-01,199.138,21.172325769492,21.3300962393055,167.797639492734,177.820592407314,178405,180876.535,7446.698,15898.027,12656.708,41623.168,31864.94,22383.864,21940.078,27063.052,30.31,11.374,155.876,186.345956803864,173.397324646412,179.871640725153,6101.7,87.8519973754883,94.4189987182617,0.011529,0.179465935053514,7.90000009536743
1985-10-01,200.205,21.2247803333989,21.3749401159479,168.629286476153,178.894396245306,178940,181396.278,7455.386,15853.112,12575.782,41781.38,32188.892,22432.726,21905.422,27203.578,30.713,11.52,156.463,187.418163129773,174.408453833355,180.913308481579,6148.6,88.2080001831055,94.7750015258789,0.016152,0.279557098428711,8.10333347320557
