"date","price","d12","e12","ret","retx","AAA","BAA","lty","ltr","corpr","tbl","Rfree","dp","dy","ep","de","bm","tms","dfy","dfr","infl","eqis","ntis","svar","cay","ik","csp","pce","vp","impvar","vrp","govik","lzrt","skew","crdstd","ogap","wtexas","accrul","cfacc","sntm","ndrbl","skvw","tail","fbm","dtoy","dtoat","ygap","rdsp","rsvix","gpce","gip","tchi","house","avgcor","shtint","disag"
1999-03-01,1286.37,16.449,38.38,0.038979,0.037774,0.0662,0.0753,0.0592,-8e-04,2e-04,0.0444,0.0043,0.0127871452226031,0.0132832120678656,0.0298358948047607,0.428582595101615,0.172897170734987,0.0148,0.00910000000000001,0.001,0.00303951367781163,,0.0206681195166747,0.00321358732968634,,,-0.0010753509,,TRUE,TRUE,TRUE,,-1.55111045941708,,,0.109198317555391,0.362307067424858,,,TRUE,TRUE,0.0119040720164776,0.419671684503555,0.519762900475149,0.977952947901323,0.977952947901323,-3.56302133144232,0.0420170589640169,TRUE,,,1.0522597454235,,0.256336748600006,FALSE,TRUE
1999-04-01,1335.18,16.4486666666667,39.26,0.037559,0.036771,0.0664,0.0748,0.0594,0.0021,-0.0024,0.0429,0.0037,0.0123194375789532,0.0127868860954987,0.0294042750790156,0.418967566649686,0.156825876412568,0.0165,0.0084,-0.0045,0.0072727272727271,,0.0251812673257239,0.00272662599835535,,,-0.0012580821,,TRUE,TRUE,TRUE,,-1.67878130198412,,,0.109915411883256,0.114490161001789,,,TRUE,TRUE,0.0268632676452398,0.409592539072037,0.527379509677871,0.991787380106229,0.991787380106229,-3.57711818653087,0.0409058675482573,TRUE,,,1.0522597454235,,0.208993688225746,FALSE,TRUE
1999-05-01,1301.84,16.4483333333333,40.14,-0.023159,-0.024833,0.0693,0.0772,0.0615,-0.0185,-0.0176,0.045,0.0034,0.0126346811692169,0.0123191879247243,0.0308332821237633,0.409774123899684,0.160231135420468,0.0165,0.00789999999999999,0.000899999999999998,0,,0.025897438079473,0.00308564870861411,,,-0.0011522804,,TRUE,TRUE,TRUE,,-1.62408136761786,,,0.114643076809972,-0.0984483681112894,,,TRUE,TRUE,0.0616101063787937,0.394026517868042,0.519507048870245,0.950713006620036,0.950713006620036,-3.5330804259736,0.0403748564607185,TRUE,,,1.0522597454235,,0.201941907405853,FALSE,TRUE
1999-06-01,1372.71,16.448,41.02,0.054431,0.053398,0.0723,0.0802,0.0627,-0.0078,-0.016,0.0457,0.004,0.0119821375235847,0.0126344251213667,0.0298824952102046,0.400975134080936,0.154227446767241,0.017,0.00789999999999999,-0.0082,0,,0.0188685758967004,0.00240924648336713,,,-0.0011446288,,TRUE,TRUE,TRUE,,-1.50273791858527,,,0.112287325998266,0.147181008902077,,,TRUE,TRUE,0.0764452740550041,0.39733561873436,0.399961168645323,0.987721466905671,0.987721466905671,-3.56780748111906,0.0397287706729348,TRUE,,,1.0522597454235,,0.189696788787842,FALSE,TRUE
1999-07-01,1328.72,16.5123333333333,42,-0.03022,-0.031084,0.0719,0.0795,0.0639,-0.0077,-0.0113,0.0455,0.0038,0.0124272482790455,0.0120290034554519,0.0316093684147149,0.393150793650794,0.15879647268894,0.0184,0.0076,-0.0036,0.00300842358604081,,0.0193704373636396,0.00161117786918263,,,-0.0011695952,,TRUE,TRUE,TRUE,,-1.49331006010716,,,0.116489664848552,0.0615623383341957,,,TRUE,TRUE,-0.00643450859934092,0.405832022428513,0.383185706706635,0.950516733051736,0.950516733051736,-3.51058754451797,0.0337514846722895,TRUE,,,1.0522597454235,,0.211730808019638,FALSE,TRUE
1999-08-01,1320.41,16.5766666666667,42.98,-0.005004,-0.006251,0.074,0.0815,0.0649,-0.0053,-0.0026,0.0472,0.0039,0.012554181403251,0.0124756658036807,0.0325504956793723,0.385683263533426,0.156243026893102,0.0177,0.00749999999999999,0.0027,0.00239952009598077,,0.0188807361677844,0.00272984851578192,,,-0.0010558461,,TRUE,TRUE,TRUE,,-1.47781594733039,,,0.118933653976423,0.0794346978557505,,,TRUE,TRUE,0.0260478518903255,0.402801007032394,0.403838058284777,0.956140010100618,0.956140010100618,-3.48266539232687,0.0313500773233178,TRUE,,,0.534328812531343,,0.215668573975563,FALSE,TRUE
1999-09-01,1282.71,16.641,43.96,-0.028079,-0.029257,0.0739,0.082,0.0646,0.0084,0.0093,0.0468,0.0039,0.012973314311107,0.0126029036435653,0.0342711914618269,0.378548680618744,0.163684498229112,0.0178,0.0081,9e-04,0.00478755236385409,,0.0203796816642604,0.00270494318488189,,,-0.00098570256,,TRUE,TRUE,TRUE,,-1.50938590273123,,,0.11332904832719,0.107900677200903,,,TRUE,TRUE,0.0515341088175774,0.409937858581543,0.408586458641956,0.912672037181574,0.912672037181574,-3.4309640829958,0.0351718918565404,TRUE,,,-1.0768779019707,,0.233340799808502,FALSE,TRUE
1999-10-01,1362.93,16.658,45.3633333333333,0.064238,0.063512,0.0755,0.0838,0.0651,-0.0012,0.0047,0.0486,0.0039,0.012222197765109,0.0129865675016177,0.0332836853934783,0.367212873833493,0.157690660728922,0.0165,0.00830000000000002,0.0059,0.00178677784395465,,0.0204452330690416,0.00487597513027258,,,-0.00051504032,,TRUE,TRUE,TRUE,,-1.59073178246617,,,0.123922497054179,-0.112061939690302,,,TRUE,TRUE,0.09248998016119,0.409936368465424,0.427138569886858,0.947362891178205,0.947362891178205,-3.46199403607092,0.0420987401062361,TRUE,,,-0.526933781281054,,0.273511618375778,FALSE,TRUE
1999-11-01,1388.91,16.675,46.7666666666667,0.020822,0.019547,0.0736,0.0815,0.0662,-0.0061,-0.0024,0.0507,0.0036,0.0120058175115738,0.0122346708928558,0.0336714881933795,0.35655737704918,0.1555459671191,0.0155,0.0079,0.0037,0.000594530321046616,,0.0182804482750651,0.00135426721768709,,,0.00011071065,,TRUE,TRUE,TRUE,,-1.57585721676044,,,0.127206647415766,0.141349242771914,,,TRUE,TRUE,0.0541138984262943,0.424375057220459,0.418372278807979,0.960424826329414,0.960424826329414,-3.44965573434796,0.0560518674594491,TRUE,,,0.251718688733918,,0.223071157932281,FALSE,TRUE
1999-12-01,1469.25,16.692,48.17,0.062579,0.061549,0.0755,0.0819,0.0682,-0.0155,-0.0102,0.052,0.0044,0.01136089841756,0.0120180573255287,0.0327854347456185,0.346522731990866,0.147167259434962,0.0162,0.0064,0.0053,0,,0.0178887568851916,0.00114877493992192,,,6.4278e-05,,TRUE,TRUE,TRUE,,-1.58315314702108,,,0.133342564943048,0.0357860876558103,,,TRUE,TRUE,0.0696711391210556,0.394955813884735,0.506439597151856,1,1,-3.47867785975415,0.0672312589954355,TRUE,,,1.0522597454235,,0.155128940939903,TRUE,TRUE
2000-01-01,1394.46,16.7153333333333,49.0966666666667,-0.04963,-0.050296,0.0778,0.0833,0.0666,0.0228,-0.0021,0.0532,0.0041,0.0119869579144137,0.0113767795360445,0.0352083721775215,0.340457600651775,0.154654160043841,0.0134,0.00549999999999999,-0.0249,0.00297088532382661,,0.0253587832539086,0.0052062998391521,,,0.00062237216,,TRUE,TRUE,TRUE,,-1.68929366992094,,,0.13042987268184,0.0733695652173911,,,TRUE,TRUE,0.067987397313118,0.369307339191437,0.482270755077821,0.933255878624718,0.933255878624718,-3.410947397891,0.0721871524020569,TRUE,,,1.0522597454235,,0.140476167201996,TRUE,TRUE
2000-02-01,1366.42,16.7386666666667,50.0233333333333,-0.017458,-0.018666,0.0768,0.0829,0.0646,0.0264,0.0092,0.0555,0.0043,0.0122500158565204,0.0120036907954812,0.0366090465108337,0.334617178649963,0.16705643264149,0.0091,0.00609999999999999,-0.0172,0.00592417061611372,,0.0274188202037814,0.00300046617102019,,,0.00040469089,,TRUE,TRUE,TRUE,,-1.64372553890489,,,0.13200850094891,0.105605786618445,,,FALSE,TRUE,0.120011761784554,0.378816992044449,0.456949791088935,0.86397059450754,0.86397059450754,-3.37062247164738,0.102718995169919,TRUE,,,0.00174576486049474,,0.152233585715294,TRUE,TRUE
2000-03-01,1498.58,16.762,50.95,0.098488,0.097431,0.0768,0.0837,0.0618,0.0367,0.0169,0.0569,0.0047,0.0111852553750884,0.0122670921093075,0.0339988522467936,0.328989205103042,0.149973561789802,0.00489999999999999,0.0069,-0.0198,0.00824499411071833,,0.0182913889280301,0.00667831591736391,,,0.00018488374,,TRUE,TRUE,TRUE,,-1.67694995085861,,,0.134022025466638,-0.121360811252862,,,FALSE,TRUE,0.0921056345105171,0.347219049930573,0.425862974569609,0.93166839830828,0.93166839830828,-3.44214724741772,0.114999306441747,TRUE,,,0.245288649474774,,0.183208987116814,TRUE,TRUE
2000-04-01,1452.43,16.7426666666667,51.2733333333333,-0.031583,-0.032308,0.0764,0.084,0.063,-0.0076,-0.0115,0.0566,0.0046,0.0115273484206927,0.0111723542731564,0.0353017586619206,0.326537511376934,0.152600418197925,0.0064,0.00760000000000001,-0.0039,0.000584112149532912,,0.0119449439181795,0.00794174693414462,,,-0.00038694213,,TRUE,TRUE,TRUE,,-1.72035853713314,,,0.138424628297709,-0.0428145941921072,,,FALSE,TRUE,0.0287174247205257,0.342880725860596,0.452623285028791,0.915630667287669,0.915630667287669,-3.40199705988395,0.121552719780526,TRUE,,,0.0155856966178622,,0.199117332696915,TRUE,TRUE
2000-05-01,1420.6,16.7233333333333,51.5966666666667,-0.022304,-0.023617,0.0799,0.089,0.064,-0.0054,-0.0161,0.0579,0.005,0.0117720212116946,0.0115140373948027,0.0363203341311183,0.324116544996447,0.15566873114332,0.0061,0.00910000000000001,-0.0107,0.00116754232340921,,0.00917852632593898,0.00518542339430822,,,8.9130356e-06,,TRUE,TRUE,TRUE,,-1.62331232192159,,,0.139600591203109,0.129132633216647,,,FALSE,TRUE,0.0815542563796043,0.365408301353455,0.437149233336919,0.897582355339683,0.897582355339683,-3.37778878576743,0.088495995735273,TRUE,,,-0.526933781281054,,0.217033937573433,TRUE,TRUE
2000-06-01,1454.6,16.704,51.92,0.026219,0.025497,0.0767,0.0848,0.0622,0.0244,0.0326,0.0569,0.004,0.0114835693661488,0.0117584119386175,0.0356936614876942,0.321725731895223,0.156777961585262,0.00529999999999999,0.0081,0.0082,0.00524781341107872,,0.0071242105725142,0.00235975716718575,,,-0.00024674334,,TRUE,TRUE,TRUE,,-1.59661148864789,,,0.138466888213458,0.117464691698243,,,FALSE,TRUE,0.0480222068727016,0.364122420549393,0.477646897701914,0.89123243407393,0.89123243407393,-3.39199401495645,0.0847893753084825,TRUE,,,-0.526933781281054,,0.190907582640648,TRUE,TRUE
2000-07-01,1430.83,16.585,52.5133333333333,-0.012795,-0.013559,0.0765,0.0835,0.0611,0.0173,0.0179,0.0596,0.0048,0.0115911743533474,0.0114017599340025,0.0367013085644929,0.315824552494605,0.155674151006647,0.0015,0.00699999999999999,6e-04,0.00232018561484915,,0.00471223444699645,0.00206543289912241,,,7.1589538e-06,,TRUE,TRUE,TRUE,,-1.52565368983037,,,0.134993905475808,-0.152281134401973,,,TRUE,TRUE,0.0250777900218964,0.372028976678848,0.476720193620767,0.897551646424373,0.897551646424373,-3.36368336387161,0.0749443211633529,TRUE,,,-0.526933781281054,,0.144670888781548,TRUE,TRUE
