"date","oil_supply_surprise","oil_supply_news_shock"
1993-11-01,-5.26785279343334,-0.598988768783249
1993-12-01,0,-0.62807035612903
1994-01-01,0,0.478100462300081
1994-02-01,0,-0.378453792961641
1994-03-01,-4.95865601991613,-0.508829434323181
1994-04-01,0,0.377868925226923
1994-05-01,0,0.229839015342628
1994-06-01,-0.622200431654027,-0.0377449942520843
1994-07-01,0,0.465340587168497
1994-08-01,0,-0.652067473725563
1994-09-01,0,-0.169428528934078
1994-10-01,0,-0.117234744231618
1994-11-01,1.72015328211276,-0.0216681112968428
1994-12-01,0,-0.505437678732935
1995-01-01,0,0.322223173069566
1995-02-01,0,0.258139883121403
1995-03-01,0,-0.475333956530346
1995-04-01,0,0.630179036173167
1995-05-01,0,-0.57746178850535
1995-06-01,0.389456826259395,-0.295238544160744
1995-07-01,0,0.0730167719943742
1995-08-01,0,-0.225241586794045
1995-09-01,0,0.306244381100537
1995-10-01,0,-0.15850856195063
1995-11-01,-0.094863152917339,-0.0711496592869989
1995-12-01,0,0.210491609389347
1996-01-01,0,0.0722942285602502
1996-02-01,0,-0.352893309025442
1996-03-01,0,1.10039503251962
1996-04-01,0,0.333654364571908
1996-05-01,0,-1.20030617128759
1996-06-01,0.985487558538464,0.352810327060002
1996-07-01,0,0.209383234635525
1996-08-01,0,0.0150496036588697
1996-09-01,0,0.503996847137289
1996-10-01,0,0.207834564878484
1996-11-01,4.02273116931481,-0.587407859934462
1996-12-01,0,0.541533394905537
1997-01-01,0,-0.194355484636711
1997-02-01,0,-1.1746107439255
1997-03-01,0,-0.0786068951721341
1997-04-01,0,-0.524387738787771
1997-05-01,0,0.0179229525515729
1997-06-01,-2.13187920405938,-1.15674509997904
1997-07-01,0,-0.276936402270002
1997-08-01,0,-0.213098847748263
1997-09-01,0,-0.187441272368022
1997-10-01,0,0.0701389957054841
1997-11-01,0,-0.125513429645898
1997-12-01,-0.724356571209099,-0.344746494442113
1998-01-01,0,-0.398936818269084
1998-02-01,0,0.00978108520029005
1998-03-01,-2.40013525630224,-0.732238022110595
1998-04-01,0,0.171881189321276
1998-05-01,0,-0.197549626060256
1998-06-01,-0.318795326737248,-0.272925965371498
1998-07-01,0,0.167724188122416
1998-08-01,0,-1.01279734119583
1998-09-01,0,0.660227557893428
