"date","infl","un","ff"
1974-04-01,8.88300735924812,5.2,11.25
1974-07-01,12.0491037820434,5.63333333333333,12.09
1974-10-01,12.0109993799554,6.6,9.34666666666667
1975-01-01,9.11012462482095,8.26666666666667,6.30333333333333
1975-04-01,5.59023201110484,8.86666666666667,5.42
1975-07-01,7.20199500544556,8.46666666666667,6.16
1975-10-01,6.87977647299167,8.3,5.41333333333333
1976-01-01,4.26463937853594,7.73333333333333,4.82666666666667
1976-04-01,4.21965073515782,7.56666666666667,5.19666666666667
1976-07-01,5.49511247521099,7.73333333333333,5.28333333333333
1976-10-01,6.90315640287587,7.76666666666667,4.87333333333333
1977-01-01,6.6041399259321,7.5,4.66
1977-04-01,6.49687190105652,7.13333333333333,5.15666666666667
1977-07-01,5.59946928577819,6.9,5.82
1977-10-01,6.65223209113215,6.66666666666667,6.51333333333333
1978-01-01,6.71416667680553,6.33333333333333,6.75666666666667
1978-04-01,7.86079180416692,6,7.28333333333333
1978-07-01,7.05193002713784,6.03333333333333,8.1
1978-10-01,7.97909624229725,5.9,9.58333333333333
1979-01-01,7.6649051912657,5.86666666666667,10.0733333333333
1979-04-01,8.99265710944182,5.7,10.18
1979-07-01,8.11355792804047,5.86666666666667,10.9466666666667
1979-10-01,8.02652341917121,5.96666666666667,13.5766666666667
1980-01-01,8.95943459080062,6.3,15.0466666666667
1980-04-01,9.1182266501324,7.33333333333333,12.6866666666667
1980-07-01,8.91499566823875,7.66666666666667,9.83666666666667
1980-10-01,10.5503632744867,7.4,15.8533333333333
1981-01-01,10.081481644643,7.43333333333333,16.57
1981-04-01,7.0578534215521,7.4,17.78
1981-07-01,7.69871399290771,7.4,17.5766666666667
1981-10-01,7.24144137450722,8.23333333333333,13.5866666666667
1982-01-01,5.57716238760513,8.83333333333333,14.2266666666667
1982-04-01,5.13611458927095,9.43333333333334,14.5133333333333
1982-07-01,5.49069636461788,9.9,11.0066666666667
1982-10-01,4.11360656529638,10.6666666666667,9.28666666666667
1983-01-01,3.19009222974813,10.3666666666667,8.65333333333333
1983-04-01,3.5732828973039,10.1333333333333,8.80333333333333
1983-07-01,3.3681964405055,9.36666666666667,9.46
1983-10-01,3.34007123559239,8.53333333333333,9.43
1984-01-01,4.78842828236239,7.86666666666667,9.68666666666667
1984-04-01,3.32935546986661,7.43333333333333,10.5566666666667
1984-07-01,3.13463680883572,7.43333333333333,11.39
1984-10-01,2.77817480183735,7.3,9.26666666666667
1985-01-01,4.2410035837058,7.23333333333333,8.47666666666667
1985-04-01,2.62116978911422,7.3,7.92333333333333
1985-07-01,2.11712511610358,7.2,7.9
1985-10-01,2.80551460320311,7.03333333333333,8.10333333333333
1986-01-01,1.55610901197143,7.03333333333333,7.82666666666667
1986-04-01,1.87003613159753,7.16666666666667,6.92
1986-07-01,2.49751724694605,6.96666666666667,6.20666666666667
1986-10-01,2.85036835598724,6.83333333333333,6.26666666666667
1987-01-01,3.56069899370866,6.6,6.22
1987-04-01,2.80520630236758,6.26666666666667,6.65
1987-07-01,2.88847161032173,6,6.84333333333333
1987-10-01,3.22479192404366,5.83333333333333,6.91666666666667
1988-01-01,2.6929285579687,5.7,6.66333333333333
1988-04-01,4.03076845754455,5.46666666666667,7.15666666666667
1988-07-01,4.68482803469392,5.46666666666667,7.98333333333333
1988-10-01,3.10939933335206,5.33333333333333,8.47
1989-01-01,4.1086201287321,5.2,9.44333333333333
1989-04-01,3.9704962251033,5.23333333333333,9.72666666666667
1989-07-01,2.88047332141055,5.23333333333333,9.08333333333333
1989-10-01,2.95485675892024,5.36666666666667,8.61333333333333
1990-01-01,4.48567529161181,5.3,8.25
1990-04-01,4.57521327877046,5.33333333333333,8.24333333333333
1990-07-01,3.83441176116328,5.7,8.16
1990-10-01,3.47907892495662,6.13333333333333,7.74333333333333
1991-01-01,4.62223337556544,6.6,6.42666666666667
1991-04-01,2.82845333653512,6.83333333333333,5.86333333333333
1991-07-01,2.58640811945234,6.86666666666667,5.64333333333333
1991-10-01,2.12790039671695,7.1,4.81666666666667
1992-01-01,3.03916013593337,7.36666666666667,4.02333333333333
1992-04-01,2.27521943557853,7.6,3.77
1992-07-01,1.30676365813933,7.63333333333333,3.25666666666667
1992-10-01,2.51436830945728,7.36666666666667,3.03666666666667
1993-01-01,3.3138066768938,7.13333333333333,3.04
1993-04-01,2.13721388972097,7.06666666666667,3
1993-07-01,1.82891487745067,6.8,3.06
1993-10-01,2.24279878774603,6.63333333333333,2.99
1994-01-01,2.06240263283775,6.56666666666667,3.21333333333333
1994-04-01,1.84293519725145,6.2,3.94
1994-07-01,2.37488328480779,6,4.48666666666667
1994-10-01,1.86499845705796,5.63333333333333,5.16666666666667
1995-01-01,2.92498342349319,5.46666666666667,5.81
1995-04-01,1.67938396296279,5.66666666666667,6.02
1995-07-01,1.8351462071422,5.66666666666667,5.79666666666667
1995-10-01,1.94825347101997,5.56666666666667,5.72
1996-01-01,2.46229144245831,5.53333333333333,5.36333333333333
1996-04-01,1.36587458217932,5.5,5.24333333333333
1996-07-01,1.96029796751915,5.26666666666667,5.30666666666667
1996-10-01,1.593151563387,5.33333333333333,5.28
1997-01-01,2.89124482705674,5.23333333333333,5.27666666666667
1997-04-01,1.81120498452252,5,5.52333333333333
1997-07-01,1.1768175596373,4.86666666666667,5.53333333333333
1997-10-01,1.44665618807522,4.66666666666667,5.50666666666667
1998-01-01,1.05237575928463,4.63333333333333,5.52
1998-04-01,1.01078875830254,4.43333333333333,5.5
1998-07-01,1.39535025218152,4.53333333333333,5.53333333333333
1998-10-01,1.08191719746706,4.43333333333333,4.86
1999-01-01,1.694265143745,4.26666666666667,4.73333333333333
1999-04-01,1.34260495266041,4.3,4.74666666666667
1999-07-01,1.37627967180478,4.23333333333333,5.09333333333333
1999-10-01,1.78971215796828,4.1,5.30666666666667
2000-01-01,3.66853609100772,4.03333333333333,5.68
2000-04-01,2.10269891883108,4,6.27333333333333
2000-07-01,1.86811473497279,4.06666666666667,6.52
2000-10-01,1.74810822652596,3.96666666666667,6.47333333333333
