"czone","statefip","city","yr","t2","timepwt48","reg_midatl","reg_encen","reg_wncen","reg_satl","reg_escen","reg_wscen","reg_mount","reg_pacif","l_popcount","l_shind_manuf_cbp","l_sh_popedu_c","l_sh_popfborn","l_sh_empl_f","l_sh_routine33","l_task_outsource","d_sh_empl","d_sh_empl_mfg","d_sh_empl_nmfg","d_sh_unempl","d_sh_nilf","d_avg_lnwkwage","d_avg_lnwkwage_mfg","d_avg_lnwkwage_nmfg","d_tradeusch_pw","d_tradeotch_pw_lag"
1301,45,"undefined",2000,1,0.000258261599810794,0,0,0,1,0,0,0,0,72206.5090711713,50.0838584899902,34.2803497314453,2.4027247428894,61.4375991821289,33.2790184020996,-0.204751864075661,-6.99342107772827,-8.27510643005371,1.28167867660522,0.357681632041931,6.63574695587158,-0.835078120231628,1.94713044166565,0.812666773796082,5.4280650232935,7.96713057044826
1302,45,"undefined",1990,0,0.00187802582513541,0,0,0,1,0,0,0,0,462838.573527813,30.1210975646973,34.6329078674316,1.62441110610962,61.8306922912598,29.7839698791504,-0.0834552943706512,-0.560301542282104,-5.11447477340698,4.55417633056641,0.557635724544525,0.00266432762145996,15.6291007995605,18.2820796966553,16.3556098937988,1.05979349723774,1.54005466553176
1302,45,"undefined",2000,1,0.00196236511692405,0,0,0,1,0,0,0,0,548651.133188009,19.2520923614502,42.034725189209,3.51011300086975,62.5165596008301,29.643518447876,-0.556494355201721,-1.66669058799744,-4.7208776473999,3.05418467521667,1.12195312976837,0.544739603996277,3.95727157592773,13.7666969299316,3.68622350692749,2.8868644339882,3.30576228542609
1400,37,"undefined",1990,0,0.00228177523240447,0,0,0,1,0,0,0,0,562342.416976452,36.4605369567871,39.8664016723633,4.41732597351074,59.5924606323242,31.5198574066162,-0.321821421384811,-1.41030550003052,-4.98826360702515,3.57795667648315,0.294817626476288,1.11549198627472,16.3018226623535,17.0077800750732,16.2120342254639,4.16112634668184,2.64600647736437
1400,37,"undefined",2000,1,0.00228891079314053,0,0,0,1,0,0,0,0,639948.991975307,26.3607139587402,47.5728912353516,7.18587732315063,58.0072860717773,29.5141448974609,-0.917094349861145,0.228592336177826,-6.39077520370483,6.61936855316162,0.745670080184937,-0.974267721176147,4.48049831390381,3.28377294540405,-0.0341960377991199,5.78043843376353,6.50064158493721
1500,37,"undefined",1990,0,0.00112514395732433,0,0,0,1,0,0,0,0,277291.200888008,23.9037170410156,41.9922828674316,1.62309074401855,61.4003295898438,28.0557842254639,-0.323149085044861,-0.922286510467529,-5.11834335327148,4.19605350494385,-0.0907346606254578,1.01302266120911,14.6831035614014,20.2506065368652,15.2278900146484,0.489680787383975,1.4160132870671
1500,37,"undefined",2000,1,0.00129036186262965,0,0,0,1,0,0,0,0,360768,18.693021774292,51.8473930358887,4.22950267791748,61.7395706176758,27.7506923675537,-0.796796679496765,2.14926695823669,-2.39512872695923,4.54439449310303,0.192540034651756,-2.34180688858032,4.40379571914673,4.22075796127319,5.49377727508545,1.61216316230293,2.66945469105106
1600,37,"undefined",1990,0,0.000806116673629731,0,0,0,1,0,0,0,0,198667.068121433,36.3994903564453,33.7240257263184,1.13477826118469,64.4795684814453,31.7831840515137,0.0335783511400223,-4.67615699768066,-4.27825164794922,-0.397908687591553,0.143039971590042,4.53312110900879,15.803337097168,18.6344623565674,14.8655891418457,3.63343979844071,2.68024447824388
1600,37,"undefined",2000,1,0.0007793222903274,0,0,0,1,0,0,0,0,217888.14005506,27.7698554992676,37.9353256225586,4.14498949050903,62.2045593261719,30.7409591674805,-0.44563490152359,2.61065793037415,-4.52525520324707,7.13591957092285,1.24488830566406,-3.85555624961853,-2.85557341575623,5.98273944854736,-4.49064779281616,4.65946300795472,6.99928494075693
1701,37,"Raleigh NC",1990,0,0.00417686859145761,0,0,0,1,0,0,0,0,1029387.2106607,22.6341857910156,56.2113838195801,4.30755853652954,70.8453750610352,30.3921070098877,0.267397165298462,-2.39378213882446,-2.89185118675232,0.498074293136597,0.341251134872437,2.05252909660339,19.7879791259766,27.4246692657471,18.4608936309814,2.94095538100451,1.87616064904515
1701,37,"Raleigh NC",2000,1,0.00503839273005724,0,0,0,1,0,0,0,0,1408667.48318285,17.0196514129639,62.1957969665527,11.5192832946777,68.3068618774414,29.3900318145752,0.338234603404999,-1.94454193115234,-4.40636920928955,2.46182513237,1.45794081687927,0.486605942249298,3.55400371551514,12.8258972167969,3.28404569625854,13.3377882455744,4.29905476576947
1702,37,"undefined",1990,0,0.000226473668590188,0,0,0,1,0,0,0,0,55814.3279559612,41.1106948852539,32.0053520202637,0.854570865631104,67.5398101806641,32.6118927001953,0.146485865116119,-5.08273839950562,-6.91704320907593,1.8343061208725,0.106138363480568,4.97659730911255,17.9433822631836,23.6873626708984,15.4537677764893,1.0731109005963,1.640662851854
1702,37,"undefined",2000,1,0.000222601607674733,0,0,0,1,0,0,0,0,62236.4448623657,31.1600322723389,37.1829605102539,3.26254773139954,62.2478675842285,29.4841995239258,-0.558637678623199,-5.99858570098877,-6.6871223449707,0.688535809516907,1.10332238674164,4.89526987075806,-0.324521750211716,0.53685051202774,0.293186724185944,3.9294083203315,3.24892407007182
1800,37,"undefined",1990,0,0.000776573026087135,0,0,0,1,0,0,0,0,191386.056192517,34.6991691589355,38.3217811584473,2.99834537506104,62.1940536499023,28.9600315093994,-0.666444957256317,-0.617802143096924,-3.55456161499023,2.93675947189331,0.327962636947632,0.289839506149292,13.685941696167,20.7930564880371,12.8763675689697,1.48144122905771,2.74774224680584
1800,37,"undefined",2000,1,0.000785023090429604,0,0,0,1,0,0,0,0,219482,27.0857849121094,40.0602798461914,9.9262866973877,60.4999313354492,26.139497756958,-0.764751434326172,0.7452113032341,-3.82109618186951,4.56631183624268,1.86477172374725,-2.60998511314392,-3.0811173915863,-4.28431367874146,-3.25741100311279,3.48521473574884,3.74370431153725
1900,37,"undefined",1990,0,0.00195220520254225,0,0,0,1,0,0,0,0,481120.02212131,22.3113422393799,43.5317268371582,3.3010528087616,59.657054901123,29.1680221557617,-0.801921248435974,3.10758352279663,-1.76303017139435,4.8706111907959,-0.0899314880371094,-3.01764917373657,13.4977340698242,18.8944339752197,16.5748119354248,0.810921694636326,1.18874389057145
1900,37,"undefined",2000,1,0.0019227754091844,0,0,0,1,0,0,0,0,537582.424205303,16.4873523712158,49.5788383483887,5.60475015640259,61.0811309814453,28.5548515319824,-0.9764404296875,0.633299350738525,-2.97688484191895,3.61019372940063,1.44825446605682,-2.0815601348877,6.61870384216309,12.5392513275146,4.25563526153564,2.21554413399221,2.4255186531762
2000,51,"Virginia Beach VA",1990,0,0.00424389913678169,0,0,0,1,0,0,0,0,1045906.85693753,10.1608867645264,48.0295753479004,5.46143245697021,61.604850769043,30.1877670288086,-0.731072962284088,2.76723504066467,-1.28499341011047,4.05222797393799,-0.161342322826385,-2.60589122772217,12.0172023773193,11.2035274505615,10.2093696594238,0.406064074903051,0.99819871208147
2000,51,"Virginia Beach VA",2000,1,0.00401340425014496,0,0,0,1,0,0,0,0,1122094.39272106,8.24056243896484,55.6579055786133,6.91649532318115,63.621223449707,30.3501129150391,-0.68140834569931,5.43957948684692,-0.916815757751465,6.35640096664429,0.141188502311707,-5.58077001571655,13.47194480896,14.1500072479248,12.464319229126,0.558149044106108,1.05726104748869
2100,37,"undefined",1990,0,0.000460573442978784,0,0,0,1,0,0,0,0,113508.104921103,33.7268562316895,35.0219116210938,1.17917335033417,59.8900375366211,28.0885276794434,-0.470786541700363,-4.5187292098999,-6.20042705535889,1.68169140815735,-0.132308155298233,4.65103673934937,17.1552658081055,18.2641983032227,18.0923461914062,1.9298402330599,2.57453661683587
2100,37,"undefined",2000,1,0.000448278617113829,0,0,0,1,0,0,0,0,125332.730608582,22.098051071167,43.0199584960938,3.1141209602356,59.5667190551758,26.0388603210449,-0.879399180412292,2.77935600280762,-2.36144542694092,5.14080715179443,2.39192533493042,-5.17127752304077,5.38240146636963,3.29385471343994,5.89261722564697,1.3040663533579,4.39628411329226
2200,51,"undefined",1990,0,0.000593893637415022,0,0,0,1,0,0,0,0,146364.80281353,41.9969177246094,28.9226856231689,1.04743027687073,62.8100090026855,27.382287979126,-0.277868181467056,-3.11117768287659,-4.93421411514282,1.82303488254547,0.344163924455643,2.767014503479,18.5391426086426,30.0894737243652,13.8373374938965,2.78590991237252,2.62369890882406
2200,51,"undefined",2000,1,0.000564776943065226,0,0,0,1,0,0,0,0,157904.11388588,29.5091361999512,36.5869674682617,1.77037489414215,60.770450592041,28.5279693603516,-0.914852619171143,-0.31079563498497,-7.55058670043945,7.23980140686035,1.98432636260986,-1.67353653907776,-0.294344753026962,6.2507905960083,0.0779969319701195,3.34822467218442,5.39479977945556
2300,51,"undefined",1990,0,0.000830445904284716,0,0,0,1,0,0,0,0,204663,31.6835193634033,41.9162483215332,2.21438336372375,65.3544006347656,32.1775131225586,-0.24836391210556,-1.86880826950073,-3.40686583518982,1.53806209564209,-0.295884162187576,2.16468572616577,13.7932300567627,11.8588924407959,15.5599594116211,1.30912336087453,1.33339157072634
2300,51,"undefined",2000,1,0.000813197402749211,0,0,0,1,0,0,0,0,227359.175765514,26.9476203918457,47.727897644043,2.7693407535553,64.9232940673828,33.1907234191895,-0.173831582069397,-0.22423267364502,-5.2462420463562,5.02200651168823,0.581223011016846,-0.356985002756119,-0.220503121614456,12.4093465805054,-1.08160293102264,7.5960853300811,5.30428458352954
