"date","mps","mps_orth","nfp_surp","nfp_12m","sp500_3m","slope_3m","bcom_3m","tr_skew"
1991-12-01,-0.240431026990614,-0.206101600265876,-0.211,-0.00845904271706388,-0.0327906775899622,0.43,-0.0101685280708308,0.118018913043478
1992-01-01,0,0,,,,,,
1992-02-01,0.0064007457233828,0.0331753962966759,0.081,-0.00629204809740713,0.0559537861060315,0.52,-0.0539508041221852,0.115301956521739
1992-03-01,0,0,,,,,,
1992-04-01,-0.214759362493461,-0.193195643146561,0.14,-0.00191766988192121,-0.00683826647952568,0.64,0.0292778120286012,0.0581259565217391
1992-05-01,0.0341786527172192,0.0401420546806436,0.051,0.00150322576227957,0.00938656828503603,0.04,0.0295168231032097,0.12003052173913
1992-06-01,0,0,,,,,,
1992-07-01,0.0461323170031712,0.0524009702145686,-0.212,0.00349220598626587,0.0242204318937889,0.12,0.0350342536097346,0.132571260869565
1992-08-01,0.00637402913944518,0.00643756762014898,0.088,0.00468932956284362,0.0270634608941256,-0.24,0.00566835845719815,0.132383304347826
1992-09-01,-0.00775457432391966,0.00522022277179058,-0.233,0.00571758952007961,0.00814350441269074,-0.23,-0.0202541744104172,0.0823044347826087
1992-10-01,0.0167751797141891,0.0287834920181087,-0.007,0.00571595807189773,-0.0162240775787286,-0.0800000000000001,-0.00237072221994783,0.0885338260869565
1992-11-01,0.0113451672973523,0.0292055411528059,0.002,0.00710817394927332,-0.00349996190662516,0.28,-0.0184691785433975,0.0893616086956522
1992-12-01,0.00247101703883025,0.00839732069911889,0.045,0.00900824181553617,0.0421420117187452,-0.14,-0.0506138781891785,0.154907434782609
1993-01-01,0,0,,,,,,
1993-02-01,0.00734472190213968,0.00053878043387439,-0.027,0.0130913760843132,0.065899016854206,-0.34,-0.0280681603651036,0.179496391304348
1993-03-01,0.008976711817994,-0.00304459485962318,0.243,0.0158643346209342,0.0301541750910275,-0.45,0.0177403319307095,0.0640247391304348
1993-04-01,0,0,,,,,,
1993-05-01,-0.0093840956557618,-0.0162925108820293,-0.031,0.0162701820433462,-0.00962828095783941,-0.27,0.0272359796484345,0.164884739130435
1993-06-01,0,0,,,,,,
1993-07-01,-0.00568859417039974,-0.0182876389097153,-0.137,0.0185362625866663,0.00325711083905045,-0.4,0.02656735613765,0.210274086956522
1993-08-01,0.0155372964318369,-0.00310391214359815,0.012,0.0205684526103287,0.0304048334520948,-0.45,0.00557079613617439,0.253224043478261
