year,month,pc1_mpd,STOXX50_mpd,MP_pm_mpd,CBI_pm_mpd,MP_median_mpd,CBI_median_mpd
2007,5,-0.00288936,-0.11738420423022,-0,-0.00288936,0.00226435,-0.00515371
2007,6,-0.0070427,-0.110733823750842,-0,-0.0070427,-2.246e-05,-0.00702024
2007,7,0.00073494,-0.120659650220034,0.00073494,0,0.00417999,-0.00344505
2007,8,-0.00336702,-0.0510285526303278,-0,-0.00336702,-7.114e-05,-0.00329588
2007,9,-0.03852001,0.526312026752507,-0.03852001,-0,-0.03589006,-0.00262995
2007,10,-0.00197149,-0.0832170679183619,-0,-0.00197149,0.00164369,-0.00361518
2007,11,-0.02006683,-0.349102776992005,-0,-0.02006683,0.0009973,-0.02106413
2007,12,0.01959002,-0.381738081675564,0.01959002,0,0.02185691,-0.00226689
2008,1,-0.0017905,-0.295615027060769,-0,-0.0017905,0.00844539,-0.01023589
2008,2,-0.04948655,-0.605038240964717,-0,-0.04948655,-0.00562568,-0.04386087
2008,3,0.02942885,-0.564470604921574,0.02942885,0,0.03255019,-0.00312134
2008,4,0.00100444,0.0499747449866916,0,0.00100444,-0.00107685,0.00208129
2008,5,-0.01112855,-0.425319727903428,-0,-0.01112855,0.00787469,-0.01900324
2008,6,0.14507378,-0.433983633554824,0.14507378,0,0.08624961,0.05882417
2008,7,-0.08515931,1.35320062185773,-0.08515931,-0,-0.08533718,0.00017787
2008,8,-0.04140478,-0.637270002828849,-0,-0.04140478,-0.00056636,-0.04083842
2008,9,-0.00692684,-0.755483514443789,-0,-0.00692684,0.02040784,-0.02733468
2008,10,-0.05711344,-0.810760493031637,-0,-0.05711344,-0.00293885,-0.05417459
2008,11,0.20066293,-1.30428193491552,0.20066293,0,0.14154329,0.05911964
2008,12,0.04992427,-1.47784599256786,0.04992427,0,0.07165812,-0.02173385
2009,1,-0.02472847,-0.571526476159256,-0,-0.02472847,0.00569447,-0.03042294
2009,2,-0.05699711,-0.458091676403427,-0,-0.05699711,-0.01402408,-0.04297303
2009,3,0.0043218,0.228659642468632,0,0.0043218,-0.00506413,0.00938593
2009,4,0.08276869,-0.0510608946750146,0.08276869,0,0.04299773,0.03977096
2009,5,-0.0239308,-0.292221535248149,-0,-0.0239308,-0.00273198,-0.02119882
2009,6,0.03868445,0.0120242890783828,0,0.03868445,0.01896229,0.01972216
2009,7,-0.06646617,-1.66959763168348,-0,-0.06646617,0.01952174,-0.08598791
2009,8,0.00160176,-0.0954478917656765,0.00160176,0,0.00381678,-0.00221502
2009,9,-0.0431427,-0.219099207942719,-0,-0.0431427,-0.0146484,-0.0284943
2009,10,-0.02347063,-0.173400424928793,-0,-0.02347063,-0.00625632,-0.01721431
2009,11,-0.0154261,0.807551135358597,-0.0154261,-0,-0.03322951,0.01780341
2009,12,-0.0397096,0.314817376122178,-0.0397096,-0,-0.02980219,-0.00990741
2010,1,-0.01154394,-0.181830713177078,-0,-0.01154394,-2.661e-05,-0.01151733
2010,2,-0.00497081,-0.957506306342903,-0,-0.00497081,0.02776924,-0.03274005
2010,3,-0.01256865,0.307755207621874,-0.01256865,-0,-0.01600857,0.00343992
2010,4,0.00434575,-0.10028072619539,0.00434575,0,0.00534148,-0.00099573
2010,5,0.00817292,-0.692771714286966,0.00817292,0,0.02597619,-0.01780327
2010,6,-0.00339417,0.687814364196093,-0.00339417,-0,-0.02343018,0.02003601
2010,7,0.04677953,0.576790905550251,0,0.04677953,0.00516471,0.04161482
2010,8,-0.00996589,-0.601873012236265,-0,-0.00996589,0.01403463,-0.02400052
2010,9,-0.01327597,-0.118663756991477,-0,-0.01327597,-0.00288853,-0.01038744
2010,10,-0.00118935,0.0691707954803,-0.00118935,-0,-0.00278029,0.00159094
2010,11,-0.00810088,-0.124715076894244,-0,-0.00810088,-0.00010978,-0.0079911
2010,12,-0.02765037,-0.287375382852861,-0,-0.02765037,-0.00474489,-0.02290548
2011,1,0.03553229,-0.0161646733454646,0.03553229,0,0.01827691,0.01725538
2011,2,-0.03837712,0.158118655338946,-0.03837712,-0,-0.02418469,-0.01419243
